Symbol,Desc,insCode,insID,groupCode
وسپهر,سرمايه گذاري مالي سپهرصادرات,114312662654155,IRO3SAIZ0001,56 
شصدف,صنعتي دوده فام,204092872752957,IRO3SDFZ0001,44 
فسا,پتروشيمي فسا,318005355896147,IRO7PFSP0001,44 
فرآور,فرآوري‌موادمعدني‌ايران‌,408934423224097,IRO1FRVR0001,27 
وآفري,بيمه كارآفرين,589599697502308,IRO1KARP0001,66 
سبزوا,سيمان لار سبزوار,611986653700161,IRO3SBZZ0001,53 
اپال,فرآوري معدني اپال كاني پارس,655060129740445,IRO1OPAL0001,13 
وبملت,بانك ملت,778253364357513,IRO1BMLT0001,57 
لپيام,گسترش صنايع پيام,793710053482057,IRO7PYAP0001,32 
ثنام,س ساختماني ب نام آوران مهندسي,831325835570803,IRO7CNAP0001,70 
حپارسا,توسعه حمل و نقل ريلي پارسيان,917857106093847,IRO3HPRZ0001,60 
شگامرن,مجتمع پترو صنعت گامرون,1050751214677134,IRO5PSGS0001,44 
تجلي,تجلي توسعه معادن و فلزات,1301069819790264,IRO3TMMZ0001,13 
وآذر,سرمايه‌گذاري‌توسعه‌آذربايجان‌,1358190916156744,IRO1TAZB0001,70 
حسينا,توسعه خدمات دريايي وبندري سينا,1625149423498289,IRO3SMBZ0001,60 
كلر,كلر پارس,1822787329898392,IRO3CHPZ0001,44 
غدام,خوراك‌  دام‌ پارس‌,2254054929817435,IRO1KDPS0001,42 
خصدرا,صنعتي‌ دريايي‌ ايران‌,2318736941376687,IRO7SDRP0001,45 
وسپه,سرمايه‌گذاري‌ سپه‌,2328862017676109,IRO1SPAH0001,56 
شستا,سرمايه گذاري تامين اجتماعي,2400322364771558,IRO1TAMN0001,39 
غدشت,دشت‌ مرغاب‌,2434703913394836,IRO1DMOR0001,42 
خزاميا,زامياد,2589887561569709,IRO1ZMYD0001,34 
وتوصا,گروه س توسعه صنعتي ايران,2944500421562364,IRO1TOSA0001,56 
قنقش,قند نقش جهان,3050342257199174,IRO7NJSP0001,38 
وايران,ليزينگ ايرانيان,3149396562827132,IRO1LIRZ0001,58 
شستان,پتروشيمي گلستان,3173544097113770,IRO7STNP0001,44 
شاروم,پتروشيمي اروميه,3407806799514469,IRO3URPZ0001,44 
غديس,پاكديس,3492952121304423,IRO3PKDZ0001,42 
شوينده,مديريت صنعت شوينده ت.ص.بهشهر,3493306453706327,IRO1SHOY0001,44 
كدما,معدني‌ دماوند,3623921205367364,IRO1DMVN0001,13 
تكنو,تكنوتار,3654864906585643,IRO1TKNO0001,29 
