TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076876,آریان,سرمایه گذاری پارس آریان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۹ ۰۸:۲۰:۴۴,۱۴۰۲/۰۶/۰۹ ۰۸:۲۰:۴۴,/Reports/Decision.aspx?LetterSerial=2S8fDgPf6xTPmzQQQaQQQdRXBCdA%3d%3d&rt=2&let=8&ct=0&ft=-1
1064346,آریان,سرمایه گذاری پارس آریان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۱۰ ۱۰:۵۲:۳۳,۱۴۰۲/۰۵/۱۰ ۱۰:۵۲:۳۳,/Reports/Decision.aspx?LetterSerial=n80xGfRQ4%2bYvJvOH8IGhHA%3d%3d&rt=2&let=8&ct=0&ft=-1
1044655,آریان,سرمایه گذاری پارس آریان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۷ ۱۶:۲۰:۰۷,۱۴۰۲/۰۴/۰۷ ۱۶:۲۰:۰۷,/Reports/Decision.aspx?LetterSerial=BxZJlfuda1jVqSB4QQQaQQQPVgVw%3d%3d&rt=2&let=8&ct=0&ft=-1
1032186,آریان,سرمایه گذاری پارس آریان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۱۰ ۱۰:۴۵:۴۵,۱۴۰۲/۰۳/۱۰ ۱۰:۴۵:۴۵,/Reports/Decision.aspx?LetterSerial=xllOTxEBWLaMx0E5ogQ41A%3d%3d&rt=2&let=8&ct=0&ft=-1
1017355,آریان,سرمایه گذاری پارس آریان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۹ ۱۸:۳۴:۵۸,۱۴۰۲/۰۲/۰۹ ۱۸:۳۴:۵۸,/Reports/Decision.aspx?LetterSerial=YQNM5kzJaKoHydc6GKHywg%3d%3d&rt=2&let=8&ct=0&ft=-1
1006578,آریان,سرمایه گذاری پارس آریان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۷ ۱۳:۴۱:۴۹,۱۴۰۲/۰۱/۰۷ ۱۳:۴۱:۴۹,/Reports/Decision.aspx?LetterSerial=gNadQQQaQQQzH3k9poVd8ILrMLKA%3d%3d&rt=2&let=8&ct=0&ft=-1
997891,آریان,سرمایه گذاری پارس آریان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۹ ۱۶:۱۴:۱۱,۱۴۰۱/۱۲/۰۹ ۱۶:۱۴:۱۱,/Reports/Decision.aspx?LetterSerial=FRiqj5DdFHVzU2W%2bE1a18Q%3d%3d&rt=2&let=8&ct=0&ft=-1
985780,آریان,سرمایه گذاری پارس آریان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۸ ۱۵:۰۱:۳۲,۱۴۰۱/۱۱/۰۸ ۱۵:۰۱:۳۲,/Reports/Decision.aspx?LetterSerial=%2blON0EnTtvTIrBG3oTHzQg%3d%3d&rt=2&let=8&ct=0&ft=-1
974205,آریان,سرمایه گذاری پارس آریان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۵ ۱۸:۱۱:۰۳,۱۴۰۱/۱۰/۰۵ ۱۸:۱۱:۰۳,/Reports/Decision.aspx?LetterSerial=pCl6PZfPQJj93oyZMRQQQaQQQf6A%3d%3d&rt=2&let=8&ct=0&ft=-1
964785,آریان,سرمایه گذاری پارس آریان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۸ ۱۶:۴۰:۱۸,۱۴۰۱/۰۹/۰۸ ۱۶:۴۰:۱۸,/Reports/Decision.aspx?LetterSerial=7xOrvpeBSOPATfgGeeGvTw%3d%3d&rt=2&let=8&ct=0&ft=-1
952444,آریان,سرمایه گذاری پارس آریان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۹ ۱۵:۴۵:۵۹,۱۴۰۱/۰۸/۰۹ ۱۵:۴۵:۵۹,/Reports/Decision.aspx?LetterSerial=tMROXV4v5hWI%2bUa3HeTvJg%3d%3d&rt=2&let=8&ct=0&ft=-1
940507,آریان,سرمایه گذاری پارس آریان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۰۶ ۱۲:۱۵:۱۷,۱۴۰۱/۰۷/۰۶ ۱۲:۱۵:۱۷,/Reports/Decision.aspx?LetterSerial=olSNP9sVnjwSngUMZ5gkwA%3d%3d&rt=2&let=8&ct=0&ft=-1
931122,آریان,سرمایه گذاری پارس آریان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۹ ۱۷:۲۳:۲۴,۱۴۰۱/۰۶/۰۹ ۱۷:۲۳:۲۴,/Reports/Decision.aspx?LetterSerial=Qs6AAiFz4A1hXG0QKedT4w%3d%3d&rt=2&let=8&ct=0&ft=-1
924900,آریان,سرمایه گذاری پارس آریان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱(اصلاحیه),ن-۳۱,۱۴۰۱/۰۵/۲۴ ۱۶:۳۷:۵۶,۱۴۰۱/۰۵/۲۴ ۱۶:۳۷:۵۶,/Reports/Decision.aspx?LetterSerial=tHTCXTajXwhaxnUiZmLhJw%3d%3d&rt=2&let=8&ct=0&ft=-1
917493,آریان,سرمایه گذاری پارس آریان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۵/۰۹ ۱۰:۰۹:۳۲,۱۴۰۱/۰۵/۰۹ ۱۰:۰۹:۳۲,/Reports/Decision.aspx?LetterSerial=jTLPvvvcaOPVUSNvc8eqzg%3d%3d&rt=2&let=8&ct=0&ft=-1
909119,آریان,سرمایه گذاری پارس آریان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۱,۱۴۰۱/۰۴/۱۸ ۱۰:۵۷:۳۸,۱۴۰۱/۰۴/۱۸ ۱۰:۵۷:۳۸,/Reports/Decision.aspx?LetterSerial=QgXfScBILBQQr8ieZDVVPQ%3d%3d&rt=2&let=8&ct=0&ft=-1
901466,آریان,سرمایه گذاری پارس آریان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۱,۱۴۰۱/۰۴/۰۷ ۱۳:۱۸:۳۵,۱۴۰۱/۰۴/۰۷ ۱۳:۱۸:۳۵,/Reports/Decision.aspx?LetterSerial=1pJGw3WQOFbc4jgvWQQQaQQQvTkw%3d%3d&rt=2&let=8&ct=0&ft=-1
