TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074418,اتکام,بیمه اتکایی امین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۱ ۱۵:۴۶:۳۲,۱۴۰۲/۰۶/۰۱ ۱۵:۴۶:۳۲,/Reports/Decision.aspx?LetterSerial=P%2bOQQQaQQQjE83ros5iPL6OGu8Ng%3d%3d&rt=6&let=58&ct=0&ft=-1
1062754,اتکام,بیمه اتکایی امین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۰,ن-۳۰,۱۴۰۲/۰۵/۰۲ ۱۵:۱۵:۵۶,۱۴۰۲/۰۵/۰۲ ۱۵:۱۵:۵۶,/Reports/Decision.aspx?LetterSerial=yGAmEHBuWn1W4ZtWyiY0ew%3d%3d&rt=6&let=58&ct=0&ft=-1
1044605,اتکام,بیمه اتکایی امین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۰:۰۷:۱۴,۱۴۰۲/۰۴/۰۴ ۱۰:۰۷:۱۴,/Reports/Decision.aspx?LetterSerial=FaolIko%2bGvZtVooDq3fGKg%3d%3d&rt=6&let=58&ct=0&ft=-1
1027920,اتکام,بیمه اتکایی امین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۲/۳۰ ۱۵:۲۱:۴۳,۱۴۰۲/۰۲/۳۰ ۱۵:۲۱:۴۳,/Reports/Decision.aspx?LetterSerial=c4BbgImgooOQ%2bHo0Ncv3FA%3d%3d&rt=6&let=58&ct=0&ft=-1
1014946,اتکام,بیمه اتکایی امین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۱/۳۰ ۱۰:۵۴:۵۹,۱۴۰۲/۰۱/۳۰ ۱۰:۵۴:۵۹,/Reports/Decision.aspx?LetterSerial=GkCE3qIYSEMJlL8pWg1v2A%3d%3d&rt=6&let=58&ct=0&ft=-1
1006015,اتکام,بیمه اتکایی امین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۸ ۱۶:۱۲:۲۰,۱۴۰۱/۱۲/۲۸ ۱۶:۱۲:۲۰,/Reports/Decision.aspx?LetterSerial=61fOL3IElpEQQQaQQQsFRnGA%2bQIA%3d%3d&rt=6&let=58&ct=0&ft=-1
996649,اتکام,بیمه اتکایی امین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۰:۰۱:۴۴,۱۴۰۱/۱۲/۰۶ ۱۰:۰۱:۴۴,/Reports/Decision.aspx?LetterSerial=Cr4Q8Kd%2baYHxNRbYJ5dpHQ%3d%3d&rt=6&let=58&ct=0&ft=-1
987238,اتکام,بیمه اتکایی امین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۷:۴۹:۴۷,۱۴۰۱/۱۱/۰۴ ۱۷:۴۹:۴۷,/Reports/Decision.aspx?LetterSerial=g3XVHfJT0kxS1PXacjd8AQ%3d%3d&rt=6&let=58&ct=0&ft=-1
974965,اتکام,بیمه اتکایی امین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۱:۲۵:۲۱,۱۴۰۱/۱۰/۰۵ ۱۱:۲۵:۲۱,/Reports/Decision.aspx?LetterSerial=JmSD4YwbP5%2b5mSQzD%2bazpw%3d%3d&rt=6&let=58&ct=0&ft=-1
962695,اتکام,بیمه اتکایی امین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۶:۱۵:۵۰,۱۴۰۱/۰۹/۰۵ ۱۶:۱۵:۵۰,/Reports/Decision.aspx?LetterSerial=dgDsGOs7hXiYLufzluXnpQ%3d%3d&rt=6&let=58&ct=0&ft=-1
