TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075698,اتکای,بیمه اتکایی ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۵:۲۳:۳۲,۱۴۰۲/۰۶/۰۵ ۱۵:۲۳:۳۲,/Reports/Decision.aspx?LetterSerial=VwKzM0ZhpibubvEhsrLEbw%3d%3d&rt=6&let=58&ct=0&ft=-1
1064190,اتکای,بیمه اتکایی ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۰:۵۳:۳۸,۱۴۰۲/۰۵/۰۴ ۱۰:۵۳:۳۸,/Reports/Decision.aspx?LetterSerial=53ePL5Qe04NgA3qMW%2b0QQQaQQQQQQaQQQg%3d%3d&rt=6&let=58&ct=0&ft=-1
1046372,اتکای,بیمه اتکایی ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۵:۴۰:۵۲,۱۴۰۲/۰۴/۰۵ ۱۵:۴۰:۵۲,/Reports/Decision.aspx?LetterSerial=3mHy%2b59O3vQQQaQQQjzjCc7eovvg%3d%3d&rt=6&let=58&ct=0&ft=-1
1030379,اتکای,بیمه اتکایی ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۱:۱۹:۰۱,۱۴۰۲/۰۳/۰۳ ۱۱:۱۹:۰۱,/Reports/Decision.aspx?LetterSerial=kSiGmSFnfG52QQQaQQQZF4iUw7Mw%3d%3d&rt=6&let=58&ct=0&ft=-1
1016964,اتکای,بیمه اتکایی ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۰۹:۲۰:۲۹,۱۴۰۲/۰۲/۰۶ ۰۹:۲۰:۲۹,/Reports/Decision.aspx?LetterSerial=Q3oOZ%2b2jqffZYyxfWW9Nhg%3d%3d&rt=6&let=58&ct=0&ft=-1
1006988,اتکای,بیمه اتکایی ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۰:۰۷:۵۸,۱۴۰۲/۰۱/۰۷ ۱۰:۰۷:۵۸,/Reports/Decision.aspx?LetterSerial=m81o8In4yIisjAh612mTZw%3d%3d&rt=6&let=58&ct=0&ft=-1
997441,اتکای,بیمه اتکایی ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۲:۳۳:۰۲,۱۴۰۱/۱۲/۰۷ ۱۲:۳۳:۰۲,/Reports/Decision.aspx?LetterSerial=YVlf1LxSuuXGwVhmGmQ83A%3d%3d&rt=6&let=58&ct=0&ft=-1
987575,اتکای,بیمه اتکایی ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۵:۰۱:۲۳,۱۴۰۱/۱۱/۰۵ ۱۵:۰۱:۲۳,/Reports/Decision.aspx?LetterSerial=USOveZCQgae%2bbmvo7I3HYA%3d%3d&rt=6&let=58&ct=0&ft=-1
987427,اتکای,بیمه اتکایی ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۰:۵۷:۴۹,۱۴۰۱/۱۱/۰۵ ۱۰:۵۷:۴۹,/Reports/Decision.aspx?LetterSerial=aHkK7s5xkSnCTKKNiP5VHQ%3d%3d&rt=6&let=58&ct=0&ft=-1
987413,اتکای,بیمه اتکایی ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۰:۵۶:۴۶,۱۴۰۱/۱۱/۰۵ ۱۰:۵۶:۴۶,/Reports/Decision.aspx?LetterSerial=P6YC%2b2mE75BaauDoHpVsbA%3d%3d&rt=6&let=58&ct=0&ft=-1
975351,اتکای,بیمه اتکایی ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۴:۱۸:۴۰,۱۴۰۱/۱۰/۰۵ ۱۴:۱۸:۴۰,/Reports/Decision.aspx?LetterSerial=mSipuyplITxjQQQaQQQMr%2b4zXarg%3d%3d&rt=6&let=58&ct=0&ft=-1
962933,اتکای,بیمه اتکایی ایرانیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۰۹:۱۳:۲۴,۱۴۰۱/۰۹/۰۵ ۰۹:۱۳:۲۴,/Reports/Decision.aspx?LetterSerial=0FwYxsTBcDnCQnLQc1La8w%3d%3d&rt=6&let=58&ct=0&ft=-1
