TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1077080,اسیاتک,انتقال داده های آسیاتک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۷:۵۶:۴۰,۱۴۰۲/۰۶/۰۷ ۱۷:۵۶:۴۰,/Reports/Decision.aspx?LetterSerial=8qGwZFpMq4WHH1qojCJcDA%3d%3d&rt=5&let=58&ct=0&ft=-1
1065296,اسیاتک,انتقال داده های آسیاتک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۸:۲۳:۳۲,۱۴۰۲/۰۵/۰۷ ۱۸:۲۳:۳۲,/Reports/Decision.aspx?LetterSerial=VWEbqthy%2b8K1%2b5LMXsSQQQaQQQ5g%3d%3d&rt=5&let=58&ct=0&ft=-1
1048197,اسیاتک,انتقال داده های آسیاتک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۲۰:۵۹:۰۴,۱۴۰۲/۰۴/۰۷ ۲۰:۵۹:۰۴,/Reports/Decision.aspx?LetterSerial=fLEmql3x3XH0P8BntqgxEg%3d%3d&rt=5&let=58&ct=0&ft=-1
1032569,اسیاتک,انتقال داده های آسیاتک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۸:۰۸:۰۷,۱۴۰۲/۰۳/۰۷ ۱۸:۰۸:۰۷,/Reports/Decision.aspx?LetterSerial=W6d%2b0ezwseHDAPEemEsjzg%3d%3d&rt=5&let=58&ct=0&ft=-1
1019206,اسیاتک,انتقال داده های آسیاتک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۷:۰۵:۵۶,۱۴۰۲/۰۲/۱۰ ۱۷:۰۵:۵۶,/Reports/Decision.aspx?LetterSerial=4w1kuTFJed3A4kzINfJd6w%3d%3d&rt=5&let=58&ct=0&ft=-1
1006389,اسیاتک,انتقال داده های آسیاتک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۵:۱۵:۰۳,۱۴۰۲/۰۱/۰۹ ۱۵:۱۵:۰۳,/Reports/Decision.aspx?LetterSerial=9rIaZH6FjHcPUpCDEapyFw%3d%3d&rt=5&let=58&ct=0&ft=-1
997770,اسیاتک,انتقال داده های آسیاتک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۹:۲۵:۲۶,۱۴۰۱/۱۲/۰۷ ۱۹:۲۵:۲۶,/Reports/Decision.aspx?LetterSerial=qVQzG6PnK5h26PPlYliUAg%3d%3d&rt=5&let=58&ct=0&ft=-1
987925,اسیاتک,انتقال داده های آسیاتک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۸:۰۵:۱۹,۱۴۰۱/۱۱/۰۵ ۱۸:۰۵:۱۹,/Reports/Decision.aspx?LetterSerial=TulNpvstYXHn7kbPHAaQTg%3d%3d&rt=5&let=58&ct=0&ft=-1
976878,اسیاتک,انتقال داده های آسیاتک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۷:۲۵:۱۱,۱۴۰۱/۱۰/۱۰ ۱۷:۲۵:۱۱,/Reports/Decision.aspx?LetterSerial=JUgq7Dr8ykIDAUaD%2bYhUGg%3d%3d&rt=5&let=58&ct=0&ft=-1
964937,اسیاتک,انتقال داده های آسیاتک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۷:۰۱:۵۶,۱۴۰۱/۰۹/۰۷ ۱۷:۰۱:۵۶,/Reports/Decision.aspx?LetterSerial=iy0GaBHDm8VU2xUMwgQXcQ%3d%3d&rt=5&let=58&ct=0&ft=-1
