TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075047,اعتلا,سرمایه گذاری اعتلاء البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۶ ۱۲:۱۳:۴۶,۱۴۰۲/۰۶/۰۶ ۱۲:۱۳:۴۶,/Reports/Decision.aspx?LetterSerial=Fz34oDNW3%2b5q%2buKTZo2eSQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1068540,اعتلا,سرمایه گذاری اعتلاء البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۵/۱۶ ۱۶:۴۹:۲۰,۱۴۰۲/۰۵/۱۶ ۱۶:۴۹:۲۰,/Reports/Decision.aspx?LetterSerial=HpjcXkYLupkNIgGBZKRSwQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1062676,اعتلا,سرمایه گذاری اعتلاء البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۴ ۱۰:۴۰:۰۵,۱۴۰۲/۰۵/۰۴ ۱۰:۴۰:۰۵,/Reports/Decision.aspx?LetterSerial=j%2bn7vk7KgLLz%2bYSRktFVLw%3d%3d&rt=2&let=8&ct=0&ft=-1
1044434,اعتلا,سرمایه گذاری اعتلاء البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۶ ۱۰:۰۰:۴۲,۱۴۰۲/۰۴/۰۶ ۱۰:۰۰:۴۲,/Reports/Decision.aspx?LetterSerial=cByQvfXfQCFo5QQQaQQQboQQQaQQQqBSIw%3d%3d&rt=2&let=8&ct=0&ft=-1
1039866,اعتلا,سرمایه گذاری اعتلاء البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۳/۲۳ ۱۵:۲۶:۳۴,۱۴۰۲/۰۳/۲۳ ۱۵:۲۶:۳۴,/Reports/Decision.aspx?LetterSerial=OP3GeBlij5PrIf%2baYCylVw%3d%3d&rt=2&let=8&ct=0&ft=-1
1030301,اعتلا,سرمایه گذاری اعتلاء البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۶ ۱۴:۴۵:۰۰,۱۴۰۲/۰۳/۰۶ ۱۴:۴۵:۰۰,/Reports/Decision.aspx?LetterSerial=%2bOQQQaQQQRqH2W8XiSUpElMSeZNg%3d%3d&rt=2&let=8&ct=0&ft=-1
1015960,اعتلا,سرمایه گذاری اعتلاء البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۵ ۱۵:۰۶:۱۲,۱۴۰۲/۰۲/۰۵ ۱۵:۰۶:۱۲,/Reports/Decision.aspx?LetterSerial=q3rh7qY2lmOZrcec5qnaWw%3d%3d&rt=2&let=8&ct=0&ft=-1
1006218,اعتلا,سرمایه گذاری اعتلاء البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۷ ۱۴:۳۵:۱۰,۱۴۰۲/۰۱/۰۷ ۱۴:۳۵:۱۰,/Reports/Decision.aspx?LetterSerial=KwMSUjZ7QQQaQQQ1oYREQmD103QQQaQQQA%3d%3d&rt=2&let=8&ct=0&ft=-1
994948,اعتلا,سرمایه گذاری اعتلاء البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۳ ۱۴:۳۳:۵۹,۱۴۰۱/۱۲/۰۳ ۱۴:۳۳:۵۹,/Reports/Decision.aspx?LetterSerial=NLQWTZ66m3v5hP5KS1Nn6w%3d%3d&rt=2&let=8&ct=0&ft=-1
987694,اعتلا,سرمایه گذاری اعتلاء البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰(اصلاحیه),ن-۳۱,۱۴۰۱/۱۱/۰۵ ۱۴:۰۴:۵۲,۱۴۰۱/۱۱/۰۵ ۱۴:۰۴:۵۲,/Reports/Decision.aspx?LetterSerial=g45PjQYZna5HiAs5c6ii7A%3d%3d&rt=2&let=8&ct=0&ft=-1
