TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074695,اپال,فرآوری معدنی اپال کانی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۴ ۱۲:۴۰:۲۱,۱۴۰۲/۰۶/۰۴ ۱۲:۴۰:۲۱,/Reports/Decision.aspx?LetterSerial=sKDCvWUzBT4swXXdzwxeyw%3d%3d&rt=2&let=8&ct=0&ft=-1
1064121,اپال,فرآوری معدنی اپال کانی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۴ ۱۴:۲۵:۲۰,۱۴۰۲/۰۵/۰۴ ۱۴:۲۵:۲۰,/Reports/Decision.aspx?LetterSerial=qVAGoOSNUDHO6Bf1fbzrCw%3d%3d&rt=2&let=8&ct=0&ft=-1
1045140,اپال,فرآوری معدنی اپال کانی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۵ ۰۸:۱۱:۳۲,۱۴۰۲/۰۴/۰۵ ۰۸:۱۱:۳۲,/Reports/Decision.aspx?LetterSerial=N0%2b2yGLQQQaQQQRuzaMYqGDd4MSw%3d%3d&rt=2&let=8&ct=0&ft=-1
1028201,اپال,فرآوری معدنی اپال کانی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۲ ۱۲:۲۰:۰۰,۱۴۰۲/۰۳/۰۲ ۱۲:۲۰:۰۰,/Reports/Decision.aspx?LetterSerial=OC6gQ2F1DeSpF%2bPB5XBp8Q%3d%3d&rt=2&let=8&ct=0&ft=-1
1017221,اپال,فرآوری معدنی اپال کانی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۶ ۰۹:۲۸:۴۵,۱۴۰۲/۰۲/۰۶ ۰۹:۲۸:۴۵,/Reports/Decision.aspx?LetterSerial=5D6l%2b65jjFrTKIBjlmIG3w%3d%3d&rt=2&let=8&ct=0&ft=-1
1006653,اپال,فرآوری معدنی اپال کانی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۶ ۱۳:۴۵:۴۳,۱۴۰۲/۰۱/۰۶ ۱۳:۴۵:۴۳,/Reports/Decision.aspx?LetterSerial=S0JVfJ62QQQaQQQi0BKNjup0jS3w%3d%3d&rt=2&let=8&ct=0&ft=-1
988767,اپال,فرآوری معدنی اپال کانی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۲ ۱۶:۲۳:۱۵,۱۴۰۱/۱۲/۰۲ ۱۶:۲۳:۱۵,/Reports/Decision.aspx?LetterSerial=hhvt9hKejRoHjNgvJktUpg%3d%3d&rt=2&let=8&ct=0&ft=-1
987592,اپال,فرآوری معدنی اپال کانی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۵ ۱۳:۵۹:۱۲,۱۴۰۱/۱۱/۰۵ ۱۳:۵۹:۱۲,/Reports/Decision.aspx?LetterSerial=CcC7CuNPoQQQaQQQlVeHdwFEkJuQ%3d%3d&rt=2&let=8&ct=0&ft=-1
974679,اپال,فرآوری معدنی اپال کانی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۵ ۱۳:۲۵:۰۴,۱۴۰۱/۱۰/۰۵ ۱۳:۲۵:۰۴,/Reports/Decision.aspx?LetterSerial=yPeVghE5WRjFQQQaQQQxedYMFqKg%3d%3d&rt=2&let=8&ct=0&ft=-1
961805,اپال,فرآوری معدنی اپال کانی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۱ ۱۳:۵۱:۳۳,۱۴۰۱/۰۹/۰۱ ۱۳:۵۱:۳۳,/Reports/Decision.aspx?LetterSerial=Qq34pTiac0Ldk7DSs4rSyw%3d%3d&rt=2&let=8&ct=0&ft=-1
949838,اپال,فرآوری معدنی اپال کانی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۲ ۱۴:۵۴:۲۵,۱۴۰۱/۰۸/۰۲ ۱۴:۵۴:۲۵,/Reports/Decision.aspx?LetterSerial=VfO3peV9zOjjy3lJmROWJQ%3d%3d&rt=2&let=8&ct=0&ft=-1
941615,اپال,فرآوری معدنی اپال کانی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۰۶ ۰۹:۵۴:۵۲,۱۴۰۱/۰۷/۰۶ ۰۹:۵۴:۵۲,/Reports/Decision.aspx?LetterSerial=TPrww4lXQQQaQQQgmk699D4y5HQA%3d%3d&rt=2&let=8&ct=0&ft=-1
930933,اپال,فرآوری معدنی اپال کانی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۶ ۰۹:۲۶:۰۸,۱۴۰۱/۰۶/۰۶ ۰۹:۲۶:۰۸,/Reports/Decision.aspx?LetterSerial=%2biJJFxqupKK1AEzAa1I9QA%3d%3d&rt=2&let=8&ct=0&ft=-1
914944,اپال,فرآوری معدنی اپال کانی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۵/۰۲ ۱۱:۵۳:۲۷,۱۴۰۱/۰۵/۰۲ ۱۱:۵۳:۲۷,/Reports/Decision.aspx?LetterSerial=0XTJya01SPkD7Ujyif2Fzw%3d%3d&rt=2&let=8&ct=0&ft=-1
900239,اپال,فرآوری معدنی اپال کانی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۱,۱۴۰۱/۰۴/۰۱ ۱۴:۲۴:۲۳,۱۴۰۱/۰۴/۰۱ ۱۴:۲۴:۲۳,/Reports/Decision.aspx?LetterSerial=P9gdqVvXCiavPiUaaNPkjQ%3d%3d&rt=2&let=8&ct=0&ft=-1
885955,اپال,فرآوری معدنی اپال کانی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۱,۱۴۰۱/۰۳/۰۲ ۱۷:۰۳:۱۵,۱۴۰۱/۰۳/۰۲ ۱۷:۰۳:۱۵,/Reports/Decision.aspx?LetterSerial=VggFpMoLmS9k8dB8uVEhQQ%3d%3d&rt=2&let=8&ct=0&ft=-1
874927,اپال,فرآوری معدنی اپال کانی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۱,۱۴۰۱/۰۲/۰۶ ۱۱:۵۳:۵۰,۱۴۰۱/۰۲/۰۶ ۱۱:۵۳:۵۰,/Reports/Decision.aspx?LetterSerial=69t%2BIPRhxtarv1SZnT4zsA%3D%3D&rt=2&let=8&ct=0&ft=-1
865795,اپال,فرآوری معدنی اپال کانی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۱,۱۴۰۱/۰۱/۱۰ ۱۰:۴۱:۳۲,۱۴۰۱/۰۱/۱۰ ۱۰:۴۱:۳۲,/Reports/Decision.aspx?LetterSerial=eseQxSIQfKJpZWQepDLAKw%3D%3D&rt=2&let=8&ct=0&ft=-1
856127,اپال,فرآوری معدنی اپال کانی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۱,۱۴۰۰/۱۲/۰۵ ۱۰:۳۶:۱۲,۱۴۰۰/۱۲/۰۵ ۱۰:۳۶:۱۲,/Reports/Decision.aspx?LetterSerial=xv1xWd7bLViTK5XLp7cFdA%3D%3D&rt=2&let=8&ct=0&ft=-1
