TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076502,بالاس,مهندسی ساختمان و تأسیسات راه آهن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۱۸:۳۹:۵۶,۱۴۰۲/۰۶/۰۶ ۱۸:۳۹:۵۶,/Reports/Decision.aspx?LetterSerial=AaG4HMDDDilODEJU1c0Vag%3d%3d&rt=5&let=58&ct=0&ft=-1
1065417,بالاس,مهندسی ساختمان و تأسیسات راه آهن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۹:۵۹:۴۷,۱۴۰۲/۰۵/۰۷ ۱۹:۵۹:۴۷,/Reports/Decision.aspx?LetterSerial=bGNuoCJKvCZqafQQQaQQQ9CuZBGQ%3d%3d&rt=5&let=58&ct=0&ft=-1
1065415,بالاس,مهندسی ساختمان و تأسیسات راه آهن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۹:۱۲:۵۸,۱۴۰۲/۰۵/۰۷ ۱۹:۱۲:۵۸,/Reports/Decision.aspx?LetterSerial=lreIxItdpXeYEepb1Xi6mQ%3d%3d&rt=5&let=58&ct=0&ft=-1
1048161,بالاس,مهندسی ساختمان و تأسیسات راه آهن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۸:۴۲:۵۳,۱۴۰۲/۰۴/۰۷ ۱۸:۴۲:۵۳,/Reports/Decision.aspx?LetterSerial=Oj3sEQQQaQQQmlIwQHDdtqknFKEw%3d%3d&rt=5&let=58&ct=0&ft=-1
1048156,بالاس,مهندسی ساختمان و تأسیسات راه آهن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۸:۳۷:۴۱,۱۴۰۲/۰۴/۰۷ ۱۸:۳۷:۴۱,/Reports/Decision.aspx?LetterSerial=VjYVv5Q6zbUGbJn%2bdlotmQ%3d%3d&rt=5&let=58&ct=0&ft=-1
1048148,بالاس,مهندسی ساختمان و تأسیسات راه آهن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۸:۳۰:۲۹,۱۴۰۲/۰۴/۰۷ ۱۸:۳۰:۲۹,/Reports/Decision.aspx?LetterSerial=ugRzndDkD70In4MLuQQQaQQQYzzw%3d%3d&rt=5&let=58&ct=0&ft=-1
1032639,بالاس,مهندسی ساختمان و تأسیسات راه آهن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۸:۲۵:۴۴,۱۴۰۲/۰۳/۰۷ ۱۸:۲۵:۴۴,/Reports/Decision.aspx?LetterSerial=1eUqyfVOsa7Glz8SE6LYig%3d%3d&rt=5&let=58&ct=0&ft=-1
1019649,بالاس,مهندسی ساختمان و تأسیسات راه آهن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۷:۱۸:۰۶,۱۴۰۲/۰۲/۱۰ ۱۷:۱۸:۰۶,/Reports/Decision.aspx?LetterSerial=JMPPaXmWHzwOO8urM7MNRw%3d%3d&rt=5&let=58&ct=0&ft=-1
1009165,بالاس,مهندسی ساختمان و تأسیسات راه آهن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۳:۱۶:۰۹,۱۴۰۲/۰۱/۰۹ ۱۳:۱۶:۰۹,/Reports/Decision.aspx?LetterSerial=schSTALP6PVZkRYiQoMNMw%3d%3d&rt=5&let=58&ct=0&ft=-1
997698,بالاس,مهندسی ساختمان و تأسیسات راه آهن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۶:۴۱:۰۱,۱۴۰۱/۱۲/۰۷ ۱۶:۴۱:۰۱,/Reports/Decision.aspx?LetterSerial=DKTWu0r1ES2jjbolev9aAA%3d%3d&rt=5&let=58&ct=0&ft=-1
987770,بالاس,مهندسی ساختمان و تأسیسات راه آهن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۴:۵۴:۵۷,۱۴۰۱/۱۱/۰۵ ۱۴:۵۴:۵۷,/Reports/Decision.aspx?LetterSerial=QQQaQQQxVuOn2KmE2DItfzhici9A%3d%3d&rt=5&let=58&ct=0&ft=-1
985070,بالاس,مهندسی ساختمان و تأسیسات راه آهن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۰۱ ۱۶:۱۳:۳۵,۱۴۰۱/۱۱/۰۱ ۱۶:۱۳:۳۵,/Reports/Decision.aspx?LetterSerial=xUQQQaQQQGe%2b4PzA%2bn%2bDZIMkTgKw%3d%3d&rt=5&let=58&ct=0&ft=-1
976784,بالاس,مهندسی ساختمان و تأسیسات راه آهن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۵:۴۲:۳۷,۱۴۰۱/۱۰/۱۰ ۱۵:۴۲:۳۷,/Reports/Decision.aspx?LetterSerial=wywoDf%2bKwvev5QQQaQQQ96ZCwBUw%3d%3d&rt=5&let=58&ct=0&ft=-1
976347,بالاس,مهندسی ساختمان و تأسیسات راه آهن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۵:۳۶:۲۹,۱۴۰۱/۱۰/۱۰ ۱۵:۳۶:۲۹,/Reports/Decision.aspx?LetterSerial=kuSy4gJU48WHUWlE1IblHw%3d%3d&rt=5&let=58&ct=0&ft=-1
966173,بالاس,مهندسی ساختمان و تأسیسات راه آهن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۰۹ ۱۶:۴۹:۰۱,۱۴۰۱/۰۹/۰۹ ۱۶:۴۹:۰۱,/Reports/Decision.aspx?LetterSerial=oteMHh6sVBW2BgXPOVxvPA%3d%3d&rt=5&let=58&ct=0&ft=-1
966169,بالاس,مهندسی ساختمان و تأسیسات راه آهن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۰۹ ۱۶:۴۴:۴۰,۱۴۰۱/۰۹/۰۹ ۱۶:۴۴:۴۰,/Reports/Decision.aspx?LetterSerial=38Mrn6phNhkoqt3FbQQQaQQQR0MQ%3d%3d&rt=5&let=58&ct=0&ft=-1
