TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074970,بخاور,بیمه زندگی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۴:۳۷:۵۳,۱۴۰۲/۰۶/۰۴ ۱۴:۳۷:۵۳,/Reports/Decision.aspx?LetterSerial=XphIuSUKSNw78RtXJCQQQaQQQHvQ%3d%3d&rt=6&let=58&ct=0&ft=-1
1063671,بخاور,بیمه زندگی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۴:۵۸:۲۵,۱۴۰۲/۰۵/۰۳ ۱۴:۵۸:۲۵,/Reports/Decision.aspx?LetterSerial=ctqAz0LvCAcD5mwyetKiMA%3d%3d&rt=6&let=58&ct=0&ft=-1
1045220,بخاور,بیمه زندگی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۱:۳۸:۱۶,۱۴۰۲/۰۴/۰۴ ۱۱:۳۸:۱۶,/Reports/Decision.aspx?LetterSerial=CrsBWU0ytMv1XeD5PUH1rQ%3d%3d&rt=6&let=58&ct=0&ft=-1
1029940,بخاور,بیمه زندگی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۱:۱۲:۲۱,۱۴۰۲/۰۳/۰۳ ۱۱:۱۲:۲۱,/Reports/Decision.aspx?LetterSerial=oYyzNBIfbAlTzQKVyfEWmA%3d%3d&rt=6&let=58&ct=0&ft=-1
1029803,بخاور,بیمه زندگی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۰۲ ۱۵:۲۵:۱۳,۱۴۰۲/۰۳/۰۲ ۱۵:۲۵:۱۳,/Reports/Decision.aspx?LetterSerial=PCBHPBVSNOYq7vJr7YNcJA%3d%3d&rt=6&let=58&ct=0&ft=-1
1016879,بخاور,بیمه زندگی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۰۸:۵۷:۳۵,۱۴۰۲/۰۲/۰۶ ۰۸:۵۷:۳۵,/Reports/Decision.aspx?LetterSerial=rTzeTPwQQQaQQQrxIyRcUw7YSLcA%3d%3d&rt=6&let=58&ct=0&ft=-1
1007080,بخاور,بیمه زندگی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۲:۰۴:۳۵,۱۴۰۲/۰۱/۰۷ ۱۲:۰۴:۳۵,/Reports/Decision.aspx?LetterSerial=YFqpzZ1C2AQQQaQQQH4IeUKYyPZg%3d%3d&rt=6&let=58&ct=0&ft=-1
996280,بخاور,بیمه زندگی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۶:۱۵:۳۱,۱۴۰۱/۱۲/۰۳ ۱۶:۱۵:۳۱,/Reports/Decision.aspx?LetterSerial=LDJwcWuHQQQaQQQbEGrt82kLFYdg%3d%3d&rt=6&let=58&ct=0&ft=-1
986163,بخاور,بیمه زندگی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۳ ۱۳:۱۱:۰۰,۱۴۰۱/۱۱/۰۳ ۱۳:۱۱:۰۰,/Reports/Decision.aspx?LetterSerial=XHkEL%2bOznPQ%2bwx49jtWZCQ%3d%3d&rt=6&let=58&ct=0&ft=-1
974545,بخاور,بیمه زندگی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۲:۳۲:۳۰,۱۴۰۱/۱۰/۰۴ ۱۲:۳۲:۳۰,/Reports/Decision.aspx?LetterSerial=Wu2zQQQaQQQQXJv4QQQaQQQXDFsSlKP7QQ%3d%3d&rt=6&let=58&ct=0&ft=-1
962231,بخاور,بیمه زندگی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۲ ۱۰:۱۴:۵۰,۱۴۰۱/۰۹/۰۲ ۱۰:۱۴:۵۰,/Reports/Decision.aspx?LetterSerial=njLzqMS3tQQQaQQQAmC9qiFxrGEg%3d%3d&rt=6&let=58&ct=0&ft=-1
950677,بخاور,بیمه زندگی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۳ ۱۲:۵۱:۲۹,۱۴۰۱/۰۸/۰۳ ۱۲:۵۱:۲۹,/Reports/Decision.aspx?LetterSerial=5X9yq%2bLNy8Yya8bETyUoUQ%3d%3d&rt=6&let=58&ct=0&ft=-1
941206,بخاور,بیمه زندگی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۴ ۱۱:۳۸:۰۸,۱۴۰۱/۰۷/۰۴ ۱۱:۳۸:۰۸,/Reports/Decision.aspx?LetterSerial=SQz1raWwGbVfx94LVbx1Kg%3d%3d&rt=6&let=58&ct=0&ft=-1
928797,بخاور,بیمه زندگی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۲ ۱۵:۱۸:۱۱,۱۴۰۱/۰۶/۰۲ ۱۵:۱۸:۱۱,/Reports/Decision.aspx?LetterSerial=5m1QuMbegegf8CKTmulV0A%3d%3d&rt=6&let=58&ct=0&ft=-1
917575,بخاور,بیمه زندگی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۲ ۱۵:۲۴:۴۱,۱۴۰۱/۰۵/۰۲ ۱۵:۲۴:۴۱,/Reports/Decision.aspx?LetterSerial=kQQQaQQQc2l4qZkTtu0sMYvAOSOw%3d%3d&rt=6&let=58&ct=0&ft=-1
901326,بخاور,بیمه زندگی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۴ ۱۴:۱۰:۵۳,۱۴۰۱/۰۴/۰۴ ۱۴:۱۰:۵۳,/Reports/Decision.aspx?LetterSerial=FfLPEFksmP9zz%2b6QZmn47Q%3d%3d&rt=6&let=58&ct=0&ft=-1
