TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075424,برکت,گروه دارویی برکت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۶ ۱۸:۱۸:۳۶,۱۴۰۲/۰۶/۰۶ ۱۸:۱۸:۳۶,/Reports/Decision.aspx?LetterSerial=7FQASIzywD9GDeebYOVkiw%3d%3d&rt=2&let=8&ct=0&ft=-1
1063874,برکت,گروه دارویی برکت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۴ ۱۷:۳۲:۲۹,۱۴۰۲/۰۵/۰۴ ۱۷:۳۲:۲۹,/Reports/Decision.aspx?LetterSerial=QQQaQQQJQ1oYKVxKBRQQQaQQQJOn7FokUQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1046105,برکت,گروه دارویی برکت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۵ ۱۵:۴۱:۴۹,۱۴۰۲/۰۴/۰۵ ۱۵:۴۱:۴۹,/Reports/Decision.aspx?LetterSerial=eeAF1yWwmjsvzQOcbKnmlQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1031262,برکت,گروه دارویی برکت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۶ ۱۳:۵۲:۰۴,۱۴۰۲/۰۳/۰۶ ۱۳:۵۲:۰۴,/Reports/Decision.aspx?LetterSerial=fOU4QQQaQQQz1xx0HeFQQQaQQQKUNTHJyQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1016730,برکت,گروه دارویی برکت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۶ ۱۱:۳۵:۳۱,۱۴۰۲/۰۲/۰۶ ۱۱:۳۵:۳۱,/Reports/Decision.aspx?LetterSerial=S2pdU3tAjuYF3mjuXv0Pxg%3d%3d&rt=2&let=8&ct=0&ft=-1
1006330,برکت,گروه دارویی برکت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۸ ۱۰:۴۱:۵۰,۱۴۰۲/۰۱/۰۸ ۱۰:۴۱:۵۰,/Reports/Decision.aspx?LetterSerial=fJcEOVaK0MI8Jsw9Je5fwg%3d%3d&rt=2&let=8&ct=0&ft=-1
995489,برکت,گروه دارویی برکت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۲ ۱۴:۳۳:۲۱,۱۴۰۱/۱۲/۰۲ ۱۴:۳۳:۲۱,/Reports/Decision.aspx?LetterSerial=E1lf8cDZ02%2be8s5c%2bElidw%3d%3d&rt=2&let=8&ct=0&ft=-1
987183,برکت,گروه دارویی برکت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۵ ۱۴:۵۷:۰۹,۱۴۰۱/۱۱/۰۵ ۱۴:۵۷:۰۹,/Reports/Decision.aspx?LetterSerial=mNr1yTH4cpAFHV4nFpDr2w%3d%3d&rt=2&let=8&ct=0&ft=-1
975169,برکت,گروه دارویی برکت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۵ ۱۴:۴۵:۲۰,۱۴۰۱/۱۰/۰۵ ۱۴:۴۵:۲۰,/Reports/Decision.aspx?LetterSerial=Of0DyxnGsgQyywm3fHFrZA%3d%3d&rt=2&let=8&ct=0&ft=-1
963605,برکت,گروه دارویی برکت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۶ ۰۹:۰۸:۰۶,۱۴۰۱/۰۹/۰۶ ۰۹:۰۸:۰۶,/Reports/Decision.aspx?LetterSerial=6QQQaQQQwT24ZI6ySMGbvW8Cob7w%3d%3d&rt=2&let=8&ct=0&ft=-1
