TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075308,بموتو,موتوژن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۰۹:۳۹:۵۷,۱۴۰۲/۰۶/۰۵ ۰۹:۳۹:۵۷,/Reports/Decision.aspx?LetterSerial=xQQQaQQQkE%2bmOhSwe50ukU69qIJQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1064780,بموتو,موتوژن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۶ ۱۸:۱۹:۲۴,۱۴۰۲/۰۵/۰۶ ۱۸:۱۹:۲۴,/Reports/Decision.aspx?LetterSerial=mzfXrQQQaQQQ42HWAxNF3X7fhkjQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1053592,بموتو,موتوژن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۱۸ ۲۰:۱۶:۳۸,۱۴۰۲/۰۴/۱۸ ۲۰:۱۶:۳۸,/Reports/Decision.aspx?LetterSerial=63XzpFL8L%2bGZLRlzuuFRsA%3d%3d&rt=0&let=58&ct=0&ft=-1
1048076,بموتو,موتوژن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۹:۳۴:۴۹,۱۴۰۲/۰۴/۰۷ ۱۹:۳۴:۴۹,/Reports/Decision.aspx?LetterSerial=tRW74rdMksBWXp6R%2bi5xJw%3d%3d&rt=0&let=58&ct=0&ft=-1
1031101,بموتو,موتوژن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۲۰:۱۴:۱۷,۱۴۰۲/۰۳/۰۴ ۲۰:۱۴:۱۷,/Reports/Decision.aspx?LetterSerial=SGl6OxYLvyhkSmukuxHDVg%3d%3d&rt=0&let=58&ct=0&ft=-1
1031097,بموتو,موتوژن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۰۴ ۱۶:۳۸:۱۶,۱۴۰۲/۰۳/۰۴ ۱۶:۳۸:۱۶,/Reports/Decision.aspx?LetterSerial=3utWKuh0BkY7rcaI2QQQaQQQlh4w%3d%3d&rt=0&let=58&ct=0&ft=-1
1024576,بموتو,موتوژن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۳ ۱۱:۰۱:۳۲,۱۴۰۲/۰۲/۲۳ ۱۱:۰۱:۳۲,/Reports/Decision.aspx?LetterSerial=TqF4IK8LWF4tEdDQQQaQQQDEs%2bTQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1017789,بموتو,موتوژن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۶:۳۹:۳۲,۱۴۰۲/۰۲/۰۶ ۱۶:۳۹:۳۲,/Reports/Decision.aspx?LetterSerial=VFzhAXa%2b0ZHqZ7NGPJg4tg%3d%3d&rt=0&let=58&ct=0&ft=-1
1014214,بموتو,موتوژن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۱/۲۸ ۱۷:۲۵:۱۸,۱۴۰۲/۰۱/۲۸ ۱۷:۲۵:۱۸,/Reports/Decision.aspx?LetterSerial=PbTf5e5XQubL8bnlIa%2bIlA%3d%3d&rt=0&let=58&ct=0&ft=-1
1009429,بموتو,موتوژن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۱۰ ۱۵:۳۹:۰۷,۱۴۰۲/۰۱/۱۰ ۱۵:۳۹:۰۷,/Reports/Decision.aspx?LetterSerial=kzmtCPnjqNKleR1yXMOpmw%3d%3d&rt=0&let=58&ct=0&ft=-1
996393,بموتو,موتوژن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۸:۲۲:۳۰,۱۴۰۱/۱۲/۰۳ ۱۸:۲۲:۳۰,/Reports/Decision.aspx?LetterSerial=LBpwp5sjNC9JZDikJ5dyGQ%3d%3d&rt=0&let=58&ct=0&ft=-1
987273,بموتو,موتوژن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۲۰:۱۵:۳۲,۱۴۰۱/۱۱/۰۴ ۲۰:۱۵:۳۲,/Reports/Decision.aspx?LetterSerial=we4ijOGXEKsDnJAPOG0ENg%3d%3d&rt=0&let=58&ct=0&ft=-1
983479,بموتو,موتوژن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۸ ۰۷:۵۱:۵۵,۱۴۰۱/۱۰/۲۸ ۰۷:۵۱:۵۵,/Reports/Decision.aspx?LetterSerial=wNAUrPnYfD3fg3jtgCgpZg%3d%3d&rt=0&let=58&ct=0&ft=-1
976334,بموتو,موتوژن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۰:۵۶:۱۹,۱۴۰۱/۱۰/۱۰ ۱۰:۵۶:۱۹,/Reports/Decision.aspx?LetterSerial=XpXQQOyzLL7bw3RPUGcFag%3d%3d&rt=0&let=58&ct=0&ft=-1
965062,بموتو,موتوژن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۲۱:۱۶:۰۹,۱۴۰۱/۰۹/۰۷ ۲۱:۱۶:۰۹,/Reports/Decision.aspx?LetterSerial=2YiRzw14F4tuqCLc%2b9cTdA%3d%3d&rt=0&let=58&ct=0&ft=-1
961197,بموتو,موتوژن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۳۰ ۱۶:۱۷:۴۱,۱۴۰۱/۰۸/۳۰ ۱۶:۱۷:۴۱,/Reports/Decision.aspx?LetterSerial=DPdZXVPYixDDmFd2USZZQQQaQQQQ%3d%3d&rt=0&let=58&ct=0&ft=-1
961129,بموتو,موتوژن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۳۰ ۱۵:۵۷:۵۸,۱۴۰۱/۰۸/۳۰ ۱۵:۵۷:۵۸,/Reports/Decision.aspx?LetterSerial=KdERuCeyoxh572IZEQQQaQQQ9Rvw%3d%3d&rt=0&let=58&ct=0&ft=-1
