TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1071408,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۶:۰۰:۳۱,۱۴۰۲/۰۶/۰۷ ۱۶:۰۰:۳۱,/Reports/Decision.aspx?LetterSerial=mFiZTpDQVYNPf7hMku6BOA%3d%3d&rt=0&let=58&ct=0&ft=-1
1061610,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۷:۱۹:۰۵,۱۴۰۲/۰۵/۰۴ ۱۷:۱۹:۰۵,/Reports/Decision.aspx?LetterSerial=l1WsmzLA4vfNGZvsix9pDA%3d%3d&rt=0&let=58&ct=0&ft=-1
1039979,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۲:۵۴:۱۲,۱۴۰۲/۰۴/۰۷ ۱۲:۵۴:۱۲,/Reports/Decision.aspx?LetterSerial=MtMyvt71bEYKQeVs%2bS9IJw%3d%3d&rt=0&let=58&ct=0&ft=-1
1028852,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۸:۰۰:۳۱,۱۴۰۲/۰۳/۰۷ ۱۸:۰۰:۳۱,/Reports/Decision.aspx?LetterSerial=Cjo5QQQaQQQQQQaQQQJ40iHQBjIYg1b4iw%3d%3d&rt=0&let=58&ct=0&ft=-1
1031050,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۴:۲۷:۲۶,۱۴۰۲/۰۳/۰۶ ۱۴:۲۷:۲۶,/Reports/Decision.aspx?LetterSerial=DO8QQQaQQQkJa8QQQaQQQU01OCG5uZ%2b%2bbA%3d%3d&rt=0&let=58&ct=0&ft=-1
1020165,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۱۴ ۱۰:۱۴:۳۳,۱۴۰۲/۰۲/۱۴ ۱۰:۱۴:۳۳,/Reports/Decision.aspx?LetterSerial=%2bYPqgtA5tS6GQQQaQQQBScKq3Kug%3d%3d&rt=0&let=58&ct=0&ft=-1
1015748,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۶:۴۰:۴۸,۱۴۰۲/۰۲/۱۰ ۱۶:۴۰:۴۸,/Reports/Decision.aspx?LetterSerial=IwjIqAyW30oIS20daG9few%3d%3d&rt=0&let=58&ct=0&ft=-1
1004192,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۳:۲۵:۰۵,۱۴۰۲/۰۱/۰۸ ۱۳:۲۵:۰۵,/Reports/Decision.aspx?LetterSerial=fBVY1RLzlGrpr6bBNdDFfQ%3d%3d&rt=0&let=58&ct=0&ft=-1
993977,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۰۹:۳۷:۰۲,۱۴۰۱/۱۲/۰۷ ۰۹:۳۷:۰۲,/Reports/Decision.aspx?LetterSerial=zEA1LnONPM0J6ylJzbSpGg%3d%3d&rt=0&let=58&ct=0&ft=-1
985807,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۷:۰۲:۰۶,۱۴۰۱/۱۱/۰۴ ۱۷:۰۲:۰۶,/Reports/Decision.aspx?LetterSerial=E7aQQQaQQQa8OSBpbjNrb0DJ6haA%3d%3d&rt=0&let=58&ct=0&ft=-1
982252,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۶ ۱۵:۱۴:۵۰,۱۴۰۱/۱۰/۲۶ ۱۵:۱۴:۵۰,/Reports/Decision.aspx?LetterSerial=nZb94C8KQhhszsx4qXV3bQ%3d%3d&rt=0&let=58&ct=0&ft=-1
976385,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۵:۴۲:۳۳,۱۴۰۱/۱۰/۱۰ ۱۵:۴۲:۳۳,/Reports/Decision.aspx?LetterSerial=mlf22BE3WYGE2f6u0TOlrA%3d%3d&rt=0&let=58&ct=0&ft=-1
973205,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۱:۲۰:۰۷,۱۴۰۱/۱۰/۰۷ ۱۱:۲۰:۰۷,/Reports/Decision.aspx?LetterSerial=RGrEtOkDt7hnTIdy55QQQaQQQ3jQ%3d%3d&rt=0&let=58&ct=0&ft=-1
961844,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۶ ۱۰:۲۷:۵۱,۱۴۰۱/۰۹/۰۶ ۱۰:۲۷:۵۱,/Reports/Decision.aspx?LetterSerial=fXeoAlktDRuSDbrvW2hPNQ%3d%3d&rt=0&let=58&ct=0&ft=-1
958001,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۲۴ ۱۵:۴۳:۲۳,۱۴۰۱/۰۸/۲۴ ۱۵:۴۳:۲۳,/Reports/Decision.aspx?LetterSerial=tdqFs0EEVMr1ngETQQQaQQQA24Yw%3d%3d&rt=0&let=58&ct=0&ft=-1
955867,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۲۳ ۱۷:۴۴:۱۱,۱۴۰۱/۰۸/۲۳ ۱۷:۴۴:۱۱,/Reports/Decision.aspx?LetterSerial=7SkdcIJRQQQaQQQkqCTJ34fj01AQ%3d%3d&rt=0&let=58&ct=0&ft=-1
950988,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۱۸:۳۷:۱۴,۱۴۰۱/۰۸/۰۷ ۱۸:۳۷:۱۴,/Reports/Decision.aspx?LetterSerial=01jyodcLBqmThc3lyRH5ag%3d%3d&rt=0&let=58&ct=0&ft=-1
947736,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۲۷ ۱۳:۴۵:۳۴,۱۴۰۱/۰۷/۲۷ ۱۳:۴۵:۳۴,/Reports/Decision.aspx?LetterSerial=lWlxclopc2gCgyyIj4A3qA%3d%3d&rt=0&let=58&ct=0&ft=-1
942949,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۱۰ ۱۹:۰۸:۵۶,۱۴۰۱/۰۷/۱۰ ۱۹:۰۸:۵۶,/Reports/Decision.aspx?LetterSerial=54RThA%2b96s9vBvkceZ8i9g%3d%3d&rt=0&let=58&ct=0&ft=-1
933551,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۱۰ ۱۶:۲۲:۰۷,۱۴۰۱/۰۷/۱۰ ۱۶:۲۲:۰۷,/Reports/Decision.aspx?LetterSerial=h1DFNYGwMDsAE9k4soVLLw%3d%3d&rt=0&let=58&ct=0&ft=-1
930335,بکام,کارخانجات تولیدی شهید قندی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۷ ۱۵:۳۳:۳۷,۱۴۰۱/۰۶/۰۷ ۱۵:۳۳:۳۷,/Reports/Decision.aspx?LetterSerial=JvGc1J2u2ZzzxYDwrfb3lA%3d%3d&rt=0&let=58&ct=0&ft=-1
918027,بکام,کارخانجات تولیدی شهید قندی (کابلهای مخابراتی شهید قندی),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۶:۰۵:۱۰,۱۴۰۱/۰۵/۰۵ ۱۶:۰۵:۱۰,/Reports/Decision.aspx?LetterSerial=%2brERQqnwyvQQQaQQQAXoFCQ0Nkhg%3d%3d&rt=0&let=58&ct=0&ft=-1
915473,بکام,کارخانجات تولیدی شهید قندی (کابلهای مخابراتی شهید قندی),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۲۹ ۱۶:۱۳:۰۰,۱۴۰۱/۰۴/۲۹ ۱۶:۱۳:۰۰,/Reports/Decision.aspx?LetterSerial=opIavKdYsUHudsqsHnlQpg%3d%3d&rt=0&let=58&ct=0&ft=-1
897028,بکام,کارخانجات تولیدی شهید قندی (کابلهای مخابراتی شهید قندی),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۱۱ ۱۶:۴۸:۱۶,۱۴۰۱/۰۴/۱۱ ۱۶:۴۸:۱۶,/Reports/Decision.aspx?LetterSerial=wmJJltaLMRcxvQi45iwpow%3d%3d&rt=0&let=58&ct=0&ft=-1
891447,بکام,کارخانجات تولیدی شهید قندی (کابلهای مخابراتی شهید قندی),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۳/۱۰ ۱۵:۰۸:۲۹,۱۴۰۱/۰۳/۱۰ ۱۵:۰۸:۲۹,/Reports/Decision.aspx?LetterSerial=c8%2bBgUwN%2bFlL2fBKJfF8jw%3d%3d&rt=0&let=58&ct=0&ft=-1
887928,بکام,کارخانجات تولیدی شهید قندی (کابلهای مخابراتی شهید قندی),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۷ ۰۸:۱۸:۴۴,۱۴۰۱/۰۳/۰۷ ۰۸:۱۸:۴۴,/Reports/Decision.aspx?LetterSerial=bip9WJwlTVfKeAJ8MjmfDw%3d%3d&rt=0&let=58&ct=0&ft=-1
875881,بکام,کارخانجات تولیدی شهید قندی (کابلهای مخابراتی شهید قندی),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۱۰ ۱۶:۱۰:۰۲,۱۴۰۱/۰۲/۱۰ ۱۶:۱۰:۰۲,/Reports/Decision.aspx?LetterSerial=u62c0Y6oLxfh1jrw4KNz9A%3D%3D&rt=0&let=58&ct=0&ft=-1
875623,بکام,کارخانجات تولیدی شهید قندی (کابلهای مخابراتی شهید قندی),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۲/۰۷ ۱۳:۴۲:۱۴,۱۴۰۱/۰۲/۰۷ ۱۳:۴۲:۱۴,/Reports/Decision.aspx?LetterSerial=sFCs42Ns71uHRrzFC0QiBQ%3D%3D&rt=0&let=58&ct=0&ft=-1
862738,بکام,کارخانجات تولیدی شهید قندی (کابلهای مخابراتی شهید قندی),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۰۸ ۱۵:۲۸:۵۳,۱۴۰۱/۰۱/۰۸ ۱۵:۲۸:۵۳,/Reports/Decision.aspx?LetterSerial=PQQQaQQQsFKGQKDyNUxMTGAeQk5g%3D%3D&rt=0&let=58&ct=0&ft=-1
859045,بکام,کارخانجات تولیدی شهید قندی (کابلهای مخابراتی شهید قندی),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰(اصلاحیه),ن-۳۰,۱۴۰۰/۱۲/۱۱ ۱۶:۲۴:۱۹,۱۴۰۰/۱۲/۱۱ ۱۶:۲۴:۱۹,/Reports/Decision.aspx?LetterSerial=c%2BGOg82BQ15fZB9IQQQaQQQ5cMeg%3D%3D&rt=0&let=58&ct=0&ft=-1
854632,بکام,کارخانجات تولیدی شهید قندی (کابلهای مخابراتی شهید قندی),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۷ ۰۸:۱۲:۳۱,۱۴۰۰/۱۲/۰۷ ۰۸:۱۲:۳۱,/Reports/Decision.aspx?LetterSerial=dXZ5UpAtmDo6bXnamxjqoA%3D%3D&rt=0&let=58&ct=0&ft=-1
848856,بکام,کارخانجات تولیدی شهید قندی (کابلهای مخابراتی شهید قندی),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۴۰۰/۱۱/۰۶ ۱۶:۴۷:۳۰,۱۴۰۰/۱۱/۰۶ ۱۶:۴۷:۳۰,/Reports/Decision.aspx?LetterSerial=aDj3mFc4RP77Qf2zx1Am8A%3D%3D&rt=0&let=58&ct=0&ft=-1
845204,بکام,کارخانجات تولیدی شهید قندی (کابلهای مخابراتی شهید قندی),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۵ ۱۵:۲۲:۱۶,۱۴۰۰/۱۱/۰۵ ۱۵:۲۲:۱۶,/Reports/Decision.aspx?LetterSerial=q84F1duCVuIomaX88KAM6Q%3D%3D&rt=0&let=58&ct=0&ft=-1
831426,بکام,کارخانجات تولیدی شهید قندی (کابلهای مخابراتی شهید قندی),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۰,۱۴۰۰/۱۰/۰۶ ۱۹:۰۳:۰۹,۱۴۰۰/۱۰/۰۶ ۱۹:۰۳:۰۹,/Reports/Decision.aspx?LetterSerial=WsKDpYvQQQaQQQLCndQrpJyurLMw%3D%3D&rt=0&let=58&ct=0&ft=-1
