TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075775,بکهنوج,تولید برق ماه تاب کهنوج,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۷:۳۵:۳۰,۱۴۰۲/۰۶/۰۵ ۱۷:۳۵:۳۰,/Reports/Decision.aspx?LetterSerial=y8ONF9AHyLoQQQaQQQRfulfQQQaQQQbGcA%3d%3d&rt=0&let=58&ct=0&ft=-1
1073540,بکهنوج,تولید برق ماه تاب کهنوج,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۳۰ ۱۷:۵۳:۴۳,۱۴۰۲/۰۵/۳۰ ۱۷:۵۳:۴۳,/Reports/Decision.aspx?LetterSerial=wuOJhhnLTEegS9VGOf%2bMWw%3d%3d&rt=0&let=58&ct=0&ft=-1
1064758,بکهنوج,تولید برق ماه تاب کهنوج,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۲۱:۰۵:۲۷,۱۴۰۲/۰۵/۰۴ ۲۱:۰۵:۲۷,/Reports/Decision.aspx?LetterSerial=T8vRMgDuiPD49yFvcyNyjQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1046316,بکهنوج,تولید برق ماه تاب کهنوج,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۷:۲۳:۲۲,۱۴۰۲/۰۴/۰۵ ۱۷:۲۳:۲۲,/Reports/Decision.aspx?LetterSerial=cyH9UJTALHxfRH3jST7B1A%3d%3d&rt=0&let=58&ct=0&ft=-1
1028315,بکهنوج,تولید برق ماه تاب کهنوج,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۲۳:۳۲:۵۴,۱۴۰۲/۰۳/۰۳ ۲۳:۳۲:۵۴,/Reports/Decision.aspx?LetterSerial=ljngHat2AFhvnpaLImKyjw%3d%3d&rt=0&let=58&ct=0&ft=-1
1013792,بکهنوج,تولید برق ماه تاب کهنوج,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۴ ۱۷:۲۶:۴۴,۱۴۰۲/۰۲/۰۴ ۱۷:۲۶:۴۴,/Reports/Decision.aspx?LetterSerial=eNKEDAQQQaQQQTjTQ%2bVNxxp1kXqA%3d%3d&rt=0&let=58&ct=0&ft=-1
1005814,بکهنوج,تولید برق ماه تاب کهنوج,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۵ ۱۲:۵۴:۰۳,۱۴۰۲/۰۱/۰۵ ۱۲:۵۴:۰۳,/Reports/Decision.aspx?LetterSerial=65txeJ%2b7pZjpY04Ya3Cisw%3d%3d&rt=0&let=58&ct=0&ft=-1
1005645,بکهنوج,تولید برق ماه تاب کهنوج,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۲/۲۷ ۲۰:۳۰:۰۹,۱۴۰۱/۱۲/۲۷ ۲۰:۳۰:۰۹,/Reports/Decision.aspx?LetterSerial=LFmpfbuwO0Rlx3XQsKF9ew%3d%3d&rt=0&let=58&ct=0&ft=-1
996192,بکهنوج,تولید برق ماه تاب کهنوج,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۶:۱۷:۲۳,۱۴۰۱/۱۲/۰۳ ۱۶:۱۷:۲۳,/Reports/Decision.aspx?LetterSerial=5lrhFBxdl4mN1RQQQaQQQzJUf1zQ%3d%3d&rt=0&let=58&ct=0&ft=-1
987278,بکهنوج,تولید برق ماه تاب کهنوج,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۱:۰۷:۱۳,۱۴۰۱/۱۱/۰۵ ۱۱:۰۷:۱۳,/Reports/Decision.aspx?LetterSerial=Snrjw9jTPOd7ZkRZruygHA%3d%3d&rt=0&let=58&ct=0&ft=-1
974190,بکهنوج,تولید برق ماه تاب کهنوج,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۱:۲۳:۴۴,۱۴۰۱/۱۰/۰۴ ۱۱:۲۳:۴۴,/Reports/Decision.aspx?LetterSerial=oQQQaQQQTEDDzPc2lIe75HlCLQQQaQQQ4g%3d%3d&rt=0&let=58&ct=0&ft=-1
966481,بکهنوج,تولید برق ماه تاب کهنوج,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۱۲ ۱۵:۰۱:۵۶,۱۴۰۱/۰۹/۱۲ ۱۵:۰۱:۵۶,/Reports/Decision.aspx?LetterSerial=sjlwkZ4WKFEv38mPRe6MvA%3d%3d&rt=0&let=58&ct=0&ft=-1
963120,بکهنوج,تولید برق ماه تاب کهنوج,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۴:۰۲:۱۸,۱۴۰۱/۰۹/۰۵ ۱۴:۰۲:۱۸,/Reports/Decision.aspx?LetterSerial=EbCocFf96p9QQQaQQQPtgtdB8rlQ%3d%3d&rt=0&let=58&ct=0&ft=-1
960905,بکهنوج,تولید برق ماه تاب کهنوج,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۳۰ ۱۳:۵۱:۴۲,۱۴۰۱/۰۸/۳۰ ۱۳:۵۱:۴۲,/Reports/Decision.aspx?LetterSerial=PsOYO24Eg6cr3IE5dMcx8w%3d%3d&rt=0&let=58&ct=0&ft=-1
950766,بکهنوج,تولید برق ماه تاب کهنوج,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۴ ۱۲:۱۴:۲۷,۱۴۰۱/۰۸/۰۴ ۱۲:۱۴:۲۷,/Reports/Decision.aspx?LetterSerial=ccXARNberlTog6ZNmNPeGw%3d%3d&rt=0&let=58&ct=0&ft=-1
941349,بکهنوج,تولید برق ماه تاب کهنوج,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۴ ۱۷:۰۳:۵۲,۱۴۰۱/۰۷/۰۴ ۱۷:۰۳:۵۲,/Reports/Decision.aspx?LetterSerial=YQQQaQQQW5UZC16tReMmP2xq9iTA%3d%3d&rt=0&let=58&ct=0&ft=-1
