TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075196,تاصیکو,سرمایه گذاری صدر تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۶/۰۴ ۱۶:۵۹:۰۴,۱۴۰۲/۰۶/۰۴ ۱۶:۵۹:۰۴,/Reports/Decision.aspx?LetterSerial=vfhnGg5QQQaQQQ1HUov1TIDB3X1g%3d%3d&rt=2&let=8&ct=0&ft=-1
1074709,تاصیکو,سرمایه گذاری صدر تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۴ ۱۶:۱۶:۳۵,۱۴۰۲/۰۶/۰۴ ۱۶:۱۶:۳۵,/Reports/Decision.aspx?LetterSerial=JzDnQKyC5urbBnyOrQY9pQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1064166,تاصیکو,سرمایه گذاری صدر تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۴ ۱۶:۵۰:۰۸,۱۴۰۲/۰۵/۰۴ ۱۶:۵۰:۰۸,/Reports/Decision.aspx?LetterSerial=0XkKYg97jFN80KXMpuZTxQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1044552,تاصیکو,سرمایه گذاری صدر تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۴ ۱۳:۲۶:۰۸,۱۴۰۲/۰۴/۰۴ ۱۳:۲۶:۰۸,/Reports/Decision.aspx?LetterSerial=kyIQQQaQQQd8w8sGixtEUGoobqvQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1032109,تاصیکو,سرمایه گذاری صدر تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۳/۰۹ ۱۸:۵۱:۳۹,۱۴۰۲/۰۳/۰۹ ۱۸:۵۱:۳۹,/Reports/Decision.aspx?LetterSerial=B7x8QQQaQQQat3Puh2V6Hw4HVRbQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1031884,تاصیکو,سرمایه گذاری صدر تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۶ ۱۸:۱۶:۲۸,۱۴۰۲/۰۳/۰۶ ۱۸:۱۶:۲۸,/Reports/Decision.aspx?LetterSerial=Ex6tRdXOlBHiOz51nAn5Fw%3d%3d&rt=2&let=8&ct=0&ft=-1
1031781,تاصیکو,سرمایه گذاری صدر تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۳/۰۶ ۱۷:۴۷:۰۸,۱۴۰۲/۰۳/۰۶ ۱۷:۴۷:۰۸,/Reports/Decision.aspx?LetterSerial=oGDi%2bU3YalJhrJC5hOzxvg%3d%3d&rt=2&let=8&ct=0&ft=-1
1014398,تاصیکو,سرمایه گذاری صدر تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۵ ۱۲:۴۷:۱۳,۱۴۰۲/۰۲/۰۵ ۱۲:۴۷:۱۳,/Reports/Decision.aspx?LetterSerial=m34gPgKfmSa6dIJeVvw2ng%3d%3d&rt=2&let=8&ct=0&ft=-1
1005232,تاصیکو,سرمایه گذاری صدر تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۱/۱۲/۲۸ ۱۳:۰۸:۰۶,۱۴۰۱/۱۲/۲۸ ۱۳:۰۸:۰۶,/Reports/Decision.aspx?LetterSerial=6luJ9N%2bG8TBQQQaQQQbobUQFfIEA%3d%3d&rt=2&let=8&ct=0&ft=-1
995892,تاصیکو,سرمایه گذاری صدر تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۳ ۱۴:۲۲:۳۴,۱۴۰۱/۱۲/۰۳ ۱۴:۲۲:۳۴,/Reports/Decision.aspx?LetterSerial=7xjHRrZOZbnkKzp0Q3z1QQQaQQQg%3d%3d&rt=2&let=8&ct=0&ft=-1
986715,تاصیکو,سرمایه گذاری صدر تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۴ ۰۹:۵۰:۴۹,۱۴۰۱/۱۱/۰۴ ۰۹:۵۰:۴۹,/Reports/Decision.aspx?LetterSerial=dQWusx%2bn938Tjmu2IT%2bd7Q%3d%3d&rt=2&let=8&ct=0&ft=-1
973999,تاصیکو,سرمایه گذاری صدر تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۳ ۱۳:۱۷:۲۷,۱۴۰۱/۱۰/۰۳ ۱۳:۱۷:۲۷,/Reports/Decision.aspx?LetterSerial=Kc563HjyCKGDgvbRwxUwDA%3d%3d&rt=2&let=8&ct=0&ft=-1
962272,تاصیکو,سرمایه گذاری صدر تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۲ ۱۳:۴۲:۵۴,۱۴۰۱/۰۹/۰۲ ۱۳:۴۲:۵۴,/Reports/Decision.aspx?LetterSerial=O0CuN7SxXSXzQQQaQQQhstztNCdA%3d%3d&rt=2&let=8&ct=0&ft=-1
950991,تاصیکو,سرمایه گذاری صدر تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۴ ۰۸:۵۳:۰۲,۱۴۰۱/۰۸/۰۴ ۰۸:۵۳:۰۲,/Reports/Decision.aspx?LetterSerial=C8X93LMGIQQQaQQQgrtqAKIHOnHg%3d%3d&rt=2&let=8&ct=0&ft=-1
941264,تاصیکو,سرمایه گذاری صدر تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۰۴ ۱۲:۴۳:۵۷,۱۴۰۱/۰۷/۰۴ ۱۲:۴۳:۵۷,/Reports/Decision.aspx?LetterSerial=by9fAsBU4GqDvz8xP%2bPXBw%3d%3d&rt=2&let=8&ct=0&ft=-1
931031,تاصیکو,سرمایه گذاری صدر تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱(اصلاحیه),ن-۳۱,۱۴۰۱/۰۶/۰۶ ۰۹:۵۶:۵۴,۱۴۰۱/۰۶/۰۶ ۰۹:۵۶:۵۴,/Reports/Decision.aspx?LetterSerial=5VfSRFJUt6IykXUb3EyAPw%3d%3d&rt=2&let=8&ct=0&ft=-1
