TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074516,تاپیکو,سرمایه گذاری نفت و گاز و پتروشیمی تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۵ ۱۵:۴۲:۴۲,۱۴۰۲/۰۶/۰۵ ۱۵:۴۲:۴۲,/Reports/Decision.aspx?LetterSerial=9elCa248ulcI1x5so3pQQQaQQQdQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1064471,تاپیکو,سرمایه گذاری نفت و گاز و پتروشیمی تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۴ ۱۷:۰۰:۳۰,۱۴۰۲/۰۵/۰۴ ۱۷:۰۰:۳۰,/Reports/Decision.aspx?LetterSerial=Tjsex72t1aKxlQyGafAHqA%3d%3d&rt=2&let=8&ct=0&ft=-1
1045762,تاپیکو,سرمایه گذاری نفت و گاز و پتروشیمی تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۴/۰۵ ۱۶:۲۷:۱۹,۱۴۰۲/۰۴/۰۵ ۱۶:۲۷:۱۹,/Reports/Decision.aspx?LetterSerial=yDjJWmO43qHkoeCJEz6XaQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1030472,تاپیکو,سرمایه گذاری نفت و گاز و پتروشیمی تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۳ ۱۸:۱۹:۲۹,۱۴۰۲/۰۳/۰۳ ۱۸:۱۹:۲۹,/Reports/Decision.aspx?LetterSerial=2zsCm1RljunN9J6lacBZaQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1018092,تاپیکو,سرمایه گذاری نفت و گاز و پتروشیمی تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۲/۰۶ ۱۹:۵۶:۱۸,۱۴۰۲/۰۲/۰۶ ۱۹:۵۶:۱۸,/Reports/Decision.aspx?LetterSerial=eZiDpVfctqE2THHMFehOQw%3d%3d&rt=2&let=8&ct=0&ft=-1
1017862,تاپیکو,سرمایه گذاری نفت و گاز و پتروشیمی تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۶ ۱۹:۳۰:۴۰,۱۴۰۲/۰۲/۰۶ ۱۹:۳۰:۴۰,/Reports/Decision.aspx?LetterSerial=dFuLk3pM39LdgFc8FiCLwg%3d%3d&rt=2&let=8&ct=0&ft=-1
1004408,تاپیکو,سرمایه گذاری نفت و گاز و پتروشیمی تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۸ ۱۴:۱۹:۳۲,۱۴۰۲/۰۱/۰۸ ۱۴:۱۹:۳۲,/Reports/Decision.aspx?LetterSerial=IkgasJQQFGCnasHkhNM4ew%3d%3d&rt=2&let=8&ct=0&ft=-1
996076,تاپیکو,سرمایه گذاری نفت و گاز و پتروشیمی تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۳ ۱۶:۴۸:۱۷,۱۴۰۱/۱۲/۰۳ ۱۶:۴۸:۱۷,/Reports/Decision.aspx?LetterSerial=H9QQQaQQQS8jhhMtVCqSiUcOw4og%3d%3d&rt=2&let=8&ct=0&ft=-1
987093,تاپیکو,سرمایه گذاری نفت و گاز و پتروشیمی تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۴ ۱۷:۱۹:۰۳,۱۴۰۱/۱۱/۰۴ ۱۷:۱۹:۰۳,/Reports/Decision.aspx?LetterSerial=yYxOxJRzDFEbZfrhBMrs0w%3d%3d&rt=2&let=8&ct=0&ft=-1
975390,تاپیکو,سرمایه گذاری نفت و گاز و پتروشیمی تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۵ ۱۸:۰۱:۲۳,۱۴۰۱/۱۰/۰۵ ۱۸:۰۱:۲۳,/Reports/Decision.aspx?LetterSerial=C82KMzeiUbbFsyGpf9aSxg%3d%3d&rt=2&let=8&ct=0&ft=-1
