TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076758,تایرا,تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۱:۴۷:۳۳,۱۴۰۲/۰۶/۰۷ ۱۱:۴۷:۳۳,/Reports/Decision.aspx?LetterSerial=eLgknJFUiCzDstfRHpltnw%3d%3d&rt=0&let=58&ct=0&ft=-1
1074594,تایرا,تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۳:۱۷:۱۹,۱۴۰۲/۰۶/۰۴ ۱۳:۱۷:۱۹,/Reports/Decision.aspx?LetterSerial=kdQQQaQQQhjZt%2br12JuwVc1VqVfA%3d%3d&rt=0&let=58&ct=0&ft=-1
1062961,تایرا,تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۲ ۱۵:۲۶:۱۱,۱۴۰۲/۰۵/۰۲ ۱۵:۲۶:۱۱,/Reports/Decision.aspx?LetterSerial=xVacnDQsCuesSHRfSTzAWQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1048313,تایرا,تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۱۰ ۱۷:۵۵:۲۹,۱۴۰۲/۰۴/۱۰ ۱۷:۵۵:۲۹,/Reports/Decision.aspx?LetterSerial=P2HzXaLdbQn3JOoZ54m1yg%3d%3d&rt=0&let=58&ct=0&ft=-1
1043901,تایرا,تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۳ ۱۲:۰۴:۳۴,۱۴۰۲/۰۴/۰۳ ۱۲:۰۴:۳۴,/Reports/Decision.aspx?LetterSerial=FaEK0R4M3ytgMa1Q7QSjjQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1041017,تایرا,تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۲۷ ۱۵:۵۱:۱۷,۱۴۰۲/۰۳/۲۷ ۱۵:۵۱:۱۷,/Reports/Decision.aspx?LetterSerial=9SKMHwVCtkD2VSPXwH1anw%3d%3d&rt=0&let=58&ct=0&ft=-1
1029189,تایرا,تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۲ ۱۵:۲۸:۳۰,۱۴۰۲/۰۳/۰۲ ۱۵:۲۸:۳۰,/Reports/Decision.aspx?LetterSerial=4fLfA3VOBmCybzycZSx5WQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1016534,تایرا,تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۵:۰۱:۵۳,۱۴۰۲/۰۲/۰۵ ۱۵:۰۱:۵۳,/Reports/Decision.aspx?LetterSerial=QlG93PnydDfrCjGJkQ71Wg%3d%3d&rt=0&let=58&ct=0&ft=-1
1005924,تایرا,تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۸ ۱۶:۰۸:۲۷,۱۴۰۱/۱۲/۲۸ ۱۶:۰۸:۲۷,/Reports/Decision.aspx?LetterSerial=c5PylJtvPeGy8Y5QqJgCig%3d%3d&rt=0&let=58&ct=0&ft=-1
995534,تایرا,تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۰:۱۸:۴۹,۱۴۰۱/۱۲/۰۳ ۱۰:۱۸:۴۹,/Reports/Decision.aspx?LetterSerial=FqxSuqN5JQQQaQQQ4Gv5sLAg3kXQ%3d%3d&rt=0&let=58&ct=0&ft=-1
985822,تایرا,تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۴:۳۰:۱۷,۱۴۰۱/۱۱/۰۴ ۱۴:۳۰:۱۷,/Reports/Decision.aspx?LetterSerial=zRfwrBxXuWpN4D2rL47oSg%3d%3d&rt=0&let=58&ct=0&ft=-1
974033,تایرا,تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۳ ۱۶:۳۹:۴۷,۱۴۰۱/۱۰/۰۳ ۱۶:۳۹:۴۷,/Reports/Decision.aspx?LetterSerial=PqdhI1RhdTJEdhKJHMnwQQQaQQQA%3d%3d&rt=0&let=58&ct=0&ft=-1
961963,تایرا,تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۲ ۱۳:۰۶:۰۷,۱۴۰۱/۰۹/۰۲ ۱۳:۰۶:۰۷,/Reports/Decision.aspx?LetterSerial=rUujuWkZVwwjtEozTj2LpA%3d%3d&rt=0&let=58&ct=0&ft=-1
950763,تایرا,تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۴ ۱۶:۳۳:۱۰,۱۴۰۱/۰۸/۰۴ ۱۶:۳۳:۱۰,/Reports/Decision.aspx?LetterSerial=8075ArZQ6neh36mJtpQQQaQQQ6HA%3d%3d&rt=0&let=58&ct=0&ft=-1
947873,تایرا,تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۲۷ ۱۵:۱۲:۱۹,۱۴۰۱/۰۷/۲۷ ۱۵:۱۲:۱۹,/Reports/Decision.aspx?LetterSerial=mbfIx2sSlY7NahjY8UdLVg%3d%3d&rt=0&let=58&ct=0&ft=-1
940153,تایرا,تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۶ ۱۱:۱۲:۱۱,۱۴۰۱/۰۷/۰۶ ۱۱:۱۲:۱۱,/Reports/Decision.aspx?LetterSerial=i6TFopulMTdzScKtoZ09ow%3d%3d&rt=0&let=58&ct=0&ft=-1
928341,تایرا,تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۲ ۱۷:۵۱:۲۵,۱۴۰۱/۰۶/۰۲ ۱۷:۵۱:۲۵,/Reports/Decision.aspx?LetterSerial=LoeI8sWc0wyTjSyLsdIY3Q%3d%3d&rt=0&let=58&ct=0&ft=-1
917283,تایرا,تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۲ ۱۲:۲۵:۵۸,۱۴۰۱/۰۵/۰۲ ۱۲:۲۵:۵۸,/Reports/Decision.aspx?LetterSerial=iJ6QQQaQQQrJx5%2bQQQaQQQDZZoZWxsQQQaQQQ2ig%3d%3d&rt=0&let=58&ct=0&ft=-1
