TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1072483,تجلی,تجلی توسعه معادن و فلزات,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۵ ۰۸:۲۳:۳۳,۱۴۰۲/۰۶/۰۵ ۰۸:۲۳:۳۳,/Reports/Decision.aspx?LetterSerial=tpAHcBDjSseAGvWAaQQQaQQQCaew%3d%3d&rt=2&let=8&ct=0&ft=-1
1063084,تجلی,تجلی توسعه معادن و فلزات,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۷ ۰۸:۰۲:۵۰,۱۴۰۲/۰۵/۰۷ ۰۸:۰۲:۵۰,/Reports/Decision.aspx?LetterSerial=aVOTyqcqnXry4cEM53QQQaQQQgDQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1045676,تجلی,تجلی توسعه معادن و فلزات,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۴ ۱۸:۰۶:۰۸,۱۴۰۲/۰۴/۰۴ ۱۸:۰۶:۰۸,/Reports/Decision.aspx?LetterSerial=YMZUrltiigP8Ktv%2b65sQQQaQQQLA%3d%3d&rt=2&let=8&ct=0&ft=-1
1030245,تجلی,تجلی توسعه معادن و فلزات,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۶ ۱۳:۰۳:۰۰,۱۴۰۲/۰۳/۰۶ ۱۳:۰۳:۰۰,/Reports/Decision.aspx?LetterSerial=cWb4Md5eyzjsooUktFk8TQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1017398,تجلی,تجلی توسعه معادن و فلزات,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۹ ۱۲:۴۹:۱۸,۱۴۰۲/۰۲/۰۹ ۱۲:۴۹:۱۸,/Reports/Decision.aspx?LetterSerial=bAh8KcIOcBC6y3YsfrV3Ww%3d%3d&rt=2&let=8&ct=0&ft=-1
1006319,تجلی,تجلی توسعه معادن و فلزات,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۵ ۱۳:۰۹:۳۱,۱۴۰۲/۰۱/۰۵ ۱۳:۰۹:۳۱,/Reports/Decision.aspx?LetterSerial=BA1ifqu1er846pVn7muZXg%3d%3d&rt=2&let=8&ct=0&ft=-1
996938,تجلی,تجلی توسعه معادن و فلزات,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۷ ۱۰:۴۶:۴۱,۱۴۰۱/۱۲/۰۷ ۱۰:۴۶:۴۱,/Reports/Decision.aspx?LetterSerial=WJKTp6rC%2bVoZ1ZC3UCHGvA%3d%3d&rt=2&let=8&ct=0&ft=-1
987034,تجلی,تجلی توسعه معادن و فلزات,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۴ ۱۷:۲۹:۴۲,۱۴۰۱/۱۱/۰۴ ۱۷:۲۹:۴۲,/Reports/Decision.aspx?LetterSerial=4AW81s7RxOvXphmkdUk5hw%3d%3d&rt=2&let=8&ct=0&ft=-1
975065,تجلی,تجلی توسعه معادن و فلزات,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۵ ۱۲:۴۶:۴۹,۱۴۰۱/۱۰/۰۵ ۱۲:۴۶:۴۹,/Reports/Decision.aspx?LetterSerial=QlqdyQQQaQQQwDZrYKumBRhGQYDw%3d%3d&rt=2&let=8&ct=0&ft=-1
963742,تجلی,تجلی توسعه معادن و فلزات,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۷ ۰۸:۵۴:۱۵,۱۴۰۱/۰۹/۰۷ ۰۸:۵۴:۱۵,/Reports/Decision.aspx?LetterSerial=sYgHm0yOuLTapjQQQaQQQtraj4rA%3d%3d&rt=2&let=8&ct=0&ft=-1
950998,تجلی,تجلی توسعه معادن و فلزات,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۴ ۱۴:۳۲:۴۹,۱۴۰۱/۰۸/۰۴ ۱۴:۳۲:۴۹,/Reports/Decision.aspx?LetterSerial=KBWVx%2boHuzQQQaQQQwBH2AlThDCg%3d%3d&rt=2&let=8&ct=0&ft=-1
941127,تجلی,تجلی توسعه معادن و فلزات,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۱۰ ۰۸:۳۵:۰۹,۱۴۰۱/۰۷/۱۰ ۰۸:۳۵:۰۹,/Reports/Decision.aspx?LetterSerial=rz4dAdvEDh2fp3kftOH53w%3d%3d&rt=2&let=8&ct=0&ft=-1
930268,تجلی,تجلی توسعه معادن و فلزات,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۷ ۱۲:۰۳:۲۸,۱۴۰۱/۰۶/۰۷ ۱۲:۰۳:۲۸,/Reports/Decision.aspx?LetterSerial=OGiXGBgvfwKKVTFfj43DGQ%3d%3d&rt=2&let=8&ct=0&ft=-1
917389,تجلی,تجلی توسعه معادن و فلزات,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۵/۰۳ ۱۱:۵۶:۳۹,۱۴۰۱/۰۵/۰۳ ۱۱:۵۶:۳۹,/Reports/Decision.aspx?LetterSerial=deSodR9%2bs2QBgyJzryheXw%3d%3d&rt=2&let=8&ct=0&ft=-1
899947,تجلی,تجلی توسعه معادن و فلزات,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۱,۱۴۰۱/۰۴/۰۶ ۱۴:۳۴:۱۹,۱۴۰۱/۰۴/۰۶ ۱۴:۳۴:۱۹,/Reports/Decision.aspx?LetterSerial=Lx7UdtA0XIebrzjOTpViLA%3d%3d&rt=2&let=8&ct=0&ft=-1
885490,تجلی,تجلی توسعه معادن و فلزات,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۱,۱۴۰۱/۰۳/۰۳ ۱۶:۱۳:۴۳,۱۴۰۱/۰۳/۰۳ ۱۶:۱۳:۴۳,/Reports/Decision.aspx?LetterSerial=huccQQQaQQQemigpcNSTg%2bivwXHw%3d%3d&rt=2&let=8&ct=0&ft=-1
874048,تجلی,تجلی توسعه معادن و فلزات,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۱,۱۴۰۱/۰۲/۱۰ ۱۶:۳۳:۴۹,۱۴۰۱/۰۲/۱۰ ۱۶:۳۳:۴۹,/Reports/Decision.aspx?LetterSerial=crBfovaYJvhYJNszBhuxcQ%3D%3D&rt=2&let=8&ct=0&ft=-1
864706,تجلی,تجلی توسعه معادن و فلزات,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۱,۱۴۰۱/۰۱/۰۶ ۱۴:۱۰:۲۲,۱۴۰۱/۰۱/۰۶ ۱۴:۱۰:۲۲,/Reports/Decision.aspx?LetterSerial=Gevr%2BWvItuuXBJCKJtertg%3D%3D&rt=2&let=8&ct=0&ft=-1
