TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074914,تلیسه,دامداری تلیسه نمونه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۲:۰۵:۲۱,۱۴۰۲/۰۶/۰۴ ۱۲:۰۵:۲۱,/Reports/Decision.aspx?LetterSerial=xDeqkqS2L0OTrew5LTpZAg%3d%3d&rt=8&let=58&ct=0&ft=-1
1063915,تلیسه,دامداری تلیسه نمونه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۰۹:۰۵:۰۷,۱۴۰۲/۰۵/۰۴ ۰۹:۰۵:۰۷,/Reports/Decision.aspx?LetterSerial=a0MLM7o6e1bthmsylsZHww%3d%3d&rt=8&let=58&ct=0&ft=-1
1046176,تلیسه,دامداری تلیسه نمونه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۳:۲۸:۱۰,۱۴۰۲/۰۴/۰۵ ۱۳:۲۸:۱۰,/Reports/Decision.aspx?LetterSerial=9QQQaQQQN2XwGp%2bOQceFr%2b5QQQaQQQEpzw%3d%3d&rt=8&let=58&ct=0&ft=-1
1031646,تلیسه,دامداری تلیسه نمونه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۵:۱۴:۴۸,۱۴۰۲/۰۳/۰۶ ۱۵:۱۴:۴۸,/Reports/Decision.aspx?LetterSerial=UkrASzNYlPYcyP%2bUIySIVw%3d%3d&rt=8&let=58&ct=0&ft=-1
1018148,تلیسه,دامداری تلیسه نمونه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۷ ۱۰:۰۳:۳۵,۱۴۰۲/۰۲/۰۷ ۱۰:۰۳:۳۵,/Reports/Decision.aspx?LetterSerial=rhvt5NK52x9st1sOycKXvg%3d%3d&rt=8&let=58&ct=0&ft=-1
1009149,تلیسه,دامداری تلیسه نمونه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۳:۵۶:۵۰,۱۴۰۲/۰۱/۰۹ ۱۳:۵۶:۵۰,/Reports/Decision.aspx?LetterSerial=7xc4UnIQQQaQQQ7WQtjCTkMYlUfw%3d%3d&rt=8&let=58&ct=0&ft=-1
997130,تلیسه,دامداری تلیسه نمونه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۷:۳۹:۵۷,۱۴۰۱/۱۲/۰۶ ۱۷:۳۹:۵۷,/Reports/Decision.aspx?LetterSerial=YP3BoFfbWxeQQQaQQQObWj4hoQQQaQQQhw%3d%3d&rt=8&let=58&ct=0&ft=-1
986847,تلیسه,دامداری تلیسه نمونه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۱:۳۸:۵۳,۱۴۰۱/۱۱/۰۴ ۱۱:۳۸:۵۳,/Reports/Decision.aspx?LetterSerial=dNqHSA2xh%2b1sGJ3P18rK7Q%3d%3d&rt=8&let=58&ct=0&ft=-1
974661,تلیسه,دامداری تلیسه نمونه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۴:۱۰:۱۸,۱۴۰۱/۱۰/۰۴ ۱۴:۱۰:۱۸,/Reports/Decision.aspx?LetterSerial=csDtL4Fp9N5iYWNWPogFhQ%3d%3d&rt=8&let=58&ct=0&ft=-1
962942,تلیسه,دامداری تلیسه نمونه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۰۹:۳۷:۳۹,۱۴۰۱/۰۹/۰۵ ۰۹:۳۷:۳۹,/Reports/Decision.aspx?LetterSerial=xTMBVSN4MLJndAPKVr28bA%3d%3d&rt=8&let=58&ct=0&ft=-1
