TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074998,تکمبا,کمباین سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۰:۳۲:۰۰,۱۴۰۲/۰۶/۰۵ ۱۰:۳۲:۰۰,/Reports/Decision.aspx?LetterSerial=ScjSAbHAIOVJemUeoMG%2b0w%3d%3d&rt=0&let=58&ct=0&ft=-1
1063678,تکمبا,کمباین سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۳:۵۲:۵۱,۱۴۰۲/۰۵/۰۳ ۱۳:۵۲:۵۱,/Reports/Decision.aspx?LetterSerial=f1n0HNjdRVfpT3AgbUr0uA%3d%3d&rt=0&let=58&ct=0&ft=-1
1045677,تکمبا,کمباین سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۷:۲۰:۲۶,۱۴۰۲/۰۴/۰۴ ۱۷:۲۰:۲۶,/Reports/Decision.aspx?LetterSerial=DERQXzuYQQQaQQQa0SnIJc0WF23A%3d%3d&rt=0&let=58&ct=0&ft=-1
1045000,تکمبا,کمباین سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۱:۰۱:۱۱,۱۴۰۲/۰۴/۰۴ ۱۱:۰۱:۱۱,/Reports/Decision.aspx?LetterSerial=QQQaQQQEX5sPFxT6QQQaQQQQQQaQQQJbUyXNoDVA%3d%3d&rt=0&let=58&ct=0&ft=-1
1030141,تکمبا,کمباین سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۰:۴۴:۵۳,۱۴۰۲/۰۳/۰۳ ۱۰:۴۴:۵۳,/Reports/Decision.aspx?LetterSerial=TosQuC7YvtYIXKRGJbl8MQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1016711,تکمبا,کمباین سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۲:۵۴:۴۳,۱۴۰۲/۰۲/۰۵ ۱۲:۵۴:۴۳,/Reports/Decision.aspx?LetterSerial=PEToG0TQQQaQQQygPPmEWl6ow6Ww%3d%3d&rt=0&let=58&ct=0&ft=-1
1005216,تکمبا,کمباین سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۷ ۱۵:۱۵:۱۴,۱۴۰۱/۱۲/۲۷ ۱۵:۱۵:۱۴,/Reports/Decision.aspx?LetterSerial=sNLfdG5E7K9L%2bgQQQaQQQRmxVXkQ%3d%3d&rt=0&let=58&ct=0&ft=-1
995460,تکمبا,کمباین سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۶:۲۸:۴۶,۱۴۰۱/۱۲/۰۳ ۱۶:۲۸:۴۶,/Reports/Decision.aspx?LetterSerial=0p3wv86l%2bVRRyTG35orvwA%3d%3d&rt=0&let=58&ct=0&ft=-1
986572,تکمبا,کمباین سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۰۹:۰۸:۲۱,۱۴۰۱/۱۱/۰۴ ۰۹:۰۸:۲۱,/Reports/Decision.aspx?LetterSerial=nKcdgkxTY7fXLEW%2b3QQQaQQQDeFQ%3d%3d&rt=0&let=58&ct=0&ft=-1
974845,تکمبا,کمباین سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۰:۲۷:۴۷,۱۴۰۱/۱۰/۰۵ ۱۰:۲۷:۴۷,/Reports/Decision.aspx?LetterSerial=kfjCIE9U0PYSQBDvSivbWQ%3d%3d&rt=0&let=58&ct=0&ft=-1
974788,تکمبا,کمباین سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۶:۲۸:۳۵,۱۴۰۱/۱۰/۰۴ ۱۶:۲۸:۳۵,/Reports/Decision.aspx?LetterSerial=b3XhQQQaQQQS%2bKMN5AhgyvZwxG4Q%3d%3d&rt=0&let=58&ct=0&ft=-1
974791,تکمبا,کمباین سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۶:۱۸:۱۹,۱۴۰۱/۱۰/۰۴ ۱۶:۱۸:۱۹,/Reports/Decision.aspx?LetterSerial=q2BbMX35gNMOHqdvEBV5Vg%3d%3d&rt=0&let=58&ct=0&ft=-1
967227,تکمبا,کمباین سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۱۴ ۱۳:۵۳:۰۷,۱۴۰۱/۰۹/۱۴ ۱۳:۵۳:۰۷,/Reports/Decision.aspx?LetterSerial=dz9EVg52rerAvl2vycUCNQ%3d%3d&rt=0&let=58&ct=0&ft=-1
962796,تکمبا,کمباین سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۳ ۱۵:۱۱:۲۳,۱۴۰۱/۰۹/۰۳ ۱۵:۱۱:۲۳,/Reports/Decision.aspx?LetterSerial=bZWbvQQQaQQQyNXOw148QQQaQQQfQQQaQQQTRjmA%3d%3d&rt=0&let=58&ct=0&ft=-1
951617,تکمبا,کمباین سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۵ ۱۶:۲۳:۵۷,۱۴۰۱/۰۸/۰۵ ۱۶:۲۳:۵۷,/Reports/Decision.aspx?LetterSerial=8Zkmh%2bm5Qw3WtBWNQQQaQQQEf1JA%3d%3d&rt=0&let=58&ct=0&ft=-1
941105,تکمبا,کمباین سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۴ ۱۰:۰۵:۲۲,۱۴۰۱/۰۷/۰۴ ۱۰:۰۵:۲۲,/Reports/Decision.aspx?LetterSerial=ge69t5A%2bdlu3rA7TerBpWA%3d%3d&rt=0&let=58&ct=0&ft=-1
928888,تکمبا,کمباین سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۵ ۰۹:۴۶:۲۶,۱۴۰۱/۰۶/۰۵ ۰۹:۴۶:۲۶,/Reports/Decision.aspx?LetterSerial=O1mhQPUv6XhtFnwxTavImg%3d%3d&rt=0&let=58&ct=0&ft=-1
918452,تکمبا,کمباین سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۴ ۱۰:۱۹:۱۵,۱۴۰۱/۰۵/۰۴ ۱۰:۱۹:۱۵,/Reports/Decision.aspx?LetterSerial=6DJrZ%2bUcIRQ9Ag1KW1TtWw%3d%3d&rt=0&let=58&ct=0&ft=-1
