TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075727,ثاخت,بین المللی توسعه ساختمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۵:۵۹:۰۱,۱۴۰۲/۰۶/۰۵ ۱۵:۵۹:۰۱,/Reports/Decision.aspx?LetterSerial=5LFuw0SxLBMEemA7ESQQQaQQQuqQ%3d%3d&rt=1&let=58&ct=0&ft=-1
1063716,ثاخت,بین المللی توسعه ساختمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۴:۱۵:۴۰,۱۴۰۲/۰۵/۰۳ ۱۴:۱۵:۴۰,/Reports/Decision.aspx?LetterSerial=dSN5aHaTMVNl95cXrYs39Q%3d%3d&rt=1&let=58&ct=0&ft=-1
1045093,ثاخت,بین المللی توسعه ساختمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۲:۲۰:۴۲,۱۴۰۲/۰۴/۰۴ ۱۲:۲۰:۴۲,/Reports/Decision.aspx?LetterSerial=2lb7Y0bnIvQQQaQQQa%2bWMxNrNMug%3d%3d&rt=1&let=58&ct=0&ft=-1
1030727,ثاخت,بین المللی توسعه ساختمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۷:۲۷:۳۳,۱۴۰۲/۰۳/۰۳ ۱۷:۲۷:۳۳,/Reports/Decision.aspx?LetterSerial=KKYzjwNp9ZftxNHMvA8Epw%3d%3d&rt=1&let=58&ct=0&ft=-1
1016635,ثاخت,بین المللی توسعه ساختمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۶:۵۳:۴۰,۱۴۰۲/۰۲/۰۵ ۱۶:۵۳:۴۰,/Reports/Decision.aspx?LetterSerial=SXzG2JZQQQaQQQ4UhqBSEgU0%2bpBA%3d%3d&rt=1&let=58&ct=0&ft=-1
1005929,ثاخت,بین المللی توسعه ساختمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۸ ۱۵:۱۴:۵۷,۱۴۰۱/۱۲/۲۸ ۱۵:۱۴:۵۷,/Reports/Decision.aspx?LetterSerial=sBhhs39QQQaQQQQbOK0HgjZMjF5A%3d%3d&rt=1&let=58&ct=0&ft=-1
995762,ثاخت,بین المللی توسعه ساختمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۶:۵۷:۲۴,۱۴۰۱/۱۲/۰۳ ۱۶:۵۷:۲۴,/Reports/Decision.aspx?LetterSerial=3QQQaQQQVaSuMgQQQaQQQ3P3QQQaQQQ7Qno0oulQ%3d%3d&rt=1&let=58&ct=0&ft=-1
985842,ثاخت,بین المللی توسعه ساختمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۲ ۱۵:۰۸:۱۶,۱۴۰۱/۱۱/۰۲ ۱۵:۰۸:۱۶,/Reports/Decision.aspx?LetterSerial=3H6FQQQaQQQo9thQV4pYUTRT9GCA%3d%3d&rt=1&let=58&ct=0&ft=-1
973901,ثاخت,بین المللی توسعه ساختمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۳ ۱۱:۰۳:۰۸,۱۴۰۱/۱۰/۰۳ ۱۱:۰۳:۰۸,/Reports/Decision.aspx?LetterSerial=6e6wlt1FWgCnURr4zrM1EQ%3d%3d&rt=1&let=58&ct=0&ft=-1
962518,ثاخت,بین المللی توسعه ساختمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۲ ۱۵:۰۲:۴۹,۱۴۰۱/۰۹/۰۲ ۱۵:۰۲:۴۹,/Reports/Decision.aspx?LetterSerial=IR0WQ9QSARfgykxN3jjoBw%3d%3d&rt=1&let=58&ct=0&ft=-1
952303,ثاخت,بین المللی توسعه ساختمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۸ ۱۶:۴۵:۵۶,۱۴۰۱/۰۸/۰۸ ۱۶:۴۵:۵۶,/Reports/Decision.aspx?LetterSerial=mtIATsQ4yMn2kIAJ9bXIyg%3d%3d&rt=1&let=58&ct=0&ft=-1
942538,ثاخت,بین المللی توسعه ساختمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۹ ۱۶:۲۶:۱۳,۱۴۰۱/۰۷/۰۹ ۱۶:۲۶:۱۳,/Reports/Decision.aspx?LetterSerial=FNHxVXnGLUAifK1IEYM%2bTg%3d%3d&rt=1&let=58&ct=0&ft=-1
928464,ثاخت,بین المللی توسعه ساختمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۲ ۱۴:۰۷:۴۶,۱۴۰۱/۰۶/۰۲ ۱۴:۰۷:۴۶,/Reports/Decision.aspx?LetterSerial=oPIv3sYQv9PqGwyEDegQ5A%3d%3d&rt=1&let=58&ct=0&ft=-1
918090,ثاخت,بین المللی توسعه ساختمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۳ ۱۵:۰۵:۱۲,۱۴۰۱/۰۵/۰۳ ۱۵:۰۵:۱۲,/Reports/Decision.aspx?LetterSerial=j8Ennyo0VBhND5G6YGyHZg%3d%3d&rt=1&let=58&ct=0&ft=-1
903913,ثاخت,بین المللی توسعه ساختمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۷ ۱۶:۵۸:۰۶,۱۴۰۱/۰۴/۰۷ ۱۶:۵۸:۰۶,/Reports/Decision.aspx?LetterSerial=FTEMSGk%2bgpWl3f7lH57dPw%3d%3d&rt=1&let=58&ct=0&ft=-1
885906,ثاخت,بین المللی توسعه ساختمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۲ ۱۰:۰۲:۰۱,۱۴۰۱/۰۳/۰۲ ۱۰:۰۲:۰۱,/Reports/Decision.aspx?LetterSerial=QQQaQQQBtk8MXqOXnlcTixMQNM1Q%3d%3d&rt=1&let=58&ct=0&ft=-1
875179,ثاخت,بین المللی توسعه ساختمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۲/۰۶ ۱۵:۵۴:۴۳,۱۴۰۱/۰۲/۰۶ ۱۵:۵۴:۴۳,/Reports/Decision.aspx?LetterSerial=oKOUcNXAGepys0SaxAB5rA%3D%3D&rt=1&let=58&ct=0&ft=-1
874023,ثاخت,بین المللی توسعه ساختمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۰۴ ۱۵:۳۵:۰۵,۱۴۰۱/۰۲/۰۴ ۱۵:۳۵:۰۵,/Reports/Decision.aspx?LetterSerial=eHim2V%2BBXPV03dcH2Soc4g%3D%3D&rt=1&let=58&ct=0&ft=-1
