TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075259,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۱:۰۵:۱۴,۱۴۰۲/۰۶/۰۵ ۱۱:۰۵:۱۴,/Reports/Decision.aspx?LetterSerial=zLr9sTk2b2t0pKIMILFVGA%3d%3d&rt=1&let=58&ct=0&ft=-1
1064181,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۶:۰۳:۵۲,۱۴۰۲/۰۵/۰۴ ۱۶:۰۳:۵۲,/Reports/Decision.aspx?LetterSerial=9T2K8FJBS7%2b6XtcRAircHg%3d%3d&rt=1&let=58&ct=0&ft=-1
1048067,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۲۰:۰۳:۲۲,۱۴۰۲/۰۴/۰۷ ۲۰:۰۳:۲۲,/Reports/Decision.aspx?LetterSerial=qHpsrdyY3XwC6vMljop2hg%3d%3d&rt=1&let=58&ct=0&ft=-1
1031573,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۷:۵۰:۴۱,۱۴۰۲/۰۳/۰۶ ۱۷:۵۰:۴۱,/Reports/Decision.aspx?LetterSerial=yhyZt0x4e071TQQQaQQQt%2bXBoAGg%3d%3d&rt=1&let=58&ct=0&ft=-1
1019056,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۲:۰۰:۳۵,۱۴۰۲/۰۲/۱۰ ۱۲:۰۰:۳۵,/Reports/Decision.aspx?LetterSerial=OyxrVO4YeLODxCpTOfFI5Q%3d%3d&rt=1&let=58&ct=0&ft=-1
1010344,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۱/۱۶ ۱۶:۳۵:۵۷,۱۴۰۲/۰۱/۱۶ ۱۶:۳۵:۵۷,/Reports/Decision.aspx?LetterSerial=0lSgvfMZKg84jpnHOkAqQQQaQQQg%3d%3d&rt=1&let=58&ct=0&ft=-1
1007009,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۱:۴۴:۱۸,۱۴۰۲/۰۱/۰۷ ۱۱:۴۴:۱۸,/Reports/Decision.aspx?LetterSerial=mXZ91Z7pZ1b7QQQaQQQxfLObj1Ww%3d%3d&rt=1&let=58&ct=0&ft=-1
996914,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۷:۴۶:۲۹,۱۴۰۱/۱۲/۰۶ ۱۷:۴۶:۲۹,/Reports/Decision.aspx?LetterSerial=avaIoZLdtWL7hIxvSf5a2w%3d%3d&rt=1&let=58&ct=0&ft=-1
987498,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۴:۱۲:۲۳,۱۴۰۱/۱۱/۰۵ ۱۴:۱۲:۲۳,/Reports/Decision.aspx?LetterSerial=eRJRPuf4JCJ6adyxpdVczQ%3d%3d&rt=1&let=58&ct=0&ft=-1
975353,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۵:۴۸:۴۷,۱۴۰۱/۱۰/۰۵ ۱۵:۴۸:۴۷,/Reports/Decision.aspx?LetterSerial=i0gQQQaQQQ2FKDgG4ATYzNFNiqiQ%3d%3d&rt=1&let=58&ct=0&ft=-1
964345,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۰۸:۱۲:۳۵,۱۴۰۱/۰۹/۰۷ ۰۸:۱۲:۳۵,/Reports/Decision.aspx?LetterSerial=9MAX8lgoeVwdwiBoHZDxXw%3d%3d&rt=1&let=58&ct=0&ft=-1
951241,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۴ ۱۴:۵۶:۱۷,۱۴۰۱/۰۸/۰۴ ۱۴:۵۶:۱۷,/Reports/Decision.aspx?LetterSerial=Ap8c2RWpu9dn1r9%2burpRGw%3d%3d&rt=1&let=58&ct=0&ft=-1
942772,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۱۰ ۱۰:۵۹:۴۹,۱۴۰۱/۰۷/۱۰ ۱۰:۵۹:۴۹,/Reports/Decision.aspx?LetterSerial=pjSjqwThrMjYCsQQQaQQQgHzcsXA%3d%3d&rt=1&let=58&ct=0&ft=-1
930775,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۶ ۱۱:۴۳:۴۹,۱۴۰۱/۰۶/۰۶ ۱۱:۴۳:۴۹,/Reports/Decision.aspx?LetterSerial=QUWPC20LJCJdZKHFLcypmA%3d%3d&rt=1&let=58&ct=0&ft=-1
918585,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۴ ۱۵:۲۳:۲۴,۱۴۰۱/۰۵/۰۴ ۱۵:۲۳:۲۴,/Reports/Decision.aspx?LetterSerial=VbcI5MljSgXoHR%2b8WbIdZA%3d%3d&rt=1&let=58&ct=0&ft=-1
903766,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۷ ۱۵:۵۸:۱۰,۱۴۰۱/۰۴/۰۷ ۱۵:۵۸:۱۰,/Reports/Decision.aspx?LetterSerial=UI9VZYj3ZnWHMcvwYrV7Lg%3d%3d&rt=1&let=58&ct=0&ft=-1
885978,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۳ ۱۵:۱۳:۵۵,۱۴۰۱/۰۳/۰۳ ۱۵:۱۳:۵۵,/Reports/Decision.aspx?LetterSerial=rDtboO8LxDzHYU4vAiNWNw%3d%3d&rt=1&let=58&ct=0&ft=-1
876418,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۱۰ ۱۴:۲۲:۵۸,۱۴۰۱/۰۲/۱۰ ۱۴:۲۲:۵۸,/Reports/Decision.aspx?LetterSerial=sLgtuaA5XjMtko3dsad2TA%3D%3D&rt=1&let=58&ct=0&ft=-1
875579,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۲/۰۷ ۱۴:۵۱:۲۹,۱۴۰۱/۰۲/۰۷ ۱۴:۵۱:۲۹,/Reports/Decision.aspx?LetterSerial=GvYzBrbS98m99koHe2KLfw%3D%3D&rt=1&let=58&ct=0&ft=-1
864293,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۰/۱۲/۲۸ ۱۳:۵۰:۱۳,۱۴۰۰/۱۲/۲۸ ۱۳:۵۰:۱۳,/Reports/Decision.aspx?LetterSerial=d9XGWT8rJddjp5MjfNk%2BWg%3D%3D&rt=1&let=58&ct=0&ft=-1
856873,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۴ ۱۷:۰۱:۲۸,۱۴۰۰/۱۲/۰۴ ۱۷:۰۱:۲۸,/Reports/Decision.aspx?LetterSerial=Q3NZ1mdPvndxQDjnWr2bcQ%3D%3D&rt=1&let=58&ct=0&ft=-1
846419,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۴ ۱۷:۰۰:۵۳,۱۴۰۰/۱۱/۰۴ ۱۷:۰۰:۵۳,/Reports/Decision.aspx?LetterSerial=zoAO2KtC8Vd0kxWOxjFDQQQaQQQQ%3D%3D&rt=1&let=58&ct=0&ft=-1
835164,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۰,۱۴۰۰/۱۰/۰۶ ۱۱:۱۵:۲۸,۱۴۰۰/۱۰/۰۶ ۱۱:۱۵:۲۸,/Reports/Decision.aspx?LetterSerial=DdOxmHIyh88ZvSLvtJhBVg%3D%3D&rt=1&let=58&ct=0&ft=-1
821509,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۰,۱۴۰۰/۰۹/۰۲ ۱۷:۱۲:۳۲,۱۴۰۰/۰۹/۰۲ ۱۷:۱۲:۳۲,/Reports/Decision.aspx?LetterSerial=QpUUN1NZrjtd4EReIujARg%3D%3D&rt=1&let=58&ct=0&ft=-1
809992,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۰,۱۴۰۰/۰۸/۰۴ ۱۲:۳۴:۲۵,۱۴۰۰/۰۸/۰۴ ۱۲:۳۴:۲۵,/Reports/Decision.aspx?LetterSerial=DGM3yVzKrSCS1L2i0Jz0OQ%3D%3D&rt=1&let=58&ct=0&ft=-1
793483,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۰,۱۴۰۰/۰۷/۰۶ ۱۸:۴۳:۴۸,۱۴۰۰/۰۷/۰۶ ۱۸:۴۳:۴۸,/Reports/Decision.aspx?LetterSerial=0QHPLyq9tNrBO1R7p1XnLg%3D%3D&rt=1&let=58&ct=0&ft=-1
785409,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۰,۱۴۰۰/۰۶/۰۳ ۱۳:۴۶:۳۱,۱۴۰۰/۰۶/۰۳ ۱۳:۴۶:۳۱,/Reports/Decision.aspx?LetterSerial=ZqomD5V6kasHdlOEyldKuQ%3D%3D&rt=1&let=58&ct=0&ft=-1
776738,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۰,۱۴۰۰/۰۵/۰۵ ۱۲:۰۶:۱۲,۱۴۰۰/۰۵/۰۵ ۱۲:۰۶:۱۲,/Reports/Decision.aspx?LetterSerial=f9yfWU8qcmf4cl4vxkjU%2BA%3D%3D&rt=1&let=58&ct=0&ft=-1
762224,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,ن-۳۰,۱۴۰۰/۰۴/۰۵ ۱۴:۳۳:۰۲,۱۴۰۰/۰۴/۰۵ ۱۴:۳۳:۰۲,/Reports/Decision.aspx?LetterSerial=zjpXg5xiw3lnsELjuDfJpA%3D%3D&rt=1&let=58&ct=0&ft=-1
750131,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,ن-۳۰,۱۴۰۰/۰۳/۰۳ ۱۶:۰۹:۲۷,۱۴۰۰/۰۳/۰۳ ۱۶:۰۹:۲۷,/Reports/Decision.aspx?LetterSerial=ZIrpc1Nb10fg2d4QQQaQQQR8Snqg%3D%3D&rt=1&let=58&ct=0&ft=-1
739160,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,ن-۳۰,۱۴۰۰/۰۲/۰۲ ۱۱:۳۹:۳۳,۱۴۰۰/۰۲/۰۲ ۱۱:۳۹:۳۳,/Reports/Decision.aspx?LetterSerial=qEnxcEPIx8MEDNGGY5eftw%3D%3D&rt=1&let=58&ct=0&ft=-1
731603,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰,ن-۳۰,۱۴۰۰/۰۱/۰۴ ۱۸:۲۲:۴۰,۱۴۰۰/۰۱/۰۴ ۱۸:۲۲:۴۰,/Reports/Decision.aspx?LetterSerial=iKotI6HeB0JLfvOW2Rb0Zg%3D%3D&rt=1&let=58&ct=0&ft=-1
723103,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۱/۳۰,ن-۳۰,۱۳۹۹/۱۲/۰۱ ۱۳:۲۲:۳۴,۱۳۹۹/۱۲/۰۱ ۱۳:۲۲:۳۴,/Reports/Decision.aspx?LetterSerial=1gCWwe0E4G2klun%2BwQQQaQQQwY%2Bg%3D%3D&rt=1&let=58&ct=0&ft=-1
715197,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۰/۳۰,ن-۳۰,۱۳۹۹/۱۱/۰۴ ۱۴:۱۷:۳۰,۱۳۹۹/۱۱/۰۴ ۱۴:۱۷:۳۰,/Reports/Decision.aspx?LetterSerial=RfiLvaGal55flVmeKJWUnA%3D%3D&rt=1&let=58&ct=0&ft=-1
705930,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۹/۳۰,ن-۳۰,۱۳۹۹/۱۰/۰۵ ۱۱:۴۹:۲۵,۱۳۹۹/۱۰/۰۵ ۱۱:۴۹:۲۵,/Reports/Decision.aspx?LetterSerial=1LkSU8LlJVdhVf1qzvKOMQ%3D%3D&rt=1&let=58&ct=0&ft=-1
696763,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۸/۳۰,ن-۳۰,۱۳۹۹/۰۹/۰۵ ۰۹:۵۸:۳۸,۱۳۹۹/۰۹/۰۵ ۰۹:۵۸:۳۸,/Reports/Decision.aspx?LetterSerial=gtXgbycI34tM1ps5nO1qRQ%3D%3D&rt=1&let=58&ct=0&ft=-1
685731,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۷/۳۰,ن-۳۰,۱۳۹۹/۰۸/۰۳ ۱۵:۴۰:۱۵,۱۳۹۹/۰۸/۰۳ ۱۵:۴۰:۱۵,/Reports/Decision.aspx?LetterSerial=aVcbcMRnQQQaQQQ2v9871b5SVUag%3D%3D&rt=1&let=58&ct=0&ft=-1
674867,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۶/۳۱,ن-۳۰,۱۳۹۹/۰۷/۰۴ ۱۶:۲۵:۲۳,۱۳۹۹/۰۷/۰۴ ۱۶:۲۵:۲۳,/Reports/Decision.aspx?LetterSerial=q2TP2q0ztVctnIvJisI8Mw%3D%3D&rt=1&let=58&ct=0&ft=-1
670993,ثامید,توسعه و عمران امید,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۵/۳۱,ن-۳۰,۱۳۹۹/۰۶/۱۸ ۱۷:۳۸:۳۷,۱۳۹۹/۰۶/۱۸ ۱۷:۳۸:۳۷,/Reports/Decision.aspx?LetterSerial=cJLJEMbYv0QQQaQQQdlBfommuYrg%3D%3D&rt=1&let=58&ct=0&ft=-1
