TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
524400,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۱۲/۲۹,ن-۳۰,۱۳۹۸/۰۱/۱۳ ۱۲:۴۶:۵۲,۱۳۹۸/۰۱/۱۳ ۱۲:۴۶:۵۲,/Reports/Decision.aspx?LetterSerial=yP%2BiU2uRqjf4WKgb7P8XuA%3D%3D&rt=1&let=58&ct=0
524370,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۱۱/۳۰(اصلاحیه),ن-۳۰,۱۳۹۸/۰۱/۱۳ ۱۰:۵۹:۴۲,۱۳۹۸/۰۱/۱۳ ۱۰:۵۹:۴۲,/Reports/Decision.aspx?LetterSerial=tX%2BwFV2aKx9Y6cxNwlOyBA%3D%3D&rt=1&let=58&ct=0
524371,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۳۹۸/۰۱/۱۳ ۱۰:۲۴:۲۹,۱۳۹۸/۰۱/۱۳ ۱۰:۲۴:۲۹,/Reports/Decision.aspx?LetterSerial=FtF5WnNJL%2BOoWDx%2BJyftmA%3D%3D&rt=1&let=58&ct=0
524372,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۳۹۸/۰۱/۱۲ ۱۹:۱۴:۴۶,۱۳۹۸/۰۱/۱۲ ۱۹:۱۴:۴۶,/Reports/Decision.aspx?LetterSerial=MwRPfAg3qsniQQQaQQQI3R3kZOFg%3D%3D&rt=1&let=58&ct=0
524409,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۳۹۸/۰۱/۱۲ ۱۹:۰۹:۵۲,۱۳۹۸/۰۱/۱۲ ۱۹:۰۹:۵۲,/Reports/Decision.aspx?LetterSerial=BsTOeYAM9pWOZ9R%2BrwVyng%3D%3D&rt=1&let=58&ct=0
524373,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۳۹۸/۰۱/۱۲ ۱۸:۵۹:۳۱,۱۳۹۸/۰۱/۱۲ ۱۸:۵۹:۳۱,/Reports/Decision.aspx?LetterSerial=XIfIBdfTC0RVJ3T1tkibsA%3D%3D&rt=1&let=58&ct=0
524374,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۳۹۸/۰۱/۱۲ ۱۸:۵۲:۰۱,۱۳۹۸/۰۱/۱۲ ۱۸:۵۲:۰۱,/Reports/Decision.aspx?LetterSerial=3aLFmNyPSR4MFnGcqY81hQ%3D%3D&rt=1&let=58&ct=0
517375,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۱۱/۳۰,ن-۳۰,۱۳۹۷/۱۲/۰۵ ۲۱:۱۴:۵۲,۱۳۹۷/۱۲/۰۵ ۲۱:۱۴:۵۲,/Reports/Decision.aspx?LetterSerial=5kY8zAjjwl9SOl3qsBoA3w%3D%3D&rt=1&let=58&ct=0
514051,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۱۰/۳۰,ن-۳۰,۱۳۹۷/۱۱/۲۴ ۲۳:۲۹:۳۴,۱۳۹۷/۱۱/۲۴ ۲۳:۲۹:۳۴,/Reports/Decision.aspx?LetterSerial=7ZVEdnZIyoTwlQryVuZQ1A%3d%3d&rt=1&let=58&ct=0
513807,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۹/۳۰,ن-۳۰,۱۳۹۷/۱۱/۲۴ ۲۳:۰۶:۰۱,۱۳۹۷/۱۱/۲۴ ۲۳:۰۶:۰۱,/Reports/Decision.aspx?LetterSerial=TBDUurZw8hB4oJ4dNxTN4w%3d%3d&rt=1&let=58&ct=0
514050,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۳۹۷/۱۱/۲۴ ۲۲:۵۸:۴۲,۱۳۹۷/۱۱/۲۴ ۲۲:۵۸:۴۲,/Reports/Decision.aspx?LetterSerial=vm8KMcUiXUEsOQILGrRPMg%3d%3d&rt=1&let=58&ct=0
514049,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۳۹۷/۱۱/۲۴ ۲۲:۵۵:۱۸,۱۳۹۷/۱۱/۲۴ ۲۲:۵۵:۱۸,/Reports/Decision.aspx?LetterSerial=5hiynu659mM2HcZecS6oKw%3d%3d&rt=1&let=58&ct=0
513804,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۸/۳۰,ن-۳۰,۱۳۹۷/۱۱/۲۳ ۲۰:۳۶:۳۱,۱۳۹۷/۱۱/۲۳ ۲۰:۳۶:۳۱,/Reports/Decision.aspx?LetterSerial=9cBAOYKRo5ovony5zL30Kw%3d%3d&rt=1&let=58&ct=0
513806,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۳۹۷/۱۱/۲۳ ۲۰:۳۳:۲۷,۱۳۹۷/۱۱/۲۳ ۲۰:۳۳:۲۷,/Reports/Decision.aspx?LetterSerial=8GPCMhll80ceAH62QKdWQg%3d%3d&rt=1&let=58&ct=0
490275,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۷/۳۰,ن-۳۰,۱۳۹۷/۱۱/۲۳ ۲۰:۰۶:۱۶,۱۳۹۷/۱۱/۲۳ ۲۰:۰۶:۱۶,/Reports/Decision.aspx?LetterSerial=f1uytcDVjkZG0xz78GXFAQ%3d%3d&rt=1&let=58&ct=0
482373,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۶/۳۱,ن-۳۰,۱۳۹۷/۰۷/۲۹ ۱۹:۱۰:۵۷,۱۳۹۷/۰۷/۲۹ ۱۹:۱۰:۵۷,/Reports/Decision.aspx?LetterSerial=KuHaRzkN9Po%2bIacx7ix4bQ%3d%3d&rt=1&let=58&ct=0
482644,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۵/۳۱(اصلاحیه),ن-۳۰,۱۳۹۷/۰۷/۲۹ ۱۹:۰۵:۱۰,۱۳۹۷/۰۷/۲۹ ۱۹:۰۵:۱۰,/Reports/Decision.aspx?LetterSerial=LIKKnNdVMG07yiUWJZuA6Q%3d%3d&rt=1&let=58&ct=0
467758,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۵/۳۱,ن-۳۰,۱۳۹۷/۰۶/۱۸ ۱۵:۲۴:۱۱,۱۳۹۷/۰۶/۱۸ ۱۵:۲۴:۱۱,/Reports/Decision.aspx?LetterSerial=wJ66nva7DLbDiu4xCyka9Q%3d%3d&rt=1&let=58&ct=0
460263,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۴/۳۱,ن-۳۰,۱۳۹۷/۰۵/۰۳ ۲۱:۳۲:۰۹,۱۳۹۷/۰۵/۰۳ ۲۱:۳۲:۰۹,/Reports/Decision.aspx?LetterSerial=mhGOi3CaeLHQQQaQQQV9d%2bAmbuYg%3d%3d&rt=1&let=58&ct=0
450913,ثاژن,سخت آژند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۳/۳۱,ن-۳۰,۱۳۹۷/۰۴/۰۵ ۱۵:۴۰:۱۶,۱۳۹۷/۰۴/۰۵ ۱۵:۴۰:۱۶,/Reports/Decision.aspx?LetterSerial=qwObPTnsYJdHfDGKLvTLNA%3d%3d&rt=1&let=58&ct=0
