TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074702,ثبهساز,بهسازکاشانه تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۵:۰۷:۰۵,۱۴۰۲/۰۶/۰۵ ۱۵:۰۷:۰۵,/Reports/Decision.aspx?LetterSerial=qXoy2g%2bQQQaQQQb%2bGWU8Li3de1Lg%3d%3d&rt=1&let=58&ct=0&ft=-1
1066304,ثبهساز,بهسازکاشانه تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۱۵ ۰۹:۳۶:۴۴,۱۴۰۲/۰۵/۱۵ ۰۹:۳۶:۴۴,/Reports/Decision.aspx?LetterSerial=o7zawn425XKVqQQQaQQQzExWKQEg%3d%3d&rt=1&let=58&ct=0&ft=-1
1065396,ثبهساز,بهسازکاشانه تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۲۰:۱۵:۳۱,۱۴۰۲/۰۵/۰۷ ۲۰:۱۵:۳۱,/Reports/Decision.aspx?LetterSerial=y3LIt75t9OPNJO6JRWKnpA%3d%3d&rt=1&let=58&ct=0&ft=-1
1048331,ثبهساز,بهسازکاشانه تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۸ ۲۱:۲۳:۱۵,۱۴۰۲/۰۴/۲۸ ۲۱:۲۳:۱۵,/Reports/Decision.aspx?LetterSerial=ocmpxmpoNPra5xbiHIdJ3Q%3d%3d&rt=1&let=58&ct=0&ft=-1
1046671,ثبهساز,بهسازکاشانه تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۷:۱۵:۱۱,۱۴۰۲/۰۴/۰۷ ۱۷:۱۵:۱۱,/Reports/Decision.aspx?LetterSerial=pgvJoMHM8MLPUoUkTge2PA%3d%3d&rt=1&let=58&ct=0&ft=-1
1030567,ثبهساز,بهسازکاشانه تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۵:۴۳:۵۱,۱۴۰۲/۰۳/۰۷ ۱۵:۴۳:۵۱,/Reports/Decision.aspx?LetterSerial=nEd8YBDU9D9Wag2C8U4cog%3d%3d&rt=1&let=58&ct=0&ft=-1
1030300,ثبهساز,بهسازکاشانه تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۲:۴۱:۱۵,۱۴۰۲/۰۳/۰۳ ۱۲:۴۱:۱۵,/Reports/Decision.aspx?LetterSerial=pZ9RaxwfDBjZCuekXH8o7w%3d%3d&rt=1&let=58&ct=0&ft=-1
1019970,ثبهساز,بهسازکاشانه تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۱۱ ۱۷:۳۸:۳۴,۱۴۰۲/۰۲/۱۱ ۱۷:۳۸:۳۴,/Reports/Decision.aspx?LetterSerial=BI8YhixVAKQzH2ep22kzpA%3d%3d&rt=1&let=58&ct=0&ft=-1
1016164,ثبهساز,بهسازکاشانه تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۸:۵۸:۵۷,۱۴۰۲/۰۲/۱۰ ۱۸:۵۸:۵۷,/Reports/Decision.aspx?LetterSerial=uwOhBs5Tqj9uF0HgB%2bK7eg%3d%3d&rt=1&let=58&ct=0&ft=-1
1006285,ثبهساز,بهسازکاشانه تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۶ ۰۹:۲۲:۴۸,۱۴۰۲/۰۱/۰۶ ۰۹:۲۲:۴۸,/Reports/Decision.aspx?LetterSerial=sLgdEDTvEUYLWJ09Zl8zfA%3d%3d&rt=1&let=58&ct=0&ft=-1
996762,ثبهساز,بهسازکاشانه تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۵:۱۶:۴۷,۱۴۰۱/۱۲/۰۷ ۱۵:۱۶:۴۷,/Reports/Decision.aspx?LetterSerial=yVwQqpBaEXl1%2bI5vyYPiCg%3d%3d&rt=1&let=58&ct=0&ft=-1
987480,ثبهساز,بهسازکاشانه تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۱:۰۸:۴۱,۱۴۰۱/۱۱/۰۵ ۱۱:۰۸:۴۱,/Reports/Decision.aspx?LetterSerial=gTFYb7OCo1LUkUVimaA8jw%3d%3d&rt=1&let=58&ct=0&ft=-1
986155,ثبهساز,بهسازکاشانه تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۰:۵۶:۳۱,۱۴۰۱/۱۱/۰۵ ۱۰:۵۶:۳۱,/Reports/Decision.aspx?LetterSerial=a%2bOstTybQQQaQQQ1gXDPKQk5xQug%3d%3d&rt=1&let=58&ct=0&ft=-1
