TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1077078,ثرود,سرمایه گذاری مسکن زاینده رود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۷:۳۰:۱۴,۱۴۰۲/۰۶/۰۷ ۱۷:۳۰:۱۴,/Reports/Decision.aspx?LetterSerial=%2bJXRGgQ36QQQaQQQsrNaOdOneXjw%3d%3d&rt=1&let=58&ct=0&ft=-1
1064393,ثرود,سرمایه گذاری مسکن زاینده رود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۲:۴۹:۱۸,۱۴۰۲/۰۵/۰۴ ۱۲:۴۹:۱۸,/Reports/Decision.aspx?LetterSerial=n2iQQQaQQQkKu8n0UH7ByI3bkGIA%3d%3d&rt=1&let=58&ct=0&ft=-1
1046941,ثرود,سرمایه گذاری مسکن زاینده رود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۷:۰۳:۳۳,۱۴۰۲/۰۴/۰۶ ۱۷:۰۳:۳۳,/Reports/Decision.aspx?LetterSerial=X3nwh2QcHDEq6k9e3q%2b%2bxQ%3d%3d&rt=1&let=58&ct=0&ft=-1
1032030,ثرود,سرمایه گذاری مسکن زاینده رود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۰۹:۴۸:۵۱,۱۴۰۲/۰۳/۰۷ ۰۹:۴۸:۵۱,/Reports/Decision.aspx?LetterSerial=hKQQQQaQQQDb61WgRbNZt8OvpQFA%3d%3d&rt=1&let=58&ct=0&ft=-1
1018784,ثرود,سرمایه گذاری مسکن زاینده رود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۰۸:۵۴:۰۰,۱۴۰۲/۰۲/۱۰ ۰۸:۵۴:۰۰,/Reports/Decision.aspx?LetterSerial=GkKTs5mBgYjTIYwX8ZgohA%3d%3d&rt=1&let=58&ct=0&ft=-1
1004949,ثرود,سرمایه گذاری مسکن زاینده رود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۴:۰۶:۱۵,۱۴۰۲/۰۱/۰۸ ۱۴:۰۶:۱۵,/Reports/Decision.aspx?LetterSerial=nv3GmBrwkQYoIbqRGTZEWA%3d%3d&rt=1&let=58&ct=0&ft=-1
996606,ثرود,سرمایه گذاری مسکن زاینده رود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۶:۲۵:۲۳,۱۴۰۱/۱۲/۰۷ ۱۶:۲۵:۲۳,/Reports/Decision.aspx?LetterSerial=gwYgwl6DZwjKnL8c8AdGow%3d%3d&rt=1&let=58&ct=0&ft=-1
987468,ثرود,سرمایه گذاری مسکن زاینده رود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۱:۱۳:۵۲,۱۴۰۱/۱۱/۰۵ ۱۱:۱۳:۵۲,/Reports/Decision.aspx?LetterSerial=Ax0ScAvT8VaBb1Ec2Wek7w%3d%3d&rt=1&let=58&ct=0&ft=-1
983526,ثرود,سرمایه گذاری مسکن زاینده رود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۸ ۰۸:۵۹:۵۱,۱۴۰۱/۱۰/۲۸ ۰۸:۵۹:۵۱,/Reports/Decision.aspx?LetterSerial=F53KgRZKKgaMo8Rp41iGFg%3d%3d&rt=1&let=58&ct=0&ft=-1
976271,ثرود,سرمایه گذاری مسکن زاینده رود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۹ ۲۲:۵۲:۲۴,۱۴۰۱/۱۰/۰۹ ۲۲:۵۲:۲۴,/Reports/Decision.aspx?LetterSerial=GfH0pVHXipKLKLmr6MQnSQ%3d%3d&rt=1&let=58&ct=0&ft=-1
