TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076738,ثشرق,سرمایه گذاری مسکن شمال شرق,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۲:۰۸:۲۳,۱۴۰۲/۰۶/۰۷ ۱۲:۰۸:۲۳,/Reports/Decision.aspx?LetterSerial=IVMFiSvPZK%2bXYDFREzTudQ%3d%3d&rt=1&let=58&ct=0&ft=-1
1063112,ثشرق,سرمایه گذاری مسکن شمال شرق,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۲ ۱۷:۰۳:۵۴,۱۴۰۲/۰۵/۰۲ ۱۷:۰۳:۵۴,/Reports/Decision.aspx?LetterSerial=rq1u3RvB7%2bmb7S3t8Jf5XA%3d%3d&rt=1&let=58&ct=0&ft=-1
1048533,ثشرق,سرمایه گذاری مسکن شمال شرق,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۱۰ ۱۱:۲۲:۳۴,۱۴۰۲/۰۴/۱۰ ۱۱:۲۲:۳۴,/Reports/Decision.aspx?LetterSerial=wpV40GXKXCdGZIU2CZ0gkg%3d%3d&rt=1&let=58&ct=0&ft=-1
1045672,ثشرق,سرمایه گذاری مسکن شمال شرق,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۷:۴۳:۴۰,۱۴۰۲/۰۴/۰۴ ۱۷:۴۳:۴۰,/Reports/Decision.aspx?LetterSerial=lSZ9oJ2ER0O7xQim2WOpZA%3d%3d&rt=1&let=58&ct=0&ft=-1
1045664,ثشرق,سرمایه گذاری مسکن شمال شرق,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۶:۳۶:۵۷,۱۴۰۲/۰۴/۰۴ ۱۶:۳۶:۵۷,/Reports/Decision.aspx?LetterSerial=b2tAQUFZPDaB5v4GITz7ig%3d%3d&rt=1&let=58&ct=0&ft=-1
1032630,ثشرق,سرمایه گذاری مسکن شمال شرق,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۷:۱۲:۱۳,۱۴۰۲/۰۳/۰۷ ۱۷:۱۲:۱۳,/Reports/Decision.aspx?LetterSerial=cCMoGstxcfLSWs341BXgZg%3d%3d&rt=1&let=58&ct=0&ft=-1
1032611,ثشرق,سرمایه گذاری مسکن شمال شرق,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۷:۰۱:۱۲,۱۴۰۲/۰۳/۰۷ ۱۷:۰۱:۱۲,/Reports/Decision.aspx?LetterSerial=BP8NJoBhPII3LwCSAkEqZQ%3d%3d&rt=1&let=58&ct=0&ft=-1
1031550,ثشرق,سرمایه گذاری مسکن شمال شرق,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۶:۱۷:۲۵,۱۴۰۲/۰۳/۰۶ ۱۶:۱۷:۲۵,/Reports/Decision.aspx?LetterSerial=NQQQaQQQYgAljahKkAOZ6aQQQaQQQGitrA%3d%3d&rt=1&let=58&ct=0&ft=-1
1019104,ثشرق,سرمایه گذاری مسکن شمال شرق,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۰:۳۲:۰۰,۱۴۰۲/۰۲/۱۰ ۱۰:۳۲:۰۰,/Reports/Decision.aspx?LetterSerial=lWzfUUzTcKsIXjWI7X4%2bMg%3d%3d&rt=1&let=58&ct=0&ft=-1
1009006,ثشرق,سرمایه گذاری مسکن شمال شرق,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۱:۱۱:۱۴,۱۴۰۲/۰۱/۰۹ ۱۱:۱۱:۱۴,/Reports/Decision.aspx?LetterSerial=yqHRVMbtgGIyNFjQx8Da%2bA%3d%3d&rt=1&let=58&ct=0&ft=-1
