TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074758,ثعمرا,عمران و توسعه شاهد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۶:۰۷:۲۶,۱۴۰۲/۰۶/۰۴ ۱۶:۰۷:۲۶,/Reports/Decision.aspx?LetterSerial=Q4iuQZNbFsABgnP7bq5MMA%3d%3d&rt=1&let=58&ct=0&ft=-1
1063325,ثعمرا,عمران و توسعه شاهد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۰۷:۰۷:۵۶,۱۴۰۲/۰۵/۰۳ ۰۷:۰۷:۵۶,/Reports/Decision.aspx?LetterSerial=zMtsEELe0XarzzqCWZelBA%3d%3d&rt=1&let=58&ct=0&ft=-1
1048765,ثعمرا,عمران و توسعه شاهد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۱۰ ۱۷:۲۴:۵۰,۱۴۰۲/۰۴/۱۰ ۱۷:۲۴:۵۰,/Reports/Decision.aspx?LetterSerial=wD4ZL%2bsZQQQaQQQVn782eT8pQDag%3d%3d&rt=1&let=58&ct=0&ft=-1
1030194,ثعمرا,عمران و توسعه شاهد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۰:۵۳:۴۷,۱۴۰۲/۰۳/۰۷ ۱۰:۵۳:۴۷,/Reports/Decision.aspx?LetterSerial=KSJdi90zKDUHqD5QQQaQQQEQepbA%3d%3d&rt=1&let=58&ct=0&ft=-1
1029863,ثعمرا,عمران و توسعه شاهد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۲ ۱۴:۳۷:۰۵,۱۴۰۲/۰۳/۰۲ ۱۴:۳۷:۰۵,/Reports/Decision.aspx?LetterSerial=u614RKnry5vkMmNVh08T7g%3d%3d&rt=1&let=58&ct=0&ft=-1
1029813,ثعمرا,عمران و توسعه شاهد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۲ ۱۴:۳۲:۰۱,۱۴۰۲/۰۳/۰۲ ۱۴:۳۲:۰۱,/Reports/Decision.aspx?LetterSerial=sy2xJdPGIReHbYgNa76Frg%3d%3d&rt=1&let=58&ct=0&ft=-1
995595,ثعمرا,عمران و توسعه شاهد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۴:۱۸:۵۹,۱۴۰۱/۱۲/۰۳ ۱۴:۱۸:۵۹,/Reports/Decision.aspx?LetterSerial=SOKJQQQaQQQvi70PcyXjERHkLNxg%3d%3d&rt=1&let=58&ct=0&ft=-1
984793,ثعمرا,عمران و توسعه شاهد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۳:۳۶:۲۶,۱۴۰۱/۱۱/۰۴ ۱۳:۳۶:۲۶,/Reports/Decision.aspx?LetterSerial=cx7gem8YScvvKSVMTq98Xg%3d%3d&rt=1&let=58&ct=0&ft=-1
974901,ثعمرا,عمران و توسعه شاهد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۰۸:۵۰:۴۳,۱۴۰۱/۱۰/۰۵ ۰۸:۵۰:۴۳,/Reports/Decision.aspx?LetterSerial=72bYqWcPL5LDZcOWZhHoRg%3d%3d&rt=1&let=58&ct=0&ft=-1
964790,ثعمرا,عمران و توسعه شاهد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۰۸ ۱۰:۴۴:۵۰,۱۴۰۱/۰۹/۰۸ ۱۰:۴۴:۵۰,/Reports/Decision.aspx?LetterSerial=UOSEDf8LMcVBnkaGkmaFkQ%3d%3d&rt=1&let=58&ct=0&ft=-1
964944,ثعمرا,عمران و توسعه شاهد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۶:۱۷:۱۵,۱۴۰۱/۰۹/۰۷ ۱۶:۱۷:۱۵,/Reports/Decision.aspx?LetterSerial=ujDmHN9YH9ldEQQQaQQQdVnugiyA%3d%3d&rt=1&let=58&ct=0&ft=-1
962090,ثعمرا,عمران و توسعه شاهد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۱ ۱۹:۲۵:۲۹,۱۴۰۱/۰۹/۰۱ ۱۹:۲۵:۲۹,/Reports/Decision.aspx?LetterSerial=AdgZCqaGM1NBJslVNxoSPQ%3d%3d&rt=1&let=58&ct=0&ft=-1
949968,ثعمرا,عمران و توسعه شاهد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۴ ۱۵:۴۰:۳۷,۱۴۰۱/۰۸/۰۴ ۱۵:۴۰:۳۷,/Reports/Decision.aspx?LetterSerial=YRWxQQQaQQQ0l%2bj2asAXmwpAjUgQ%3d%3d&rt=1&let=58&ct=0&ft=-1
940930,ثعمرا,عمران و توسعه شاهد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۲ ۱۷:۰۷:۳۵,۱۴۰۱/۰۷/۰۲ ۱۷:۰۷:۳۵,/Reports/Decision.aspx?LetterSerial=fiNoJGmjp%2bpuY6f4XzMlHg%3d%3d&rt=1&let=58&ct=0&ft=-1
930340,ثعمرا,عمران و توسعه شاهد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۶/۰۵ ۱۵:۲۲:۲۲,۱۴۰۱/۰۶/۰۵ ۱۵:۲۲:۲۲,/Reports/Decision.aspx?LetterSerial=Tl2sqllUsYwLmMwTHRbTVg%3d%3d&rt=1&let=58&ct=0&ft=-1
928693,ثعمرا,عمران و توسعه شاهد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۲ ۱۳:۴۵:۰۹,۱۴۰۱/۰۶/۰۲ ۱۳:۴۵:۰۹,/Reports/Decision.aspx?LetterSerial=5uPgppaPZI%2bSX4bNat1ECA%3d%3d&rt=1&let=58&ct=0&ft=-1
918333,ثعمرا,عمران و توسعه شاهد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۴ ۰۹:۵۹:۲۹,۱۴۰۱/۰۵/۰۴ ۰۹:۵۹:۲۹,/Reports/Decision.aspx?LetterSerial=Kw99byQkd8hCNov2mbLQHg%3d%3d&rt=1&let=58&ct=0&ft=-1
