TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075447,ثغرب,سرمایه گذاری مسکن شمالغرب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۴:۴۱:۵۹,۱۴۰۲/۰۶/۰۵ ۱۴:۴۱:۵۹,/Reports/Decision.aspx?LetterSerial=EaPi5BYKu5ryDK6Gpuh%2bZQ%3d%3d&rt=1&let=58&ct=0&ft=-1
1069250,ثغرب,سرمایه گذاری مسکن شمالغرب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۲۸ ۱۵:۱۲:۵۹,۱۴۰۲/۰۵/۲۸ ۱۵:۱۲:۵۹,/Reports/Decision.aspx?LetterSerial=f5TFAKnrTc71CV5Yv6XEGA%3d%3d&rt=1&let=58&ct=0&ft=-1
1063811,ثغرب,سرمایه گذاری مسکن شمالغرب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۰:۰۸:۲۸,۱۴۰۲/۰۵/۰۴ ۱۰:۰۸:۲۸,/Reports/Decision.aspx?LetterSerial=xgI4qkcrPezzzQQQaQQQhpXDVwxg%3d%3d&rt=1&let=58&ct=0&ft=-1
1058572,ثغرب,سرمایه گذاری مسکن شمالغرب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۷ ۱۳:۳۷:۳۷,۱۴۰۲/۰۴/۲۷ ۱۳:۳۷:۳۷,/Reports/Decision.aspx?LetterSerial=0s2otuWp0Q0eCQdl2v9Ouw%3d%3d&rt=1&let=58&ct=0&ft=-1
1045875,ثغرب,سرمایه گذاری مسکن شمالغرب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۱:۰۳:۴۶,۱۴۰۲/۰۴/۰۵ ۱۱:۰۳:۴۶,/Reports/Decision.aspx?LetterSerial=d1URPQQQaQQQJXtkvMB6P6AQQQaQQQEK1w%3d%3d&rt=1&let=58&ct=0&ft=-1
1030663,ثغرب,سرمایه گذاری مسکن شمالغرب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۵:۴۱:۵۰,۱۴۰۲/۰۳/۰۳ ۱۵:۴۱:۵۰,/Reports/Decision.aspx?LetterSerial=x4%2bYz4PfAre%2bzzBv16cYaA%3d%3d&rt=1&let=58&ct=0&ft=-1
1017009,ثغرب,سرمایه گذاری مسکن شمالغرب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۵:۵۱:۱۳,۱۴۰۲/۰۲/۰۵ ۱۵:۵۱:۱۳,/Reports/Decision.aspx?LetterSerial=8nScr57sUTca45KpHpKAyA%3d%3d&rt=1&let=58&ct=0&ft=-1
1004666,ثغرب,سرمایه گذاری مسکن شمالغرب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۴ ۱۶:۱۴:۱۲,۱۴۰۱/۱۲/۲۴ ۱۶:۱۴:۱۲,/Reports/Decision.aspx?LetterSerial=A%2bz0jbCjolIdcYeMaQJaiQ%3d%3d&rt=1&let=58&ct=0&ft=-1
996162,ثغرب,سرمایه گذاری مسکن شمالغرب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۰۸:۳۹:۲۶,۱۴۰۱/۱۲/۰۶ ۰۸:۳۹:۲۶,/Reports/Decision.aspx?LetterSerial=vP3yM3gUjzxoHIEtCTnvUw%3d%3d&rt=1&let=58&ct=0&ft=-1
987466,ثغرب,سرمایه گذاری مسکن شمالغرب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۳:۲۰:۳۷,۱۴۰۱/۱۱/۰۵ ۱۳:۲۰:۳۷,/Reports/Decision.aspx?LetterSerial=b9NCUyGn6zdKnQQQaQQQN%2bCKO6Vw%3d%3d&rt=1&let=58&ct=0&ft=-1
977078,ثغرب,سرمایه گذاری مسکن شمالغرب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۱ ۱۰:۴۶:۳۹,۱۴۰۱/۱۰/۱۱ ۱۰:۴۶:۳۹,/Reports/Decision.aspx?LetterSerial=MxQQQaQQQdER52pLBfDZni0DhEIw%3d%3d&rt=1&let=58&ct=0&ft=-1
962370,ثغرب,سرمایه گذاری مسکن شمالغرب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۲ ۱۵:۲۳:۳۷,۱۴۰۱/۰۹/۰۲ ۱۵:۲۳:۳۷,/Reports/Decision.aspx?LetterSerial=XEkIyPvLLG0BclIa4VRP6w%3d%3d&rt=1&let=58&ct=0&ft=-1
950829,ثغرب,سرمایه گذاری مسکن شمالغرب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۴ ۱۱:۰۴:۰۵,۱۴۰۱/۰۸/۰۴ ۱۱:۰۴:۰۵,/Reports/Decision.aspx?LetterSerial=mw2Zed24qvkt4%2bFSTgPL3Q%3d%3d&rt=1&let=58&ct=0&ft=-1
941400,ثغرب,سرمایه گذاری مسکن شمالغرب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۴ ۱۵:۵۳:۲۱,۱۴۰۱/۰۷/۰۴ ۱۵:۵۳:۲۱,/Reports/Decision.aspx?LetterSerial=qG4Y2aIS0iXfcKd8dY33pQ%3d%3d&rt=1&let=58&ct=0&ft=-1
932534,ثغرب,سرمایه گذاری مسکن شمالغرب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۶/۰۸ ۱۸:۱۹:۳۸,۱۴۰۱/۰۶/۰۸ ۱۸:۱۹:۳۸,/Reports/Decision.aspx?LetterSerial=4HcKyhH3AnyRMxGIimK1AQ%3d%3d&rt=1&let=58&ct=0&ft=-1
932420,ثغرب,سرمایه گذاری مسکن شمالغرب,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۸ ۱۷:۲۱:۲۱,۱۴۰۱/۰۶/۰۸ ۱۷:۲۱:۲۱,/Reports/Decision.aspx?LetterSerial=WinlmlWRR2uIefMim6ZjEg%3d%3d&rt=1&let=58&ct=0&ft=-1
