TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074794,ثفارس,عمران و توسعه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۰۹:۴۵:۲۶,۱۴۰۲/۰۶/۰۴ ۰۹:۴۵:۲۶,/Reports/Decision.aspx?LetterSerial=mnvbohXtCTwwsQQQaQQQ9zCTSteQ%3d%3d&rt=1&let=58&ct=0&ft=-1
1064169,ثفارس,عمران و توسعه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۰:۱۵:۴۴,۱۴۰۲/۰۵/۰۴ ۱۰:۱۵:۴۴,/Reports/Decision.aspx?LetterSerial=odnP0xpEV1z0MmLRo4gTpA%3d%3d&rt=1&let=58&ct=0&ft=-1
1044468,ثفارس,عمران و توسعه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۳:۲۱:۰۷,۱۴۰۲/۰۴/۰۴ ۱۳:۲۱:۰۷,/Reports/Decision.aspx?LetterSerial=JJ5PtD8MrTubukh4G2W4QQQaQQQw%3d%3d&rt=1&let=58&ct=0&ft=-1
1030580,ثفارس,عمران و توسعه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۱۰:۲۰:۵۹,۱۴۰۲/۰۳/۰۴ ۱۰:۲۰:۵۹,/Reports/Decision.aspx?LetterSerial=BF1GFa1iQVR%2bFRs8wvqmkg%3d%3d&rt=1&let=58&ct=0&ft=-1
1018666,ثفارس,عمران و توسعه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۹ ۱۴:۴۳:۰۱,۱۴۰۲/۰۲/۰۹ ۱۴:۴۳:۰۱,/Reports/Decision.aspx?LetterSerial=UHKT3oq97cdes13tyLqm5Q%3d%3d&rt=1&let=58&ct=0&ft=-1
1004282,ثفارس,عمران و توسعه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۶ ۱۳:۱۱:۲۵,۱۴۰۲/۰۱/۰۶ ۱۳:۱۱:۲۵,/Reports/Decision.aspx?LetterSerial=sXKQCQQQaQQQHlkIks8yz05iAgrQ%3d%3d&rt=1&let=58&ct=0&ft=-1
994712,ثفارس,عمران و توسعه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۱:۴۹:۱۴,۱۴۰۱/۱۲/۰۶ ۱۱:۴۹:۱۴,/Reports/Decision.aspx?LetterSerial=GK32rEI5ujS9rDRhFs6zfg%3d%3d&rt=1&let=58&ct=0&ft=-1
985560,ثفارس,عمران و توسعه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۲ ۰۹:۲۹:۱۷,۱۴۰۱/۱۱/۰۲ ۰۹:۲۹:۱۷,/Reports/Decision.aspx?LetterSerial=o4pbJ61URoZEfjO6ig6amA%3d%3d&rt=1&let=58&ct=0&ft=-1
975039,ثفارس,عمران و توسعه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۰:۰۴:۱۰,۱۴۰۱/۱۰/۰۵ ۱۰:۰۴:۱۰,/Reports/Decision.aspx?LetterSerial=NSaZtNGanZeHU6KraJ%2bhXg%3d%3d&rt=1&let=58&ct=0&ft=-1
961586,ثفارس,عمران و توسعه فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۱ ۰۹:۲۲:۴۱,۱۴۰۱/۰۹/۰۱ ۰۹:۲۲:۴۱,/Reports/Decision.aspx?LetterSerial=F6QY6nuDY30sd4tbjJBeJg%3d%3d&rt=1&let=58&ct=0&ft=-1
