TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075933,ثمسکن,گروه سرمایه گذاری مسکن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۶ ۱۴:۴۵:۲۶,۱۴۰۲/۰۶/۰۶ ۱۴:۴۵:۲۶,/Reports/Decision.aspx?LetterSerial=7QT3EGiWb6O4ylTsrwdAQQQaQQQg%3d%3d&rt=2&let=8&ct=0&ft=-1
1065256,ثمسکن,گروه سرمایه گذاری مسکن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۷ ۲۰:۳۰:۵۶,۱۴۰۲/۰۵/۰۷ ۲۰:۳۰:۵۶,/Reports/Decision.aspx?LetterSerial=0AZCEoMdssRTQMrcrjIWWg%3d%3d&rt=2&let=8&ct=0&ft=-1
1044602,ثمسکن,گروه سرمایه گذاری مسکن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۶ ۱۲:۴۶:۱۹,۱۴۰۲/۰۴/۰۶ ۱۲:۴۶:۱۹,/Reports/Decision.aspx?LetterSerial=WJLP9FQQQaQQQowOIVHm0bCm93GA%3d%3d&rt=2&let=8&ct=0&ft=-1
1030277,ثمسکن,گروه سرمایه گذاری مسکن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۳ ۱۲:۴۵:۵۹,۱۴۰۲/۰۳/۰۳ ۱۲:۴۵:۵۹,/Reports/Decision.aspx?LetterSerial=bwwC1QkfrixzKXlWv6Ug%2bQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1017750,ثمسکن,گروه سرمایه گذاری مسکن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۹ ۱۵:۳۸:۳۰,۱۴۰۲/۰۲/۰۹ ۱۵:۳۸:۳۰,/Reports/Decision.aspx?LetterSerial=NhQ7X0OykC2phWIUzuHDow%3d%3d&rt=2&let=8&ct=0&ft=-1
1007029,ثمسکن,گروه سرمایه گذاری مسکن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۸ ۱۴:۰۹:۴۹,۱۴۰۲/۰۱/۰۸ ۱۴:۰۹:۴۹,/Reports/Decision.aspx?LetterSerial=JFlzZW2ZVV69fK8mmoxQQQaQQQEA%3d%3d&rt=2&let=8&ct=0&ft=-1
996269,ثمسکن,گروه سرمایه گذاری مسکن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۶ ۱۱:۱۳:۰۲,۱۴۰۱/۱۲/۰۶ ۱۱:۱۳:۰۲,/Reports/Decision.aspx?LetterSerial=oJPxTTyjtr57TyVNW7GUPw%3d%3d&rt=2&let=8&ct=0&ft=-1
988108,ثمسکن,گروه سرمایه گذاری مسکن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۸ ۱۲:۳۰:۵۹,۱۴۰۱/۱۱/۰۸ ۱۲:۳۰:۵۹,/Reports/Decision.aspx?LetterSerial=gNq406BbCAC1PDJpmVcHRg%3d%3d&rt=2&let=8&ct=0&ft=-1
975681,ثمسکن,گروه سرمایه گذاری مسکن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۷ ۱۸:۳۳:۱۶,۱۴۰۱/۱۰/۰۷ ۱۸:۳۳:۱۶,/Reports/Decision.aspx?LetterSerial=XN5yn9k1YQ2QDjYGPzwpNg%3d%3d&rt=2&let=8&ct=0&ft=-1
963644,ثمسکن,گروه سرمایه گذاری مسکن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۷ ۱۶:۰۰:۳۳,۱۴۰۱/۰۹/۰۷ ۱۶:۰۰:۳۳,/Reports/Decision.aspx?LetterSerial=FYsKq0SQQQaQQQR8Cm0Tql2BQE%2bA%3d%3d&rt=2&let=8&ct=0&ft=-1
951650,ثمسکن,گروه سرمایه گذاری مسکن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۷ ۱۳:۱۵:۴۵,۱۴۰۱/۰۸/۰۷ ۱۳:۱۵:۴۵,/Reports/Decision.aspx?LetterSerial=HpGHSlEPiP1EYWoEezpkSg%3d%3d&rt=2&let=8&ct=0&ft=-1
942174,ثمسکن,گروه سرمایه گذاری مسکن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۰۹ ۱۶:۰۹:۰۸,۱۴۰۱/۰۷/۰۹ ۱۶:۰۹:۰۸,/Reports/Decision.aspx?LetterSerial=IMxDJOiRMN6AEv5a8pgeQQQaQQQA%3d%3d&rt=2&let=8&ct=0&ft=-1
932698,ثمسکن,گروه سرمایه گذاری مسکن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۹ ۱۱:۳۱:۵۳,۱۴۰۱/۰۶/۰۹ ۱۱:۳۱:۵۳,/Reports/Decision.aspx?LetterSerial=1RB10fwiSkqoOVQQQaQQQeGKvXMA%3d%3d&rt=2&let=8&ct=0&ft=-1
932523,ثمسکن,گروه سرمایه گذاری مسکن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۹ ۰۹:۵۸:۳۶,۱۴۰۱/۰۶/۰۹ ۰۹:۵۸:۳۶,/Reports/Decision.aspx?LetterSerial=57RFVvjvHTM6BFcocjsYgQ%3d%3d&rt=2&let=8&ct=0&ft=-1
901867,ثمسکن,گروه سرمایه گذاری مسکن(سرمایه گذاری مسکن),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۱,۱۴۰۱/۰۴/۰۶ ۱۰:۵۹:۰۷,۱۴۰۱/۰۴/۰۶ ۱۰:۵۹:۰۷,/Reports/Decision.aspx?LetterSerial=43TmFFZkMJCljDwe6zPeow%3d%3d&rt=2&let=8&ct=0&ft=-1
886805,ثمسکن,گروه سرمایه گذاری مسکن(سرمایه گذاری مسکن),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۱,۱۴۰۱/۰۳/۰۵ ۱۴:۵۴:۴۲,۱۴۰۱/۰۳/۰۵ ۱۴:۵۴:۴۲,/Reports/Decision.aspx?LetterSerial=WgQQQaQQQJwOCKr2zpEcqYpTwBDw%3d%3d&rt=2&let=8&ct=0&ft=-1
875122,ثمسکن,گروه سرمایه گذاری مسکن(سرمایه گذاری مسکن),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۱,۱۴۰۱/۰۲/۰۷ ۰۹:۳۲:۴۲,۱۴۰۱/۰۲/۰۷ ۰۹:۳۲:۴۲,/Reports/Decision.aspx?LetterSerial=j3fz2w4IrDHe%2BTd356ZsuQ%3D%3D&rt=2&let=8&ct=0&ft=-1
865698,ثمسکن,گروه سرمایه گذاری مسکن(سرمایه گذاری مسکن),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۱,۱۴۰۱/۰۱/۰۹ ۱۶:۲۲:۴۰,۱۴۰۱/۰۱/۰۹ ۱۶:۲۲:۴۰,/Reports/Decision.aspx?LetterSerial=YV4QQQaQQQDTi4Ry9o5D850Ze2Jg%3D%3D&rt=2&let=8&ct=0&ft=-1
857408,ثمسکن,گروه سرمایه گذاری مسکن(سرمایه گذاری مسکن),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۱,۱۴۰۰/۱۲/۰۵ ۱۵:۴۷:۴۱,۱۴۰۰/۱۲/۰۵ ۱۵:۴۷:۴۱,/Reports/Decision.aspx?LetterSerial=vb6O7q4p0diu12o514NB8Q%3D%3D&rt=2&let=8&ct=0&ft=-1
849012,ثمسکن,گروه سرمایه گذاری مسکن(سرمایه گذاری مسکن),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۱,۱۴۰۰/۱۱/۰۸ ۱۸:۱۷:۰۳,۱۴۰۰/۱۱/۰۸ ۱۸:۱۷:۰۳,/Reports/Decision.aspx?LetterSerial=vadqeGYXXJweE%2BIYPSAU2g%3D%3D&rt=2&let=8&ct=0&ft=-1
835792,ثمسکن,گروه سرمایه گذاری مسکن(سرمایه گذاری مسکن),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۱,۱۴۰۰/۱۰/۰۷ ۱۹:۵۳:۲۳,۱۴۰۰/۱۰/۰۷ ۱۹:۵۳:۲۳,/Reports/Decision.aspx?LetterSerial=5k2JBWIjQQQaQQQ9T1%2B6NyxRq5WQ%3D%3D&rt=2&let=8&ct=0&ft=-1
822228,ثمسکن,گروه سرمایه گذاری مسکن(سرمایه گذاری مسکن),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۱,۱۴۰۰/۰۹/۰۷ ۱۴:۳۷:۵۷,۱۴۰۰/۰۹/۰۷ ۱۴:۳۷:۵۷,/Reports/Decision.aspx?LetterSerial=olSIaZlFIGG38wYr7QQQaQQQFC3Q%3D%3D&rt=2&let=8&ct=0&ft=-1
810115,ثمسکن,گروه سرمایه گذاری مسکن(سرمایه گذاری مسکن),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۱,۱۴۰۰/۰۸/۰۵ ۱۲:۵۶:۲۱,۱۴۰۰/۰۸/۰۵ ۱۲:۵۶:۲۱,/Reports/Decision.aspx?LetterSerial=szNAVlSkm3bGVmn66Anw5Q%3D%3D&rt=2&let=8&ct=0&ft=-1
