TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075856,ثنوسا,نوسازی و ساختمان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۸:۳۴:۵۰,۱۴۰۲/۰۶/۰۵ ۱۸:۳۴:۵۰,/Reports/Decision.aspx?LetterSerial=%2bswur1PlqMnH8flaJAtN3Q%3d%3d&rt=1&let=58&ct=0&ft=-1
1065102,ثنوسا,نوسازی و ساختمان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۷:۲۷:۴۵,۱۴۰۲/۰۵/۰۷ ۱۷:۲۷:۴۵,/Reports/Decision.aspx?LetterSerial=xi9NIci9Bn5B3PJYUL7B1g%3d%3d&rt=1&let=58&ct=0&ft=-1
1050384,ثنوسا,نوسازی و ساختمان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۱۲ ۱۸:۳۴:۴۸,۱۴۰۲/۰۴/۱۲ ۱۸:۳۴:۴۸,/Reports/Decision.aspx?LetterSerial=QeFjXLcSUrvUYKidkCdWjg%3d%3d&rt=1&let=58&ct=0&ft=-1
1047274,ثنوسا,نوسازی و ساختمان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۸:۰۶:۴۳,۱۴۰۲/۰۴/۰۶ ۱۸:۰۶:۴۳,/Reports/Decision.aspx?LetterSerial=bmbuAoHlucPrV1xrxx%2bgcA%3d%3d&rt=1&let=58&ct=0&ft=-1
1030709,ثنوسا,نوسازی و ساختمان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۶:۳۱:۴۰,۱۴۰۲/۰۳/۰۳ ۱۶:۳۱:۴۰,/Reports/Decision.aspx?LetterSerial=T88wo10eOeABIvvq5HtTcg%3d%3d&rt=1&let=58&ct=0&ft=-1
1017321,ثنوسا,نوسازی و ساختمان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۶:۲۳:۴۵,۱۴۰۲/۰۲/۰۶ ۱۶:۲۳:۴۵,/Reports/Decision.aspx?LetterSerial=W%2bfoo9gNGgDuNc1CrzXvVg%3d%3d&rt=1&let=58&ct=0&ft=-1
1005942,ثنوسا,نوسازی و ساختمان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۸ ۱۴:۳۷:۰۸,۱۴۰۱/۱۲/۲۸ ۱۴:۳۷:۰۸,/Reports/Decision.aspx?LetterSerial=fg9HXe4ZoHbuQrqD4gqrRg%3d%3d&rt=1&let=58&ct=0&ft=-1
996053,ثنوسا,نوسازی و ساختمان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۶:۰۹:۲۸,۱۴۰۱/۱۲/۰۳ ۱۶:۰۹:۲۸,/Reports/Decision.aspx?LetterSerial=HmVNkj5tKQQQaQQQdtuQQQaQQQxGJHuLgg%3d%3d&rt=1&let=58&ct=0&ft=-1
987828,ثنوسا,نوسازی و ساختمان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۵:۵۹:۱۰,۱۴۰۱/۱۱/۰۵ ۱۵:۵۹:۱۰,/Reports/Decision.aspx?LetterSerial=JmRk1ENEfF90QQQaQQQGp8MK5uOg%3d%3d&rt=1&let=58&ct=0&ft=-1
976854,ثنوسا,نوسازی و ساختمان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۷:۱۵:۰۲,۱۴۰۱/۱۰/۱۰ ۱۷:۱۵:۰۲,/Reports/Decision.aspx?LetterSerial=D5BD%2brC%2bzT3L3bX17fXsfQ%3d%3d&rt=1&let=58&ct=0&ft=-1
