TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075614,جم پیلن,پتروشیمی جم پیلن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۵:۴۰:۳۳,۱۴۰۲/۰۶/۰۷ ۱۵:۴۰:۳۳,/Reports/Decision.aspx?LetterSerial=Y8YQQQaQQQRG3Ooub0EdwnCKzMBw%3d%3d&rt=0&let=58&ct=0&ft=-1
1064002,جم پیلن,پتروشیمی جم پیلن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۶:۲۶:۵۳,۱۴۰۲/۰۵/۰۴ ۱۶:۲۶:۵۳,/Reports/Decision.aspx?LetterSerial=%2b1uXhjAfw1yb%2bP7XWHyC8g%3d%3d&rt=0&let=58&ct=0&ft=-1
1046046,جم پیلن,پتروشیمی جم پیلن,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۰:۵۴:۰۲,۱۴۰۲/۰۴/۰۷ ۱۰:۵۴:۰۲,/Reports/Decision.aspx?LetterSerial=QQQaQQQqZdu5INqGdEdrj1bmzqcQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1030352,جم پیلن,پلی پروپیلن جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۶:۱۸:۲۶,۱۴۰۲/۰۳/۰۳ ۱۶:۱۸:۲۶,/Reports/Decision.aspx?LetterSerial=z2mbHBc1TbypFzp2V0B1SA%3d%3d&rt=0&let=58&ct=0&ft=-1
1011339,جم پیلن,پلی پروپیلن جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۱۷ ۱۲:۳۵:۱۰,۱۴۰۲/۰۲/۱۷ ۱۲:۳۵:۱۰,/Reports/Decision.aspx?LetterSerial=%2bWmvPYgY3cwXg%2bYWgGPTZw%3d%3d&rt=0&let=58&ct=0&ft=-1
1016022,جم پیلن,پلی پروپیلن جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۰۹:۴۲:۰۷,۱۴۰۲/۰۲/۰۶ ۰۹:۴۲:۰۷,/Reports/Decision.aspx?LetterSerial=KrvzapXG%2bq0XtCdOC%2bOgJA%3d%3d&rt=0&let=58&ct=0&ft=-1
1005192,جم پیلن,پلی پروپیلن جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۴:۴۶:۲۴,۱۴۰۲/۰۱/۰۹ ۱۴:۴۶:۲۴,/Reports/Decision.aspx?LetterSerial=d%2bi2YWNd5rOEKYU8IQQQaQQQ24Qw%3d%3d&rt=0&let=58&ct=0&ft=-1
995937,جم پیلن,پلی پروپیلن جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۴:۴۸:۲۸,۱۴۰۱/۱۲/۰۴ ۱۴:۴۸:۲۸,/Reports/Decision.aspx?LetterSerial=GlsbGUkRrDegP6Xk4TaMhg%3d%3d&rt=0&let=58&ct=0&ft=-1
986614,جم پیلن,پلی پروپیلن جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۸:۵۷:۳۳,۱۴۰۱/۱۱/۰۴ ۱۸:۵۷:۳۳,/Reports/Decision.aspx?LetterSerial=IenYM9qN9WlD7SP5Ix2Vdw%3d%3d&rt=0&let=58&ct=0&ft=-1
974465,جم پیلن,پلی پروپیلن جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۸:۵۱:۴۵,۱۴۰۱/۱۰/۰۵ ۱۸:۵۱:۴۵,/Reports/Decision.aspx?LetterSerial=b52ytbNuyGZzjQQQaQQQ3Y03JEXA%3d%3d&rt=0&let=58&ct=0&ft=-1
