TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076131,جم,پترو شیمی جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۱۲:۰۷:۰۲,۱۴۰۲/۰۶/۰۶ ۱۲:۰۷:۰۲,/Reports/Decision.aspx?LetterSerial=mMxHJcN4jVsFMO6iO1l8mA%3d%3d&rt=0&let=58&ct=0&ft=-1
1064171,جم,پترو شیمی جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۴:۲۰:۲۱,۱۴۰۲/۰۵/۰۴ ۱۴:۲۰:۲۱,/Reports/Decision.aspx?LetterSerial=czpChV%2bxlCGQQQaQQQAjoipU8gFw%3d%3d&rt=0&let=58&ct=0&ft=-1
1059292,جم,پترو شیمی جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۸ ۱۷:۰۶:۲۸,۱۴۰۲/۰۴/۲۸ ۱۷:۰۶:۲۸,/Reports/Decision.aspx?LetterSerial=HMcsk7jgq8wPOljW8LypiA%3d%3d&rt=0&let=58&ct=0&ft=-1
1046433,جم,پترو شیمی جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۷:۳۷:۱۲,۱۴۰۲/۰۴/۰۵ ۱۷:۳۷:۱۲,/Reports/Decision.aspx?LetterSerial=XIKsujPI1FB3yb3j5JPbkQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1040210,جم,پترو شیمی جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۲۴ ۱۱:۴۴:۱۸,۱۴۰۲/۰۳/۲۴ ۱۱:۴۴:۱۸,/Reports/Decision.aspx?LetterSerial=ZQQQaQQQpQQQaQQQQQQaQQQYYqJnsLwZKYRAlFwQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1031485,جم,پترو شیمی جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۰:۳۵:۰۴,۱۴۰۲/۰۳/۰۷ ۱۰:۳۵:۰۴,/Reports/Decision.aspx?LetterSerial=iXdhe6TjL4VzPpFbrV3voQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1021477,جم,پترو شیمی جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۶ ۱۲:۰۲:۵۹,۱۴۰۲/۰۲/۱۶ ۱۲:۰۲:۵۹,/Reports/Decision.aspx?LetterSerial=ynu0EKFwXJVIoOfyuJu87Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1009027,جم,پترو شیمی جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۰:۳۸:۴۲,۱۴۰۲/۰۱/۰۹ ۱۰:۳۸:۴۲,/Reports/Decision.aspx?LetterSerial=75mxncD9XSipsyN14%2b1W5A%3d%3d&rt=0&let=58&ct=0&ft=-1
1007047,جم,پترو شیمی جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۳:۰۱:۳۶,۱۴۰۲/۰۱/۰۷ ۱۳:۰۱:۳۶,/Reports/Decision.aspx?LetterSerial=1QQQaQQQhMl0GBbKVZJ2ObcSAHXA%3d%3d&rt=0&let=58&ct=0&ft=-1
1000605,جم,پترو شیمی جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۲/۱۴ ۱۶:۱۲:۴۸,۱۴۰۱/۱۲/۱۴ ۱۶:۱۲:۴۸,/Reports/Decision.aspx?LetterSerial=eTQIkFCQqnh6E9UW%2bWAuDA%3d%3d&rt=0&let=58&ct=0&ft=-1
1000524,جم,پترو شیمی جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۲/۱۴ ۱۴:۴۱:۳۸,۱۴۰۱/۱۲/۱۴ ۱۴:۴۱:۳۸,/Reports/Decision.aspx?LetterSerial=1f1Cnkb3kR%2bi7bVB9%2bkJOQ%3d%3d&rt=0&let=58&ct=0&ft=-1
996091,جم,پترو شیمی جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۴:۱۳:۳۳,۱۴۰۱/۱۲/۰۳ ۱۴:۱۳:۳۳,/Reports/Decision.aspx?LetterSerial=W5LxoNALlmdae0RkF%2bk7Lw%3d%3d&rt=0&let=58&ct=0&ft=-1
986883,جم,پترو شیمی جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۳:۱۹:۴۳,۱۴۰۱/۱۱/۰۴ ۱۳:۱۹:۴۳,/Reports/Decision.aspx?LetterSerial=snzNpfcykLibpZj4tOFKAQ%3d%3d&rt=0&let=58&ct=0&ft=-1
983843,جم,پترو شیمی جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۸ ۱۴:۰۵:۰۲,۱۴۰۱/۱۰/۲۸ ۱۴:۰۵:۰۲,/Reports/Decision.aspx?LetterSerial=wI9T2ttJ%2bxYcWrKDOxIpzg%3d%3d&rt=0&let=58&ct=0&ft=-1
975764,جم,پترو شیمی جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۲:۲۹:۳۷,۱۴۰۱/۱۰/۰۷ ۱۲:۲۹:۳۷,/Reports/Decision.aspx?LetterSerial=Q9Ao4tQqI3ooNzAm9kFPkg%3d%3d&rt=0&let=58&ct=0&ft=-1
970074,جم,پترو شیمی جم,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۲۰ ۱۳:۰۸:۲۸,۱۴۰۱/۰۹/۲۰ ۱۳:۰۸:۲۸,/Reports/Decision.aspx?LetterSerial=svbZAC2KCyPrdBGjMUmvQQQaQQQQ%3d%3d&rt=0&let=58&ct=0&ft=-1
