TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1073772,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۱۸:۰۲:۱۵,۱۴۰۲/۰۶/۰۶ ۱۸:۰۲:۱۵,/Reports/Decision.aspx?LetterSerial=rRBQh8Rm1RQQQaQQQvDLb5XFQQQQaQQQIQ%3d%3d&rt=5&let=58&ct=0&ft=-1
1063945,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۶:۲۷:۱۳,۱۴۰۲/۰۵/۰۴ ۱۶:۲۷:۱۳,/Reports/Decision.aspx?LetterSerial=8%2bnC109gYDHbUbUYCLXyhg%3d%3d&rt=5&let=58&ct=0&ft=-1
1045168,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۰۹:۱۷:۰۱,۱۴۰۲/۰۴/۰۶ ۰۹:۱۷:۰۱,/Reports/Decision.aspx?LetterSerial=hbLljHWurnlAFZ89QobQQQaQQQJg%3d%3d&rt=5&let=58&ct=0&ft=-1
1023369,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۷:۲۹:۳۱,۱۴۰۲/۰۳/۰۶ ۱۷:۲۹:۳۱,/Reports/Decision.aspx?LetterSerial=9dixsoDaUoaf%2b5BCJ0QQQaQQQozw%3d%3d&rt=5&let=58&ct=0&ft=-1
1020411,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۱۶ ۱۱:۰۰:۰۳,۱۴۰۲/۰۲/۱۶ ۱۱:۰۰:۰۳,/Reports/Decision.aspx?LetterSerial=R0AVWFpc1QhWERz6qrczgg%3d%3d&rt=5&let=58&ct=0&ft=-1
1016341,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۹ ۱۵:۰۶:۴۳,۱۴۰۲/۰۲/۰۹ ۱۵:۰۶:۴۳,/Reports/Decision.aspx?LetterSerial=xick54A6HMMs9XF%2b4jLphg%3d%3d&rt=5&let=58&ct=0&ft=-1
1006000,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۶ ۱۵:۰۷:۲۸,۱۴۰۲/۰۱/۰۶ ۱۵:۰۷:۲۸,/Reports/Decision.aspx?LetterSerial=6DeEcbhvnFMKtsD09yYF7Q%3d%3d&rt=5&let=58&ct=0&ft=-1
994150,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۲:۵۶:۲۳,۱۴۰۱/۱۲/۰۴ ۱۲:۵۶:۲۳,/Reports/Decision.aspx?LetterSerial=piDQ0h%2bEQVkq5EQS%2b6fUQg%3d%3d&rt=5&let=58&ct=0&ft=-1
991685,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۱۸ ۱۰:۳۱:۴۲,۱۴۰۱/۱۱/۱۸ ۱۰:۳۱:۴۲,/Reports/Decision.aspx?LetterSerial=lwuiSVFjCR8JZUIA6kOUBg%3d%3d&rt=5&let=58&ct=0&ft=-1
991202,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۱۶ ۱۹:۳۱:۵۷,۱۴۰۱/۱۱/۱۶ ۱۹:۳۱:۵۷,/Reports/Decision.aspx?LetterSerial=yt0U2w9fRz0R3yuIceRtuA%3d%3d&rt=5&let=58&ct=0&ft=-1
984270,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۱۶ ۱۸:۴۹:۴۹,۱۴۰۱/۱۱/۱۶ ۱۸:۴۹:۴۹,/Reports/Decision.aspx?LetterSerial=3NOyuBLgjh216I4j%2bHSj4Q%3d%3d&rt=5&let=58&ct=0&ft=-1
976247,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۸ ۰۸:۵۴:۳۷,۱۴۰۱/۱۰/۰۸ ۰۸:۵۴:۳۷,/Reports/Decision.aspx?LetterSerial=LjtyfLfr5oUVZAQFD6T%2bRQ%3d%3d&rt=5&let=58&ct=0&ft=-1
963662,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۶ ۱۵:۱۰:۴۷,۱۴۰۱/۰۹/۰۶ ۱۵:۱۰:۴۷,/Reports/Decision.aspx?LetterSerial=AQQQaQQQCQHhotSk485dfTzJiC8w%3d%3d&rt=5&let=58&ct=0&ft=-1
949262,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۴ ۱۱:۵۵:۳۹,۱۴۰۱/۰۸/۰۴ ۱۱:۵۵:۳۹,/Reports/Decision.aspx?LetterSerial=VGroKPI19STHaZYQQQaQQQouAhiQ%3d%3d&rt=5&let=58&ct=0&ft=-1
941624,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۹ ۱۷:۳۲:۳۳,۱۴۰۱/۰۷/۰۹ ۱۷:۳۲:۳۳,/Reports/Decision.aspx?LetterSerial=QQQaQQQMscatZQyXlVd3nJdC6lwQ%3d%3d&rt=5&let=58&ct=0&ft=-1
928800,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۶ ۲۱:۱۵:۱۹,۱۴۰۱/۰۶/۰۶ ۲۱:۱۵:۱۹,/Reports/Decision.aspx?LetterSerial=LIuwTndvnHXxy48wQl1UPQ%3d%3d&rt=5&let=58&ct=0&ft=-1
918858,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۵/۰۴ ۱۴:۲۷:۳۳,۱۴۰۱/۰۵/۰۴ ۱۴:۲۷:۳۳,/Reports/Decision.aspx?LetterSerial=h3hgae0jPPZXqDTKdQQQaQQQBY0A%3d%3d&rt=5&let=58&ct=0&ft=-1
918702,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۴ ۱۲:۳۱:۲۰,۱۴۰۱/۰۵/۰۴ ۱۲:۳۱:۲۰,/Reports/Decision.aspx?LetterSerial=FwVVIMwY%2b6mkqgG1aCA9wg%3d%3d&rt=5&let=58&ct=0&ft=-1
915405,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۲۹ ۱۸:۵۹:۴۹,۱۴۰۱/۰۴/۲۹ ۱۸:۵۹:۴۹,/Reports/Decision.aspx?LetterSerial=hu16BQQQaQQQPyEibB9QE9WIS38Q%3d%3d&rt=5&let=58&ct=0&ft=-1
894778,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۷ ۱۶:۳۳:۱۰,۱۴۰۱/۰۴/۰۷ ۱۶:۳۳:۱۰,/Reports/Decision.aspx?LetterSerial=MkpFqmxyJzAiRQQQaQQQxyRLl9JA%3d%3d&rt=5&let=58&ct=0&ft=-1
887921,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۴ ۱۷:۵۸:۱۴,۱۴۰۱/۰۳/۰۴ ۱۷:۵۸:۱۴,/Reports/Decision.aspx?LetterSerial=DxuyZmgkmOsL8cvyqQQQaQQQoYIA%3d%3d&rt=5&let=58&ct=0&ft=-1
883979,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۲/۳۱ ۱۷:۳۸:۰۶,۱۴۰۱/۰۲/۳۱ ۱۷:۳۸:۰۶,/Reports/Decision.aspx?LetterSerial=S6hM7WNvw6Q0ElvTn7JclA%3d%3d&rt=5&let=58&ct=0&ft=-1
873799,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۰۷ ۱۸:۰۱:۱۲,۱۴۰۱/۰۲/۰۷ ۱۸:۰۱:۱۲,/Reports/Decision.aspx?LetterSerial=DsmuVhmqSJUeXAXElburLw%3D%3D&rt=5&let=58&ct=0&ft=-1
864046,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۰/۱۲/۲۶ ۱۰:۵۱:۲۰,۱۴۰۰/۱۲/۲۶ ۱۰:۵۱:۲۰,/Reports/Decision.aspx?LetterSerial=E%2Be0Q8YZwfpjQ1hxXPB9MA%3D%3D&rt=5&let=58&ct=0&ft=-1
858633,حسینا,توسعه خدمات دریایی و بندری سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰(اصلاحیه),ن-۳۰,۱۴۰۰/۱۲/۰۹ ۱۲:۰۸:۰۶,۱۴۰۰/۱۲/۰۹ ۱۲:۰۸:۰۶,/Reports/Decision.aspx?LetterSerial=AfHbhaxFk992dXfhJQiVcg%3D%3D&rt=5&let=58&ct=0&ft=-1
