TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1081005,حفاری,حفاری شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۶/۱۸ ۱۱:۴۲:۱۹,۱۴۰۲/۰۶/۱۸ ۱۱:۴۲:۱۹,/Reports/Decision.aspx?LetterSerial=tKY0f7DYIWOdQQQaQQQ9wXnJQQQaQQQaEw%3d%3d&rt=5&let=58&ct=0&ft=-1
1080094,حفاری,حفاری شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۱۳ ۱۴:۰۲:۳۷,۱۴۰۲/۰۶/۱۳ ۱۴:۰۲:۳۷,/Reports/Decision.aspx?LetterSerial=V6HSqWyhrU7qyyyLzgBNYw%3d%3d&rt=5&let=58&ct=0&ft=-1
1069633,حفاری,حفاری شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۲۲ ۱۴:۴۴:۵۵,۱۴۰۲/۰۵/۲۲ ۱۴:۴۴:۵۵,/Reports/Decision.aspx?LetterSerial=6eVsJhdbQg1tLTONxKtg3w%3d%3d&rt=5&let=58&ct=0&ft=-1
1066042,حفاری,حفاری شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۹ ۱۱:۱۴:۳۴,۱۴۰۲/۰۵/۰۹ ۱۱:۱۴:۳۴,/Reports/Decision.aspx?LetterSerial=83eQpNKZegaYvMuIzrFTAw%3d%3d&rt=5&let=58&ct=0&ft=-1
1049495,حفاری,حفاری شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۱۲ ۰۶:۵۷:۱۰,۱۴۰۲/۰۴/۱۲ ۰۶:۵۷:۱۰,/Reports/Decision.aspx?LetterSerial=PF8HARWLRDYSx7cLeWk3ng%3d%3d&rt=5&let=58&ct=0&ft=-1
1035596,حفاری,حفاری شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۱۶ ۱۴:۴۷:۵۷,۱۴۰۲/۰۳/۱۶ ۱۴:۴۷:۵۷,/Reports/Decision.aspx?LetterSerial=JImCKSBYlpLuJtFe71QQQaQQQK8w%3d%3d&rt=5&let=58&ct=0&ft=-1
1021644,حفاری,حفاری شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۷ ۱۲:۴۴:۲۸,۱۴۰۲/۰۲/۱۷ ۱۲:۴۴:۲۸,/Reports/Decision.aspx?LetterSerial=CGuSPeQQQaQQQTvQQQaQQQfKycK4vqJiLw%3d%3d&rt=5&let=58&ct=0&ft=-1
1011078,حفاری,حفاری شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۲۰ ۰۹:۰۸:۰۸,۱۴۰۲/۰۱/۲۰ ۰۹:۰۸:۰۸,/Reports/Decision.aspx?LetterSerial=Tx%2bIOXAsBqO1MG5qC8Z5Gw%3d%3d&rt=5&let=58&ct=0&ft=-1
999268,حفاری,حفاری شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۱۰ ۱۵:۴۲:۲۷,۱۴۰۱/۱۲/۱۰ ۱۵:۴۲:۲۷,/Reports/Decision.aspx?LetterSerial=qrBFNOqoTQOnR0tqnh%2bRHQ%3d%3d&rt=5&let=58&ct=0&ft=-1
989978,حفاری,حفاری شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۱۲ ۰۸:۴۵:۴۱,۱۴۰۱/۱۱/۱۲ ۰۸:۴۵:۴۱,/Reports/Decision.aspx?LetterSerial=BwhlCkzovzdUdH8Bh1300A%3d%3d&rt=5&let=58&ct=0&ft=-1
978417,حفاری,حفاری شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۴ ۱۳:۵۶:۱۵,۱۴۰۱/۱۰/۱۴ ۱۳:۵۶:۱۵,/Reports/Decision.aspx?LetterSerial=is3meIixBXSKGzgZLS6MSg%3d%3d&rt=5&let=58&ct=0&ft=-1
968247,حفاری,حفاری شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۱۵ ۱۳:۴۰:۱۵,۱۴۰۱/۰۹/۱۵ ۱۳:۴۰:۱۵,/Reports/Decision.aspx?LetterSerial=to6kzVbl31y1tQQQaQQQpZFSnkaA%3d%3d&rt=5&let=58&ct=0&ft=-1
967136,حفاری,حفاری شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۱۳ ۱۴:۳۴:۲۸,۱۴۰۱/۰۹/۱۳ ۱۴:۳۴:۲۸,/Reports/Decision.aspx?LetterSerial=SHsmIEhZLQ8TdhPKYItqRw%3d%3d&rt=5&let=58&ct=0&ft=-1
954124,حفاری,حفاری شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۱۴ ۱۶:۰۹:۲۲,۱۴۰۱/۰۸/۱۴ ۱۶:۰۹:۲۲,/Reports/Decision.aspx?LetterSerial=wvT8vnBcgXvTuz5wiYvJYg%3d%3d&rt=5&let=58&ct=0&ft=-1
946073,حفاری,حفاری شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۲۳ ۱۱:۳۷:۴۶,۱۴۰۱/۰۷/۲۳ ۱۱:۳۷:۴۶,/Reports/Decision.aspx?LetterSerial=pt4QgNjuy7g2afmXQQQaQQQc20AQ%3d%3d&rt=5&let=58&ct=0&ft=-1
945518,حفاری,حفاری شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۲۰ ۱۱:۳۰:۵۱,۱۴۰۱/۰۷/۲۰ ۱۱:۳۰:۵۱,/Reports/Decision.aspx?LetterSerial=ISKTuQMjQQQaQQQuNR5CYRL%2bCsbQ%3d%3d&rt=5&let=58&ct=0&ft=-1
935066,حفاری,حفاری شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۱۳ ۲۰:۲۱:۴۴,۱۴۰۱/۰۶/۱۳ ۲۰:۲۱:۴۴,/Reports/Decision.aspx?LetterSerial=06CQQQaQQQrkQQlt4hnVuST0DMDw%3d%3d&rt=5&let=58&ct=0&ft=-1
922960,حفاری,حفاری شمال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۵/۲۰ ۱۳:۱۰:۵۴,۱۴۰۱/۰۵/۲۰ ۱۳:۱۰:۵۴,/Reports/Decision.aspx?LetterSerial=ibxUgvCuQQQaQQQAt8X22IJpgBCg%3d%3d&rt=5&let=58&ct=0&ft=-1
