TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075264,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۳:۵۵:۱۱,۱۴۰۲/۰۶/۰۵ ۱۳:۵۵:۱۱,/Reports/Decision.aspx?LetterSerial=wvfQQQaQQQ4DEtGnvty9GRXGXLDA%3d%3d&rt=0&let=58&ct=0&ft=-1
1057812,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۴:۱۷:۴۶,۱۴۰۲/۰۵/۰۳ ۱۴:۱۷:۴۶,/Reports/Decision.aspx?LetterSerial=wuhBs5dATPtGS8BBQQQaQQQ2hG4A%3d%3d&rt=0&let=58&ct=0&ft=-1
1043031,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۸:۰۶:۱۸,۱۴۰۲/۰۴/۰۶ ۱۸:۰۶:۱۸,/Reports/Decision.aspx?LetterSerial=qhMMv1miOqmD7xUA9neEvg%3d%3d&rt=0&let=58&ct=0&ft=-1
1044979,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۰:۰۹:۰۲,۱۴۰۲/۰۴/۰۵ ۱۰:۰۹:۰۲,/Reports/Decision.aspx?LetterSerial=1iywsIVbIiVtdY7QQQaQQQf9ijnA%3d%3d&rt=0&let=58&ct=0&ft=-1
1032316,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۵:۳۹:۰۸,۱۴۰۲/۰۳/۰۷ ۱۵:۳۹:۰۸,/Reports/Decision.aspx?LetterSerial=WaRY0WAJeC9EK7dGMwq7WA%3d%3d&rt=0&let=58&ct=0&ft=-1
1026703,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۷ ۱۴:۵۶:۴۸,۱۴۰۲/۰۲/۲۷ ۱۴:۵۶:۴۸,/Reports/Decision.aspx?LetterSerial=%2bGodHjh86puCYblYTT2QkQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1025715,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۶ ۱۴:۰۶:۰۲,۱۴۰۲/۰۲/۲۶ ۱۴:۰۶:۰۲,/Reports/Decision.aspx?LetterSerial=PxCsCECQQQaQQQLynAne%2bEixD71g%3d%3d&rt=0&let=58&ct=0&ft=-1
1015763,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۵:۱۸:۲۲,۱۴۰۲/۰۲/۰۶ ۱۵:۱۸:۲۲,/Reports/Decision.aspx?LetterSerial=MDReSrlJZBgC5bx31QQQaQQQ9k3A%3d%3d&rt=0&let=58&ct=0&ft=-1
1004864,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۷ ۱۰:۱۹:۱۶,۱۴۰۱/۱۲/۲۷ ۱۰:۱۹:۱۶,/Reports/Decision.aspx?LetterSerial=iFK6a0dHGIPjjXWigJKenA%3d%3d&rt=0&let=58&ct=0&ft=-1
994641,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۰:۱۳:۴۳,۱۴۰۱/۱۲/۰۴ ۱۰:۱۳:۴۳,/Reports/Decision.aspx?LetterSerial=23D4fBqtdMXPZfGyIMl7YA%3d%3d&rt=0&let=58&ct=0&ft=-1
985543,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۴:۳۰:۰۱,۱۴۰۱/۱۱/۰۵ ۱۴:۳۰:۰۱,/Reports/Decision.aspx?LetterSerial=WbC7VT%2beN7bcQIoF2aBTdQ%3d%3d&rt=0&let=58&ct=0&ft=-1
984485,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۹ ۱۳:۰۹:۳۹,۱۴۰۱/۱۰/۲۹ ۱۳:۰۹:۳۹,/Reports/Decision.aspx?LetterSerial=7tTCyueavE4lz95oMBONbQ%3d%3d&rt=0&let=58&ct=0&ft=-1
971170,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۵:۵۷:۵۹,۱۴۰۱/۱۰/۰۴ ۱۵:۵۷:۵۹,/Reports/Decision.aspx?LetterSerial=vBeRxcHlwoQQQaQQQvSuk7OF3dDw%3d%3d&rt=0&let=58&ct=0&ft=-1
961620,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۴:۲۳:۲۴,۱۴۰۱/۰۹/۰۵ ۱۴:۲۳:۲۴,/Reports/Decision.aspx?LetterSerial=2tYy9ohGenKqOKJwJaWUEg%3d%3d&rt=0&let=58&ct=0&ft=-1
955772,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۰۵ ۰۹:۵۵:۳۵,۱۴۰۱/۰۹/۰۵ ۰۹:۵۵:۳۵,/Reports/Decision.aspx?LetterSerial=Y8I4sxBsaMk7vHiGNS%2bFfQ%3d%3d&rt=0&let=58&ct=0&ft=-1
949272,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۴ ۱۴:۰۳:۴۳,۱۴۰۱/۰۸/۰۴ ۱۴:۰۳:۴۳,/Reports/Decision.aspx?LetterSerial=y4u0S8Y%2bcB32MODdbOByjQ%3d%3d&rt=0&let=58&ct=0&ft=-1
948247,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۲۸ ۱۹:۵۷:۱۸,۱۴۰۱/۰۷/۲۸ ۱۹:۵۷:۱۸,/Reports/Decision.aspx?LetterSerial=N7DqxxGAMGefJ%2b0KTYsRbQ%3d%3d&rt=0&let=58&ct=0&ft=-1
948174,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۲۸ ۱۹:۱۲:۴۶,۱۴۰۱/۰۷/۲۸ ۱۹:۱۲:۴۶,/Reports/Decision.aspx?LetterSerial=4JZ8BUcdqv6aX9SdpU6sgw%3d%3d&rt=0&let=58&ct=0&ft=-1
935895,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۴ ۱۵:۳۵:۴۹,۱۴۰۱/۰۷/۰۴ ۱۵:۳۵:۴۹,/Reports/Decision.aspx?LetterSerial=RzryQoN6O1d0QJHDq9ed0g%3d%3d&rt=0&let=58&ct=0&ft=-1
930289,خاذین,طراحی وساخت قطعات داخلی خودرو سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۵ ۱۱:۲۶:۱۹,۱۴۰۱/۰۶/۰۵ ۱۱:۲۶:۱۹,/Reports/Decision.aspx?LetterSerial=R0QhOyyMA5pU1V3bYDUAEA%3d%3d&rt=0&let=58&ct=0&ft=-1
915321,خاذین,سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۴/۲۹ ۱۵:۳۸:۳۶,۱۴۰۱/۰۴/۲۹ ۱۵:۳۸:۳۶,/Reports/Decision.aspx?LetterSerial=tnS9PvaptLdM2UducOBzBQ%3d%3d&rt=0&let=58&ct=0&ft=-1
914902,خاذین,سایپا آذین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۲۹ ۱۳:۳۴:۳۸,۱۴۰۱/۰۴/۲۹ ۱۳:۳۴:۳۸,/Reports/Decision.aspx?LetterSerial=4MFcOMvGatYSj4b%2b6yFwzA%3d%3d&rt=0&let=58&ct=0&ft=-1
