TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074836,ختراک,ریخته گری تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۰۸:۲۷:۱۰,۱۴۰۲/۰۶/۰۵ ۰۸:۲۷:۱۰,/Reports/Decision.aspx?LetterSerial=ngv3%2bAoCEd%2b6Ek3sOYJAWQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1064686,ختراک,ریخته گری تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۷:۱۲:۵۸,۱۴۰۲/۰۵/۰۴ ۱۷:۱۲:۵۸,/Reports/Decision.aspx?LetterSerial=UiVrCw1pSTyvJb6T2E8QpQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1059268,ختراک,ریخته گری تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۸ ۱۸:۱۹:۰۲,۱۴۰۲/۰۴/۲۸ ۱۸:۱۹:۰۲,/Reports/Decision.aspx?LetterSerial=Q3tDF3dQcuQQQaQQQmiUIrbCLGfA%3d%3d&rt=0&let=58&ct=0&ft=-1
1044841,ختراک,ریخته گری تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۵:۱۶:۳۹,۱۴۰۲/۰۴/۰۴ ۱۵:۱۶:۳۹,/Reports/Decision.aspx?LetterSerial=j6wi4KecJStM2qBA1EzqFA%3d%3d&rt=0&let=58&ct=0&ft=-1
1030287,ختراک,ریخته گری تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۷:۵۱:۰۷,۱۴۰۲/۰۳/۰۳ ۱۷:۵۱:۰۷,/Reports/Decision.aspx?LetterSerial=RJ4aBhOzAp7FQThTqoGQQQaQQQSA%3d%3d&rt=0&let=58&ct=0&ft=-1
1017810,ختراک,ریخته گری تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۷ ۰۸:۴۹:۴۴,۱۴۰۲/۰۲/۰۷ ۰۸:۴۹:۴۴,/Reports/Decision.aspx?LetterSerial=nt7QQUDNTOvZAEQzle27Uw%3d%3d&rt=0&let=58&ct=0&ft=-1
1006559,ختراک,ریخته گری تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۰۹:۰۴:۳۶,۱۴۰۲/۰۱/۰۹ ۰۹:۰۴:۳۶,/Reports/Decision.aspx?LetterSerial=jlU8oufuIGvtjYQQQaQQQdyJh4FA%3d%3d&rt=0&let=58&ct=0&ft=-1
995881,ختراک,ریخته گری تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۱:۵۰:۲۲,۱۴۰۱/۱۲/۰۴ ۱۱:۵۰:۲۲,/Reports/Decision.aspx?LetterSerial=TUV%2b7bXsd2j78kd5aVFotQ%3d%3d&rt=0&let=58&ct=0&ft=-1
986443,ختراک,ریخته گری تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۰۹:۰۶:۰۱,۱۴۰۱/۱۱/۰۵ ۰۹:۰۶:۰۱,/Reports/Decision.aspx?LetterSerial=iEySQAPmEkJOXAsPzurpeQ%3d%3d&rt=0&let=58&ct=0&ft=-1
982755,ختراک,ریخته گری تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۸ ۱۸:۰۴:۱۵,۱۴۰۱/۱۰/۲۸ ۱۸:۰۴:۱۵,/Reports/Decision.aspx?LetterSerial=GzYoZwao1vZHVAb9cjgfFw%3d%3d&rt=0&let=58&ct=0&ft=-1
974824,ختراک,ریخته گری تراکتور سازی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۲:۰۷:۵۹,۱۴۰۱/۱۰/۰۵ ۱۲:۰۷:۵۹,/Reports/Decision.aspx?LetterSerial=TLwFe1CsdmGu9AHylWelQA%3d%3d&rt=0&let=58&ct=0&ft=-1
