TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1072606,خریخت,صنایع ریخته گری ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۵/۳۰ ۱۲:۴۸:۵۷,۱۴۰۲/۰۵/۳۰ ۱۲:۴۸:۵۷,/Reports/Decision.aspx?LetterSerial=0WHDKIS37P2ISfvsRZsPbw%3d%3d&rt=0&let=58&ct=0&ft=-1
1064244,خریخت,صنایع ریخته گری ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۴:۲۹:۵۹,۱۴۰۲/۰۵/۰۴ ۱۴:۲۹:۵۹,/Reports/Decision.aspx?LetterSerial=eDL6JJm5Tz3aVFQQQaQQQL8Ha2MA%3d%3d&rt=0&let=58&ct=0&ft=-1
1060299,خریخت,صنایع ریخته گری ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۹ ۱۴:۴۶:۱۷,۱۴۰۲/۰۴/۲۹ ۱۴:۴۶:۱۷,/Reports/Decision.aspx?LetterSerial=QQQaQQQE338wwhp0IutywX5zjIag%3d%3d&rt=0&let=58&ct=0&ft=-1
1044670,خریخت,صنایع ریخته گری ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۳:۵۰:۱۰,۱۴۰۲/۰۴/۰۴ ۱۳:۵۰:۱۰,/Reports/Decision.aspx?LetterSerial=6ZjkhVNS%2bOVoklWFwkcKyQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1030442,خریخت,صنایع ریخته گری ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۰۹:۵۹:۱۴,۱۴۰۲/۰۳/۰۴ ۰۹:۵۹:۱۴,/Reports/Decision.aspx?LetterSerial=NDjYuvRNKoQQQaQQQQQQaQQQS%2bpvZ4N7QQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1027202,خریخت,صنایع ریخته گری ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۸ ۱۲:۱۸:۱۰,۱۴۰۲/۰۲/۲۸ ۱۲:۱۸:۱۰,/Reports/Decision.aspx?LetterSerial=E3yp7xE4PtjZhJ3uKdcMBQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1016186,خریخت,صنایع ریخته گری ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۴ ۱۵:۵۶:۰۵,۱۴۰۲/۰۲/۰۴ ۱۵:۵۶:۰۵,/Reports/Decision.aspx?LetterSerial=%2bNQQQaQQQbtAvtjp2Lk%2bXE9KdqbQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1004910,خریخت,صنایع ریخته گری ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۵ ۱۲:۴۷:۱۴,۱۴۰۱/۱۲/۲۵ ۱۲:۴۷:۱۴,/Reports/Decision.aspx?LetterSerial=Lew3an6vy63xv5189hFs2w%3d%3d&rt=0&let=58&ct=0&ft=-1
995351,خریخت,صنایع ریخته گری ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۰:۱۹:۲۲,۱۴۰۱/۱۲/۰۳ ۱۰:۱۹:۲۲,/Reports/Decision.aspx?LetterSerial=DAgaMYi5vH8iAStzIzccMg%3d%3d&rt=0&let=58&ct=0&ft=-1
986672,خریخت,صنایع ریخته گری ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۰:۴۷:۲۱,۱۴۰۱/۱۱/۰۴ ۱۰:۴۷:۲۱,/Reports/Decision.aspx?LetterSerial=KrE428RSjbzI5LP0ARe0Zw%3d%3d&rt=0&let=58&ct=0&ft=-1
