TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074688,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۱:۵۸:۳۲,۱۴۰۲/۰۶/۰۵ ۱۱:۵۸:۳۲,/Reports/Decision.aspx?LetterSerial=6dDqRzsf5rAIiAUjkyqZkw%3d%3d&rt=0&let=58&ct=0&ft=-1
1062544,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۵:۴۵:۲۵,۱۴۰۲/۰۵/۰۷ ۱۵:۴۵:۲۵,/Reports/Decision.aspx?LetterSerial=CHqrtQDMTYIuYruSf5YQQQaQQQSw%3d%3d&rt=0&let=58&ct=0&ft=-1
1060113,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۹ ۲۳:۰۳:۲۱,۱۴۰۲/۰۴/۲۹ ۲۳:۰۳:۲۱,/Reports/Decision.aspx?LetterSerial=mrxUlFQQQaQQQG4LGN9lN1BSHlXg%3d%3d&rt=0&let=58&ct=0&ft=-1
1045073,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۸:۲۲:۳۷,۱۴۰۲/۰۴/۰۷ ۱۸:۲۲:۳۷,/Reports/Decision.aspx?LetterSerial=hA4cDJWwQQQaQQQR5DFsuvnr2EnQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1030056,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۸:۲۶:۵۳,۱۴۰۲/۰۳/۰۶ ۱۸:۲۶:۵۳,/Reports/Decision.aspx?LetterSerial=egALA02uLc5fTjpPNeWaVQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1027227,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۹ ۱۷:۲۵:۱۰,۱۴۰۲/۰۲/۲۹ ۱۷:۲۵:۱۰,/Reports/Decision.aspx?LetterSerial=7zsthX3%2bBB619cQoye6B2g%3d%3d&rt=0&let=58&ct=0&ft=-1
1015803,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۷ ۱۵:۳۸:۵۳,۱۴۰۲/۰۲/۰۷ ۱۵:۳۸:۵۳,/Reports/Decision.aspx?LetterSerial=ef73R1ZGmrDr0Tcf66KFHA%3d%3d&rt=0&let=58&ct=0&ft=-1
1006783,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۳:۱۴:۵۷,۱۴۰۲/۰۱/۰۷ ۱۳:۱۴:۵۷,/Reports/Decision.aspx?LetterSerial=AjuihiuVQuoILjop10t%2bYQ%3d%3d&rt=0&let=58&ct=0&ft=-1
996380,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۵:۲۹:۲۳,۱۴۰۱/۱۲/۰۴ ۱۵:۲۹:۲۳,/Reports/Decision.aspx?LetterSerial=SfiL3e9VOS7gnbY5o99MQg%3d%3d&rt=0&let=58&ct=0&ft=-1
986607,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۴:۳۸:۰۷,۱۴۰۱/۱۱/۰۴ ۱۴:۳۸:۰۷,/Reports/Decision.aspx?LetterSerial=%2bSKXoBRDBKsagHOHk24XGQ%3d%3d&rt=0&let=58&ct=0&ft=-1
984313,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۹ ۲۳:۲۵:۱۶,۱۴۰۱/۱۰/۲۹ ۲۳:۲۵:۱۶,/Reports/Decision.aspx?LetterSerial=VX1SRO26sn099GqLp8SrPw%3d%3d&rt=0&let=58&ct=0&ft=-1
973656,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۹:۴۳:۲۰,۱۴۰۱/۱۰/۰۵ ۱۹:۴۳:۲۰,/Reports/Decision.aspx?LetterSerial=rH2flcLkppNlsDg7vNQQQaQQQC7g%3d%3d&rt=0&let=58&ct=0&ft=-1
966347,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۱۳ ۱۷:۲۸:۴۷,۱۴۰۱/۰۹/۱۳ ۱۷:۲۸:۴۷,/Reports/Decision.aspx?LetterSerial=5h2dSQ4qdjJKiCUORi9Z3w%3d%3d&rt=0&let=58&ct=0&ft=-1
962081,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۷:۴۸:۳۳,۱۴۰۱/۰۹/۰۵ ۱۷:۴۸:۳۳,/Reports/Decision.aspx?LetterSerial=VfinDJYdbMOj7xpTdX4iQg%3d%3d&rt=0&let=58&ct=0&ft=-1
950221,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۴ ۱۴:۴۲:۳۹,۱۴۰۱/۰۸/۰۴ ۱۴:۴۲:۳۹,/Reports/Decision.aspx?LetterSerial=YZ6wbz0co8y1y%2bcHs6WIaw%3d%3d&rt=0&let=58&ct=0&ft=-1
948574,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۳۰ ۱۲:۲۲:۲۶,۱۴۰۱/۰۷/۳۰ ۱۲:۲۲:۲۶,/Reports/Decision.aspx?LetterSerial=CEoVbULv3iqwKZ2XvG2c7g%3d%3d&rt=0&let=58&ct=0&ft=-1
948223,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۲۹ ۱۳:۵۶:۲۸,۱۴۰۱/۰۷/۲۹ ۱۳:۵۶:۲۸,/Reports/Decision.aspx?LetterSerial=yTKsrQ%2bTadk5zsSUpA1Khw%3d%3d&rt=0&let=58&ct=0&ft=-1
941030,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۵ ۰۸:۱۶:۳۰,۱۴۰۱/۰۷/۰۵ ۰۸:۱۶:۳۰,/Reports/Decision.aspx?LetterSerial=dvCQQQaQQQ7a17jRVITMAS7pYB%2bA%3d%3d&rt=0&let=58&ct=0&ft=-1
930105,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۵ ۱۱:۴۶:۴۳,۱۴۰۱/۰۶/۰۵ ۱۱:۴۶:۴۳,/Reports/Decision.aspx?LetterSerial=9JjBMT9dQQQaQQQPt1azlap9EkDg%3d%3d&rt=0&let=58&ct=0&ft=-1
916776,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۳ ۱۳:۳۹:۵۸,۱۴۰۱/۰۵/۰۳ ۱۳:۳۹:۵۸,/Reports/Decision.aspx?LetterSerial=yE50w9flUHXXSkpaQmjiNg%3d%3d&rt=0&let=58&ct=0&ft=-1
916078,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۳۰ ۱۲:۵۰:۳۲,۱۴۰۱/۰۴/۳۰ ۱۲:۵۰:۳۲,/Reports/Decision.aspx?LetterSerial=QWmLyVH3czC3RNWiNoaiWw%3d%3d&rt=0&let=58&ct=0&ft=-1
916038,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۳۰ ۱۱:۴۷:۰۳,۱۴۰۱/۰۴/۳۰ ۱۱:۴۷:۰۳,/Reports/Decision.aspx?LetterSerial=McecOBp7r69Te0bSI8LHRg%3d%3d&rt=0&let=58&ct=0&ft=-1
916002,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۳۰ ۱۱:۱۹:۵۰,۱۴۰۱/۰۴/۳۰ ۱۱:۱۹:۵۰,/Reports/Decision.aspx?LetterSerial=nVOEq8JIb%2bXPo1gHQQQaQQQXrtqA%3d%3d&rt=0&let=58&ct=0&ft=-1
904046,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۰۸ ۱۱:۵۵:۳۱,۱۴۰۱/۰۴/۰۸ ۱۱:۵۵:۳۱,/Reports/Decision.aspx?LetterSerial=LFnxPq7UbTIzYvh2VE7xZg%3d%3d&rt=0&let=58&ct=0&ft=-1
901527,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۵ ۱۰:۱۴:۴۰,۱۴۰۱/۰۴/۰۵ ۱۰:۱۴:۴۰,/Reports/Decision.aspx?LetterSerial=7GXs3%2bWM8YghvDm%2bz0SJxg%3d%3d&rt=0&let=58&ct=0&ft=-1
888360,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۳/۰۷ ۰۹:۵۳:۵۴,۱۴۰۱/۰۳/۰۷ ۰۹:۵۳:۵۴,/Reports/Decision.aspx?LetterSerial=wgK8X1Dueb0SVU6J299rng%3d%3d&rt=0&let=58&ct=0&ft=-1
888270,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۳/۰۶ ۰۸:۰۴:۰۲,۱۴۰۱/۰۳/۰۶ ۰۸:۰۴:۰۲,/Reports/Decision.aspx?LetterSerial=jScjnjutw%2b4Dzk%2bRgFQdCQ%3d%3d&rt=0&let=58&ct=0&ft=-1
886277,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۳ ۱۴:۴۶:۵۲,۱۴۰۱/۰۳/۰۳ ۱۴:۴۶:۵۲,/Reports/Decision.aspx?LetterSerial=8hDH8WzsaSnQQQaQQQbQ36RCNVPg%3d%3d&rt=0&let=58&ct=0&ft=-1
875429,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۰۶ ۱۷:۳۹:۴۴,۱۴۰۱/۰۲/۰۶ ۱۷:۳۹:۴۴,/Reports/Decision.aspx?LetterSerial=cK7EZe962MCY3P9MkmIhkQ%3D%3D&rt=0&let=58&ct=0&ft=-1
864204,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۰۷ ۱۵:۰۵:۴۸,۱۴۰۱/۰۱/۰۷ ۱۵:۰۵:۴۸,/Reports/Decision.aspx?LetterSerial=%2B%2Bu575aMYw1uc4qT5kcl1Q%3D%3D&rt=0&let=58&ct=0&ft=-1
855995,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۳ ۱۶:۰۰:۵۷,۱۴۰۰/۱۲/۰۳ ۱۶:۰۰:۵۷,/Reports/Decision.aspx?LetterSerial=oiXmizFSdiOePP17dP1I3Q%3D%3D&rt=0&let=58&ct=0&ft=-1
848905,خزامیا,زامیاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۴۰۰/۱۱/۱۰ ۰۸:۴۷:۵۷,۱۴۰۰/۱۱/۱۰ ۰۸:۴۷:۵۷,/Reports/Decision.aspx?LetterSerial=YOSnr41p7xUXM9sXoxPT6w%3D%3D&rt=0&let=58&ct=0&ft=-1
