TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075541,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۸:۳۴:۲۳,۱۴۰۲/۰۶/۰۵ ۱۸:۳۴:۲۳,/Reports/Decision.aspx?LetterSerial=8D38MlLBwq19K3nwhJlMeg%3d%3d&rt=0&let=58&ct=0&ft=-1
1072639,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۲۹ ۱۳:۱۰:۳۲,۱۴۰۲/۰۵/۲۹ ۱۳:۱۰:۳۲,/Reports/Decision.aspx?LetterSerial=kMVDE%2b9Ix1bgWWDRfce2AQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1046529,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۹:۰۴:۲۴,۱۴۰۲/۰۴/۰۵ ۱۹:۰۴:۲۴,/Reports/Decision.aspx?LetterSerial=0c0Fc2sj97ppldf9LUW5pg%3d%3d&rt=0&let=58&ct=0&ft=-1
1041762,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۲۸ ۱۶:۱۳:۴۱,۱۴۰۲/۰۳/۲۸ ۱۶:۱۳:۴۱,/Reports/Decision.aspx?LetterSerial=AY7LigkpPptjdOD8OwF%2bZg%3d%3d&rt=0&let=58&ct=0&ft=-1
1031102,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۱۸:۱۴:۱۲,۱۴۰۲/۰۳/۰۴ ۱۸:۱۴:۱۲,/Reports/Decision.aspx?LetterSerial=Un9jkm84VeSaxFfpG6JjEA%3d%3d&rt=0&let=58&ct=0&ft=-1
1027250,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۸ ۱۳:۱۰:۰۵,۱۴۰۲/۰۲/۲۸ ۱۳:۱۰:۰۵,/Reports/Decision.aspx?LetterSerial=155RRvqhsOXQQQaQQQcIZhLhcObA%3d%3d&rt=0&let=58&ct=0&ft=-1
1018162,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۷ ۱۱:۱۱:۴۲,۱۴۰۲/۰۲/۰۷ ۱۱:۱۱:۴۲,/Reports/Decision.aspx?LetterSerial=2CQQQaQQQ%2bKH8nYwEqzjgQxWezBA%3d%3d&rt=0&let=58&ct=0&ft=-1
1006688,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۱/۰۶ ۱۲:۵۴:۵۶,۱۴۰۲/۰۱/۰۶ ۱۲:۵۴:۵۶,/Reports/Decision.aspx?LetterSerial=zLztS5y0trZ5TxoKAzZLqA%3d%3d&rt=0&let=58&ct=0&ft=-1
1006452,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۶ ۱۱:۱۴:۰۹,۱۴۰۲/۰۱/۰۶ ۱۱:۱۴:۰۹,/Reports/Decision.aspx?LetterSerial=RZ%2bLIhHsOixKLQf7zXhPXw%3d%3d&rt=0&let=58&ct=0&ft=-1
996524,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۴:۵۲:۴۰,۱۴۰۱/۱۲/۰۴ ۱۴:۵۲:۴۰,/Reports/Decision.aspx?LetterSerial=5i6Aw0bEYQQQaQQQOpSHozOMjmCw%3d%3d&rt=0&let=58&ct=0&ft=-1
986906,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۳:۵۳:۵۳,۱۴۰۱/۱۱/۰۴ ۱۳:۵۳:۵۳,/Reports/Decision.aspx?LetterSerial=J1aV3kW%2bQjiPUueW0QQQaQQQEwNg%3d%3d&rt=0&let=58&ct=0&ft=-1
975612,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۲۱:۳۹:۱۵,۱۴۰۱/۱۰/۰۵ ۲۱:۳۹:۱۵,/Reports/Decision.aspx?LetterSerial=Ib1U4vI7LdqRpbTAPaOWdw%3d%3d&rt=0&let=58&ct=0&ft=-1
963723,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۲۱:۰۶:۳۴,۱۴۰۱/۰۹/۰۵ ۲۱:۰۶:۳۴,/Reports/Decision.aspx?LetterSerial=GQQQaQQQMf0zCEEI7SQQQaQQQZmBWrxBSg%3d%3d&rt=0&let=58&ct=0&ft=-1
957253,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۲۳ ۱۹:۴۱:۲۹,۱۴۰۱/۰۸/۲۳ ۱۹:۴۱:۲۹,/Reports/Decision.aspx?LetterSerial=99sv8AjyFDkycK6iBodIGQ%3d%3d&rt=0&let=58&ct=0&ft=-1
951697,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۵ ۲۱:۰۷:۴۲,۱۴۰۱/۰۸/۰۵ ۲۱:۰۷:۴۲,/Reports/Decision.aspx?LetterSerial=ZIW1L6qVQQQaQQQFbhJLTkgWtEPA%3d%3d&rt=0&let=58&ct=0&ft=-1
948282,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۲۹ ۱۶:۲۹:۲۹,۱۴۰۱/۰۷/۲۹ ۱۶:۲۹:۲۹,/Reports/Decision.aspx?LetterSerial=ODtlQ8zYiyWYycFc2Iow4Q%3d%3d&rt=0&let=58&ct=0&ft=-1
948281,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۲۹ ۱۶:۰۴:۲۹,۱۴۰۱/۰۷/۲۹ ۱۶:۰۴:۲۹,/Reports/Decision.aspx?LetterSerial=fBL6ypQkVMTzUgFdkNV8Fg%3d%3d&rt=0&let=58&ct=0&ft=-1
948277,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۲۹ ۱۵:۳۳:۲۶,۱۴۰۱/۰۷/۲۹ ۱۵:۳۳:۲۶,/Reports/Decision.aspx?LetterSerial=78wI10wJnGABDCqlxudBkg%3d%3d&rt=0&let=58&ct=0&ft=-1
942115,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۷ ۱۳:۳۴:۳۰,۱۴۰۱/۰۷/۰۷ ۱۳:۳۴:۳۰,/Reports/Decision.aspx?LetterSerial=sgq5tbnhUSI86NiQWsMrkA%3d%3d&rt=0&let=58&ct=0&ft=-1
930185,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۳ ۱۴:۲۴:۱۷,۱۴۰۱/۰۶/۰۳ ۱۴:۲۴:۱۷,/Reports/Decision.aspx?LetterSerial=t9KkytMuo9YLECoQFIErKw%3d%3d&rt=0&let=58&ct=0&ft=-1
917427,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۲ ۱۲:۳۸:۵۳,۱۴۰۱/۰۵/۰۲ ۱۲:۳۸:۵۳,/Reports/Decision.aspx?LetterSerial=XJwRueSQQQaQQQchIWMlv0fF4U9w%3d%3d&rt=0&let=58&ct=0&ft=-1
902381,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۵ ۱۶:۰۴:۳۵,۱۴۰۱/۰۴/۰۵ ۱۶:۰۴:۳۵,/Reports/Decision.aspx?LetterSerial=DL9N6G7N7VpwTQQQaQQQulgYtRPQ%3d%3d&rt=0&let=58&ct=0&ft=-1
897724,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۳/۲۸ ۰۸:۱۱:۳۵,۱۴۰۱/۰۳/۲۸ ۰۸:۱۱:۳۵,/Reports/Decision.aspx?LetterSerial=HhpQJeWpXyG%2bXNx26%2b9mRQ%3d%3d&rt=0&let=58&ct=0&ft=-1
887261,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۷ ۱۲:۳۴:۲۸,۱۴۰۱/۰۳/۰۷ ۱۲:۳۴:۲۸,/Reports/Decision.aspx?LetterSerial=aFzeSMJ3hUKFLsnrmA27lA%3d%3d&rt=0&let=58&ct=0&ft=-1
879814,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۲/۲۰ ۱۸:۳۱:۰۲,۱۴۰۱/۰۲/۲۰ ۱۸:۳۱:۰۲,/Reports/Decision.aspx?LetterSerial=mRpA8qBb8tWqhMs8HDMcPg%3D%3D&rt=0&let=58&ct=0&ft=-1
878406,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۲/۱۹ ۱۹:۳۸:۱۳,۱۴۰۱/۰۲/۱۹ ۱۹:۳۸:۱۳,/Reports/Decision.aspx?LetterSerial=%2BWRrtQQQaQQQv5IKsqfdwa7AkUsQ%3D%3D&rt=0&let=58&ct=0&ft=-1
874251,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۰۵ ۱۴:۰۹:۰۳,۱۴۰۱/۰۲/۰۵ ۱۴:۰۹:۰۳,/Reports/Decision.aspx?LetterSerial=FomQQQQaQQQBqyxSPfwMPdbR0A3Q%3D%3D&rt=0&let=58&ct=0&ft=-1
864364,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۰۶ ۱۲:۳۵:۱۸,۱۴۰۱/۰۱/۰۶ ۱۲:۳۵:۱۸,/Reports/Decision.aspx?LetterSerial=YSOYwS2Yyi6GaIQQQaQQQph6QAcA%3D%3D&rt=0&let=58&ct=0&ft=-1
857104,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۵ ۱۰:۲۴:۵۲,۱۴۰۰/۱۲/۰۵ ۱۰:۲۴:۵۲,/Reports/Decision.aspx?LetterSerial=esjTgjAsa8wC2FxbB24FdA%3D%3D&rt=0&let=58&ct=0&ft=-1
857069,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۴۰۰/۱۲/۰۵ ۱۰:۰۴:۵۹,۱۴۰۰/۱۲/۰۵ ۱۰:۰۴:۵۹,/Reports/Decision.aspx?LetterSerial=EtQsRkBPH0c9eoQ6MmCp0Q%3D%3D&rt=0&let=58&ct=0&ft=-1
848583,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۶ ۱۱:۵۳:۲۱,۱۴۰۰/۱۱/۰۶ ۱۱:۵۳:۲۱,/Reports/Decision.aspx?LetterSerial=cf838QQQaQQQQSK0LuPyLqA5KtHA%3D%3D&rt=0&let=58&ct=0&ft=-1
844882,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۰/۱۰/۳۰ ۲۱:۲۱:۵۲,۱۴۰۰/۱۰/۳۰ ۲۱:۲۱:۵۲,/Reports/Decision.aspx?LetterSerial=uhQTIqpCTGJ%2BamsfIvrNMw%3D%3D&rt=0&let=58&ct=0&ft=-1
835718,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۰,۱۴۰۰/۱۰/۰۵ ۲۱:۴۱:۵۵,۱۴۰۰/۱۰/۰۵ ۲۱:۴۱:۵۵,/Reports/Decision.aspx?LetterSerial=qC0E9dipOXfPnh6mla345Q%3D%3D&rt=0&let=58&ct=0&ft=-1
831877,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۰/۰۹/۲۴ ۲۱:۴۳:۵۵,۱۴۰۰/۰۹/۲۴ ۲۱:۴۳:۵۵,/Reports/Decision.aspx?LetterSerial=mdTl0eTDSR4QQQaQQQZb0XMFoC9Q%3D%3D&rt=0&let=58&ct=0&ft=-1
823330,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۰,۱۴۰۰/۰۹/۰۶ ۱۸:۲۲:۱۸,۱۴۰۰/۰۹/۰۶ ۱۸:۲۲:۱۸,/Reports/Decision.aspx?LetterSerial=N84N6nrOMAoO9GcFT0CCdw%3D%3D&rt=0&let=58&ct=0&ft=-1
818587,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۰/۰۸/۳۰ ۰۸:۴۸:۵۸,۱۴۰۰/۰۸/۳۰ ۰۸:۴۸:۵۸,/Reports/Decision.aspx?LetterSerial=BNiprfCQQQaQQQoH9QEQtRpeNMxg%3D%3D&rt=0&let=58&ct=0&ft=-1
810472,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۰,۱۴۰۰/۰۸/۰۵ ۱۴:۱۲:۰۴,۱۴۰۰/۰۸/۰۵ ۱۴:۱۲:۰۴,/Reports/Decision.aspx?LetterSerial=vwglXHQQQaQQQKovXDgzcGIQQQaQQQdVsg%3D%3D&rt=0&let=58&ct=0&ft=-1
801239,خمحور,تولید محور خودرو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۰,۱۴۰۰/۰۷/۰۷ ۲۰:۲۱:۴۷,۱۴۰۰/۰۷/۰۷ ۲۰:۲۱:۴۷,/Reports/Decision.aspx?LetterSerial=7IpcG4uQQQaQQQQxJtxSvrGnks2w%3D%3D&rt=0&let=58&ct=0&ft=-1
