TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075705,خنصیر,مهندسی نصیر ماشین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۵:۱۶:۳۸,۱۴۰۲/۰۶/۰۵ ۱۵:۱۶:۳۸,/Reports/Decision.aspx?LetterSerial=pcOZvl7EZOgukj%2baZMQQQaQQQ1qw%3d%3d&rt=0&let=58&ct=0&ft=-1
1063742,خنصیر,مهندسی نصیر ماشین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۶:۵۷:۳۱,۱۴۰۲/۰۵/۰۳ ۱۶:۵۷:۳۱,/Reports/Decision.aspx?LetterSerial=Nc3fbt1w0gLpncyvFj9zlQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1046491,خنصیر,مهندسی نصیر ماشین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۰۵ ۲۰:۱۸:۲۶,۱۴۰۲/۰۴/۰۵ ۲۰:۱۸:۲۶,/Reports/Decision.aspx?LetterSerial=3qC7YazgYD1CS9gb1Ito8w%3d%3d&rt=0&let=58&ct=0&ft=-1
1045042,خنصیر,مهندسی نصیر ماشین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۶:۲۱:۵۰,۱۴۰۲/۰۴/۰۵ ۱۶:۲۱:۵۰,/Reports/Decision.aspx?LetterSerial=0lwQ8WwqriHBwI0ae29ZzQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1031021,خنصیر,مهندسی نصیر ماشین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۱۴:۳۹:۰۸,۱۴۰۲/۰۳/۰۴ ۱۴:۳۹:۰۸,/Reports/Decision.aspx?LetterSerial=NdRNHQv4uXz2rmpdtMK8vQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1017499,خنصیر,مهندسی نصیر ماشین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۱:۴۷:۰۲,۱۴۰۲/۰۲/۰۶ ۱۱:۴۷:۰۲,/Reports/Decision.aspx?LetterSerial=uJmv9yDHYbqBkAQQQaQQQkfsC3JA%3d%3d&rt=0&let=58&ct=0&ft=-1
1016589,خنصیر,مهندسی نصیر ماشین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۴:۰۰:۴۳,۱۴۰۲/۰۲/۰۵ ۱۴:۰۰:۴۳,/Reports/Decision.aspx?LetterSerial=3Vd04X69GlcQbK4DkhlWiQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1005282,خنصیر,مهندسی نصیر ماشین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۷ ۱۳:۱۷:۲۳,۱۴۰۱/۱۲/۲۷ ۱۳:۱۷:۲۳,/Reports/Decision.aspx?LetterSerial=xiDn6tULkGrpb0ylndry4g%3d%3d&rt=0&let=58&ct=0&ft=-1
996491,خنصیر,مهندسی نصیر ماشین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۳:۲۳:۲۰,۱۴۰۱/۱۲/۰۴ ۱۳:۲۳:۲۰,/Reports/Decision.aspx?LetterSerial=b1rHUpBW27%2bFd6lgHQHrkw%3d%3d&rt=0&let=58&ct=0&ft=-1
986477,خنصیر,مهندسی نصیر ماشین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۰:۳۴:۵۴,۱۴۰۱/۱۱/۰۴ ۱۰:۳۴:۵۴,/Reports/Decision.aspx?LetterSerial=67yQQQaQQQbU78VhJsCFLIMSD9BQ%3d%3d&rt=0&let=58&ct=0&ft=-1
975394,خنصیر,مهندسی نصیر ماشین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۶:۰۷:۲۵,۱۴۰۱/۱۰/۰۵ ۱۶:۰۷:۲۵,/Reports/Decision.aspx?LetterSerial=lhx6bz6uRepnIwjMyy8rxA%3d%3d&rt=0&let=58&ct=0&ft=-1
962175,خنصیر,مهندسی نصیر ماشین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۰:۲۴:۳۰,۱۴۰۱/۰۹/۰۵ ۱۰:۲۴:۳۰,/Reports/Decision.aspx?LetterSerial=LNRc4x4ZuV%2bD90nJwDXWaA%3d%3d&rt=0&let=58&ct=0&ft=-1
951131,خنصیر,مهندسی نصیر ماشین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۴ ۱۵:۱۳:۲۹,۱۴۰۱/۰۸/۰۴ ۱۵:۱۳:۲۹,/Reports/Decision.aspx?LetterSerial=F5wh52603a8cMn0sdQw8YQ%3d%3d&rt=0&let=58&ct=0&ft=-1
