TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075515,خودکفا,اقتصادی و خودکفائی آزادگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۵ ۱۶:۱۵:۰۳,۱۴۰۲/۰۶/۰۵ ۱۶:۱۵:۰۳,/Reports/Decision.aspx?LetterSerial=OH5c1dQQQaQQQlbbi7IwWspj67qQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1063722,خودکفا,اقتصادی و خودکفائی آزادگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۳ ۱۴:۰۹:۱۹,۱۴۰۲/۰۵/۰۳ ۱۴:۰۹:۱۹,/Reports/Decision.aspx?LetterSerial=6%2bzfIG0gXY8NHqf2lGaa0w%3d%3d&rt=2&let=8&ct=0&ft=-1
1040738,خودکفا,اقتصادی و خودکفائی آزادگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۵ ۱۲:۴۷:۵۰,۱۴۰۲/۰۴/۰۵ ۱۲:۴۷:۵۰,/Reports/Decision.aspx?LetterSerial=u8URJIJLQYqhUUS3YlVaww%3d%3d&rt=2&let=8&ct=0&ft=-1
1029965,خودکفا,اقتصادی و خودکفائی آزادگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۲ ۱۷:۰۲:۴۹,۱۴۰۲/۰۳/۰۲ ۱۷:۰۲:۴۹,/Reports/Decision.aspx?LetterSerial=q3DdfzVn4u3lkdF22AKEVg%3d%3d&rt=2&let=8&ct=0&ft=-1
1016889,خودکفا,اقتصادی و خودکفائی آزادگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۵ ۱۶:۵۴:۵۷,۱۴۰۲/۰۲/۰۵ ۱۶:۵۴:۵۷,/Reports/Decision.aspx?LetterSerial=ntHkKxqBJt5t3PRLVFk1hw%3d%3d&rt=2&let=8&ct=0&ft=-1
1009818,خودکفا,اقتصادی و خودکفائی آزادگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۱,۱۴۰۲/۰۱/۱۴ ۱۷:۱۵:۵۹,۱۴۰۲/۰۱/۱۴ ۱۷:۱۵:۵۹,/Reports/Decision.aspx?LetterSerial=GyUQ1voWofTabl4FyYX1YA%3d%3d&rt=2&let=8&ct=0&ft=-1
1004028,خودکفا,اقتصادی و خودکفائی آزادگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۱ ۱۷:۵۳:۱۸,۱۴۰۲/۰۱/۰۱ ۱۷:۵۳:۱۸,/Reports/Decision.aspx?LetterSerial=lutDX2SV7ZOgQQQaQQQONqBNaIGQ%3d%3d&rt=2&let=8&ct=0&ft=-1
995856,خودکفا,اقتصادی و خودکفائی آزادگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۳ ۱۴:۲۵:۰۱,۱۴۰۱/۱۲/۰۳ ۱۴:۲۵:۰۱,/Reports/Decision.aspx?LetterSerial=bEPu8qK2ddR5zal99NWAyA%3d%3d&rt=2&let=8&ct=0&ft=-1
985130,خودکفا,اقتصادی و خودکفائی آزادگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰(اصلاحیه),ن-۳۱,۱۴۰۱/۱۱/۰۲ ۱۷:۴۱:۵۳,۱۴۰۱/۱۱/۰۲ ۱۷:۴۱:۵۳,/Reports/Decision.aspx?LetterSerial=2wv1Bi0apwb%2b3LdxngYTcg%3d%3d&rt=2&let=8&ct=0&ft=-1
974208,خودکفا,اقتصادی و خودکفائی آزادگان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۴ ۱۴:۴۹:۱۳,۱۴۰۱/۱۰/۰۴ ۱۴:۴۹:۱۳,/Reports/Decision.aspx?LetterSerial=EmuWXmGQAVUF8PyCPnk%2bDw%3d%3d&rt=2&let=8&ct=0&ft=-1
