TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075522,داسوه,داروسازی اسوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۶:۲۸:۱۲,۱۴۰۲/۰۶/۰۷ ۱۶:۲۸:۱۲,/Reports/Decision.aspx?LetterSerial=CAaD2G8tz0wl2Nak477Lgg%3d%3d&rt=0&let=58&ct=0&ft=-1
1069346,داسوه,داروسازی اسوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۱۸ ۱۴:۲۰:۴۴,۱۴۰۲/۰۵/۱۸ ۱۴:۲۰:۴۴,/Reports/Decision.aspx?LetterSerial=VFvF2N42MHVTPycQixBMAQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1069164,داسوه,داروسازی اسوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۱۸ ۱۰:۴۲:۴۷,۱۴۰۲/۰۵/۱۸ ۱۰:۴۲:۴۷,/Reports/Decision.aspx?LetterSerial=BEX5cPQQQaQQQ%2bUVVezEVNCbEjsw%3d%3d&rt=0&let=58&ct=0&ft=-1
1064083,داسوه,داروسازی اسوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۳:۳۳:۳۱,۱۴۰۲/۰۵/۰۴ ۱۳:۳۳:۳۱,/Reports/Decision.aspx?LetterSerial=90S7rJ2TQrl80gjwgJS1Pw%3d%3d&rt=0&let=58&ct=0&ft=-1
1056065,داسوه,داروسازی اسوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۲ ۱۴:۰۰:۳۲,۱۴۰۲/۰۴/۲۲ ۱۴:۰۰:۳۲,/Reports/Decision.aspx?LetterSerial=uzOlp7xQQBudaN5kHOr0Zw%3d%3d&rt=0&let=58&ct=0&ft=-1
1045457,داسوه,داروسازی اسوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۳:۲۴:۲۳,۱۴۰۲/۰۴/۰۶ ۱۳:۲۴:۲۳,/Reports/Decision.aspx?LetterSerial=Wah22QRzrGQQQaQQQfJSyRSW3t6A%3d%3d&rt=0&let=58&ct=0&ft=-1
1031039,داسوه,داروسازی اسوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۶:۰۹:۲۶,۱۴۰۲/۰۳/۰۶ ۱۶:۰۹:۲۶,/Reports/Decision.aspx?LetterSerial=v9ScR3G6e5VQQQaQQQ8SySg3iz8g%3d%3d&rt=0&let=58&ct=0&ft=-1
1023693,داسوه,داروسازی اسوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۰ ۱۱:۴۵:۰۰,۱۴۰۲/۰۲/۲۰ ۱۱:۴۵:۰۰,/Reports/Decision.aspx?LetterSerial=RnoSt7mSL%2bBva97mo1cFtQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1018450,داسوه,داروسازی اسوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۹ ۱۱:۱۶:۰۳,۱۴۰۲/۰۲/۰۹ ۱۱:۱۶:۰۳,/Reports/Decision.aspx?LetterSerial=MRTk4Op5SctuKyGs8L6V6A%3d%3d&rt=0&let=58&ct=0&ft=-1
1008595,داسوه,داروسازی اسوه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۳:۱۲:۱۷,۱۴۰۲/۰۱/۰۸ ۱۳:۱۲:۱۷,/Reports/Decision.aspx?LetterSerial=q3SUjn0Y3VOg0ZjqNvPHdQ%3d%3d&rt=0&let=58&ct=0&ft=-1
