TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075332,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۰:۳۶:۵۵,۱۴۰۲/۰۶/۰۵ ۱۰:۳۶:۵۵,/Reports/Decision.aspx?LetterSerial=AMhhSsDhKRt9bYkmsB482g%3d%3d&rt=0&let=58&ct=0&ft=-1
1064354,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۴:۳۳:۵۰,۱۴۰۲/۰۵/۰۴ ۱۴:۳۳:۵۰,/Reports/Decision.aspx?LetterSerial=epiAPbXpTjkS03JFFJvo1w%3d%3d&rt=0&let=58&ct=0&ft=-1
1056101,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۶ ۱۳:۲۳:۱۰,۱۴۰۲/۰۴/۲۶ ۱۳:۲۳:۱۰,/Reports/Decision.aspx?LetterSerial=eHt9lHmmoqUir6d9wYFtow%3d%3d&rt=0&let=58&ct=0&ft=-1
1047177,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۰۸ ۱۴:۱۳:۳۳,۱۴۰۲/۰۴/۰۸ ۱۴:۱۳:۳۳,/Reports/Decision.aspx?LetterSerial=FeQ7UaoWCcrc0EUkgawHyw%3d%3d&rt=0&let=58&ct=0&ft=-1
1045976,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۰:۳۳:۱۴,۱۴۰۲/۰۴/۰۵ ۱۰:۳۳:۱۴,/Reports/Decision.aspx?LetterSerial=yfSeLPQMQQQaQQQrQgDQQQaQQQrQdrIQAQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1039500,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۲۴ ۱۶:۲۰:۳۱,۱۴۰۲/۰۳/۲۴ ۱۶:۲۰:۳۱,/Reports/Decision.aspx?LetterSerial=y7E9cTqVko8YjpAkNQrSjQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1031009,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۰۸:۳۳:۴۸,۱۴۰۲/۰۳/۰۶ ۰۸:۳۳:۴۸,/Reports/Decision.aspx?LetterSerial=9OhvVYWhh19iJi8Z2O8xow%3d%3d&rt=0&let=58&ct=0&ft=-1
1018153,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۷ ۱۰:۴۵:۱۵,۱۴۰۲/۰۲/۰۷ ۱۰:۴۵:۱۵,/Reports/Decision.aspx?LetterSerial=lJp1PrXQQQaQQQP8QQQaQQQAljxB83O1GQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1006998,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۰:۰۹:۰۹,۱۴۰۲/۰۱/۰۷ ۱۰:۰۹:۰۹,/Reports/Decision.aspx?LetterSerial=5KFZwmJvNC9yi5T%2b6MMH8A%3d%3d&rt=0&let=58&ct=0&ft=-1
996442,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۲:۳۸:۱۶,۱۴۰۱/۱۲/۰۴ ۱۲:۳۸:۱۶,/Reports/Decision.aspx?LetterSerial=kQQQaQQQ43QqEbkFMzHKwqSSqKVw%3d%3d&rt=0&let=58&ct=0&ft=-1
987177,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۷:۱۴:۳۰,۱۴۰۱/۱۱/۰۴ ۱۷:۱۴:۳۰,/Reports/Decision.aspx?LetterSerial=OvQQQaQQQoXNF1yVaFHFJVQQQaQQQkAA3Q%3d%3d&rt=0&let=58&ct=0&ft=-1
982074,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۷ ۰۹:۲۴:۵۸,۱۴۰۱/۱۰/۲۷ ۰۹:۲۴:۵۸,/Reports/Decision.aspx?LetterSerial=p6wJPngv2ELga08xk2NxmQ%3d%3d&rt=0&let=58&ct=0&ft=-1
975139,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۲:۴۷:۵۷,۱۴۰۱/۱۰/۰۵ ۱۲:۴۷:۵۷,/Reports/Decision.aspx?LetterSerial=UPgPXHuXURsOIL2gb6d0qQ%3d%3d&rt=0&let=58&ct=0&ft=-1
963315,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۴:۱۰:۰۱,۱۴۰۱/۰۹/۰۵ ۱۴:۱۰:۰۱,/Reports/Decision.aspx?LetterSerial=RZipTz66TaSJnEWEwHIvUg%3d%3d&rt=0&let=58&ct=0&ft=-1
951271,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۵ ۱۱:۴۹:۳۱,۱۴۰۱/۰۸/۰۵ ۱۱:۴۹:۳۱,/Reports/Decision.aspx?LetterSerial=QQQaQQQcXJHXbCPYKPAVXqJW58uA%3d%3d&rt=0&let=58&ct=0&ft=-1
948168,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۲۸ ۱۴:۲۹:۳۳,۱۴۰۱/۰۷/۲۸ ۱۴:۲۹:۳۳,/Reports/Decision.aspx?LetterSerial=Tn3rWXsQQQaQQQBICSUV8q2JR6pw%3d%3d&rt=0&let=58&ct=0&ft=-1
941567,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۵ ۱۱:۳۰:۱۳,۱۴۰۱/۰۷/۰۵ ۱۱:۳۰:۱۳,/Reports/Decision.aspx?LetterSerial=gdEXGiI55IDg4XCxBM5Ssw%3d%3d&rt=0&let=58&ct=0&ft=-1
935171,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۱۳ ۱۴:۳۸:۰۹,۱۴۰۱/۰۶/۱۳ ۱۴:۳۸:۰۹,/Reports/Decision.aspx?LetterSerial=QQQaQQQhG3WLa6ZxyaSyF7H6FrCA%3d%3d&rt=0&let=58&ct=0&ft=-1
918777,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۴ ۱۷:۱۳:۲۲,۱۴۰۱/۰۵/۰۴ ۱۷:۱۳:۲۲,/Reports/Decision.aspx?LetterSerial=qMrhrhJM8c7l6J9i2GoDTA%3d%3d&rt=0&let=58&ct=0&ft=-1
914419,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۲۸ ۱۵:۱۵:۳۹,۱۴۰۱/۰۴/۲۸ ۱۵:۱۵:۳۹,/Reports/Decision.aspx?LetterSerial=QQQaQQQj3AN9WqvEBrqf8Xb9pW9w%3d%3d&rt=0&let=58&ct=0&ft=-1
906333,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۱۲ ۱۸:۰۶:۲۵,۱۴۰۱/۰۴/۱۲ ۱۸:۰۶:۲۵,/Reports/Decision.aspx?LetterSerial=q6NyJ%2bOnblLFIIemtb0Qvw%3d%3d&rt=0&let=58&ct=0&ft=-1
900880,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۲ ۱۳:۳۴:۳۳,۱۴۰۱/۰۴/۰۲ ۱۳:۳۴:۳۳,/Reports/Decision.aspx?LetterSerial=fG0MvP0QQQaQQQMGVUuH0vgcmXjA%3d%3d&rt=0&let=58&ct=0&ft=-1
897804,داوه,داروسازی آوه سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۳/۲۸ ۱۰:۰۸:۲۴,۱۴۰۱/۰۳/۲۸ ۱۰:۰۸:۲۴,/Reports/Decision.aspx?LetterSerial=z5TC%2bKPtd9BhiEQeGd5C9w%3d%3d&rt=0&let=58&ct=0&ft=-1
