TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075610,دتماد,تولید مواد اولیه داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۶:۴۳:۴۶,۱۴۰۲/۰۶/۰۵ ۱۶:۴۳:۴۶,/Reports/Decision.aspx?LetterSerial=tYKA5Yik6EGHMbEakG2V3w%3d%3d&rt=0&let=58&ct=0&ft=-1
1064009,دتماد,تولید مواد اولیه داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۱:۴۷:۱۳,۱۴۰۲/۰۵/۰۴ ۱۱:۴۷:۱۳,/Reports/Decision.aspx?LetterSerial=DQQQaQQQWV8utf17d1ySM1c4KdUQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1046271,دتماد,تولید مواد اولیه داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۰۸:۰۴:۴۶,۱۴۰۲/۰۴/۰۷ ۰۸:۰۴:۴۶,/Reports/Decision.aspx?LetterSerial=pL8ftopAobsJ1jFhw6%2bjLQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1032090,دتماد,تولید مواد اولیه داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۰:۲۸:۲۷,۱۴۰۲/۰۳/۰۷ ۱۰:۲۸:۲۷,/Reports/Decision.aspx?LetterSerial=FFK6loJx2SJWRb%2bhPclQjQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1031797,دتماد,تولید مواد اولیه داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۷:۱۹:۲۴,۱۴۰۲/۰۳/۰۶ ۱۷:۱۹:۲۴,/Reports/Decision.aspx?LetterSerial=POJRESxS5ay3NYB3Uhi%2bkQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1021773,دتماد,تولید مواد اولیه داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۱۶ ۱۶:۳۸:۳۹,۱۴۰۲/۰۲/۱۶ ۱۶:۳۸:۳۹,/Reports/Decision.aspx?LetterSerial=QQQaQQQADsSURWPo6gvbL5Q%2bxHsw%3d%3d&rt=0&let=58&ct=0&ft=-1
1019432,دتماد,تولید مواد اولیه داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۴:۵۴:۳۵,۱۴۰۲/۰۲/۱۰ ۱۴:۵۴:۳۵,/Reports/Decision.aspx?LetterSerial=tFpLVHroI8XQQQaQQQ52wuMQVXxQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1008737,دتماد,تولید مواد اولیه داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۳:۳۷:۱۳,۱۴۰۲/۰۱/۰۸ ۱۳:۳۷:۱۳,/Reports/Decision.aspx?LetterSerial=AOkVklXjmMKQdw1mpUdQjA%3d%3d&rt=0&let=58&ct=0&ft=-1
996951,دتماد,تولید مواد اولیه داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۵:۱۷:۱۳,۱۴۰۱/۱۲/۰۶ ۱۵:۱۷:۱۳,/Reports/Decision.aspx?LetterSerial=gxQk4d0KReib8oQQQaQQQVy9U57Q%3d%3d&rt=0&let=58&ct=0&ft=-1
987181,دتماد,تولید مواد اولیه داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۷:۱۰:۰۶,۱۴۰۱/۱۱/۰۴ ۱۷:۱۰:۰۶,/Reports/Decision.aspx?LetterSerial=8TALEWW0hQQQaQQQ1WXRlLE8jvzw%3d%3d&rt=0&let=58&ct=0&ft=-1
975765,دتماد,تولید مواد اولیه داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۳:۵۶:۵۴,۱۴۰۱/۱۰/۰۷ ۱۳:۵۶:۵۴,/Reports/Decision.aspx?LetterSerial=j0HRwUM489X29VUjoVexzA%3d%3d&rt=0&let=58&ct=0&ft=-1
964608,دتماد,تولید مواد اولیه داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۱:۴۱:۳۷,۱۴۰۱/۰۹/۰۷ ۱۱:۴۱:۳۷,/Reports/Decision.aspx?LetterSerial=BbweFF3RQcGUOrtBoSDepw%3d%3d&rt=0&let=58&ct=0&ft=-1
961657,دتماد,تولید مواد اولیه داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۰۱ ۱۰:۱۴:۵۶,۱۴۰۱/۰۹/۰۱ ۱۰:۱۴:۵۶,/Reports/Decision.aspx?LetterSerial=CtSlJm7eQQQaQQQzY54uSbJjnaMA%3d%3d&rt=0&let=58&ct=0&ft=-1
