TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076905,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۵:۴۸:۴۲,۱۴۰۲/۰۶/۰۷ ۱۵:۴۸:۴۲,/Reports/Decision.aspx?LetterSerial=Rffn3I8dDij163rvLFiwnQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1065399,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۲۰:۰۹:۱۱,۱۴۰۲/۰۵/۰۷ ۲۰:۰۹:۱۱,/Reports/Decision.aspx?LetterSerial=kMtuMxchsh86BBvMhvlY1Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1060168,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۹ ۱۲:۱۰:۱۴,۱۴۰۲/۰۴/۲۹ ۱۲:۱۰:۱۴,/Reports/Decision.aspx?LetterSerial=S9NDOrP4tP63shQQQaQQQMLE8ycg%3d%3d&rt=0&let=58&ct=0&ft=-1
1048115,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۸:۴۵:۱۸,۱۴۰۲/۰۴/۰۷ ۱۸:۴۵:۱۸,/Reports/Decision.aspx?LetterSerial=tYTmS5zvhVtzPtgSQQQaQQQ3FLnw%3d%3d&rt=0&let=58&ct=0&ft=-1
1032506,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۷:۱۸:۱۹,۱۴۰۲/۰۳/۰۷ ۱۷:۱۸:۱۹,/Reports/Decision.aspx?LetterSerial=X5C2WvOyho671lvziQbuyQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1026358,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۶ ۱۲:۰۳:۴۵,۱۴۰۲/۰۲/۲۶ ۱۲:۰۳:۴۵,/Reports/Decision.aspx?LetterSerial=kVYh7hlBydHfZkDlhN1LeQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1010751,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۹ ۱۸:۵۹:۲۶,۱۴۰۲/۰۲/۰۹ ۱۸:۵۹:۲۶,/Reports/Decision.aspx?LetterSerial=FpUWyWjdfiyqKr0ZYrqjKQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1000957,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۶:۱۹:۱۲,۱۴۰۲/۰۱/۰۹ ۱۶:۱۹:۱۲,/Reports/Decision.aspx?LetterSerial=pszjZi3tuGQ2Nax8bVbpcg%3d%3d&rt=0&let=58&ct=0&ft=-1
995286,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۸:۴۲:۴۹,۱۴۰۱/۱۲/۰۷ ۱۸:۴۲:۴۹,/Reports/Decision.aspx?LetterSerial=aShk4rob9MTksijVvzFqHw%3d%3d&rt=0&let=58&ct=0&ft=-1
986843,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۱:۳۸:۰۴,۱۴۰۱/۱۱/۰۵ ۱۱:۳۸:۰۴,/Reports/Decision.aspx?LetterSerial=PGTxrz4Cci1hbVHPtC6AtQ%3d%3d&rt=0&let=58&ct=0&ft=-1
973765,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۵:۲۹:۴۲,۱۴۰۱/۱۰/۰۷ ۱۵:۲۹:۴۲,/Reports/Decision.aspx?LetterSerial=Y7c7XQ150QQQaQQQfdQSocKQQQaQQQwSsA%3d%3d&rt=0&let=58&ct=0&ft=-1
963691,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۳:۳۰:۵۳,۱۴۰۱/۰۹/۰۷ ۱۳:۳۰:۵۳,/Reports/Decision.aspx?LetterSerial=r32iHTKLfNuyAM8NO6ld9g%3d%3d&rt=0&let=58&ct=0&ft=-1
951914,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۲۰:۲۸:۱۷,۱۴۰۱/۰۸/۰۷ ۲۰:۲۸:۱۷,/Reports/Decision.aspx?LetterSerial=tStPRMvuVGK%2b5aIOzy%2b4qQ%3d%3d&rt=0&let=58&ct=0&ft=-1
941546,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۱۰ ۱۳:۵۲:۵۱,۱۴۰۱/۰۷/۱۰ ۱۳:۵۲:۵۱,/Reports/Decision.aspx?LetterSerial=sZSF1zWq46t4Y2P0zSp73Q%3d%3d&rt=0&let=58&ct=0&ft=-1
931150,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۷ ۱۷:۳۸:۲۹,۱۴۰۱/۰۶/۰۷ ۱۷:۳۸:۲۹,/Reports/Decision.aspx?LetterSerial=ZOoOMYPUHZsMF4GcNgHfQg%3d%3d&rt=0&let=58&ct=0&ft=-1
918478,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۸:۴۸:۴۲,۱۴۰۱/۰۵/۰۵ ۱۸:۴۸:۴۲,/Reports/Decision.aspx?LetterSerial=jKf3NkwN6yNk9WK7X31BMg%3d%3d&rt=0&let=58&ct=0&ft=-1
902490,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۷ ۱۲:۲۹:۴۲,۱۴۰۱/۰۴/۰۷ ۱۲:۲۹:۴۲,/Reports/Decision.aspx?LetterSerial=6%2bzgm6l9guvPi9QdMIvZDw%3d%3d&rt=0&let=58&ct=0&ft=-1
888220,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۷ ۱۸:۳۵:۰۵,۱۴۰۱/۰۳/۰۷ ۱۸:۳۵:۰۵,/Reports/Decision.aspx?LetterSerial=Fo7krWHonPAVP%2btVCzGYiw%3d%3d&rt=0&let=58&ct=0&ft=-1
873730,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۱۰ ۱۳:۱۵:۱۷,۱۴۰۱/۰۲/۱۰ ۱۳:۱۵:۱۷,/Reports/Decision.aspx?LetterSerial=bB8jHU0WSE7QquFHBvYd4w%3D%3D&rt=0&let=58&ct=0&ft=-1
858414,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۱۰ ۱۲:۴۹:۴۷,۱۴۰۱/۰۱/۱۰ ۱۲:۴۹:۴۷,/Reports/Decision.aspx?LetterSerial=0RJXf1rJ994eRni04WZcDA%3D%3D&rt=0&let=58&ct=0&ft=-1
855223,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۷ ۱۸:۳۴:۲۴,۱۴۰۰/۱۲/۰۷ ۱۸:۳۴:۲۴,/Reports/Decision.aspx?LetterSerial=PlGLWO67PeorLBTNRdcvpw%3D%3D&rt=0&let=58&ct=0&ft=-1
848052,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۶ ۱۸:۰۳:۴۷,۱۴۰۰/۱۱/۰۶ ۱۸:۰۳:۴۷,/Reports/Decision.aspx?LetterSerial=4fgp3c6zPv96qg0mJkrmkQ%3D%3D&rt=0&let=58&ct=0&ft=-1
834989,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۰,۱۴۰۰/۱۰/۰۷ ۱۸:۴۰:۱۵,۱۴۰۰/۱۰/۰۷ ۱۸:۴۰:۱۵,/Reports/Decision.aspx?LetterSerial=NRlV9l2P2U3P7p1s68ETiA%3D%3D&rt=0&let=58&ct=0&ft=-1
823403,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۰,۱۴۰۰/۰۹/۰۷ ۱۸:۵۷:۰۳,۱۴۰۰/۰۹/۰۷ ۱۸:۵۷:۰۳,/Reports/Decision.aspx?LetterSerial=GbjpAIViUtdPvBwAIRiwEw%3D%3D&rt=0&let=58&ct=0&ft=-1
806234,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۰,۱۴۰۰/۰۸/۰۸ ۱۵:۱۴:۳۵,۱۴۰۰/۰۸/۰۸ ۱۵:۱۴:۳۵,/Reports/Decision.aspx?LetterSerial=xkweMRC9xG7ZuLPsUFkaUg%3D%3D&rt=0&let=58&ct=0&ft=-1
796170,دجابر,داروسازی جابر ابن حیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۰,۱۴۰۰/۰۷/۱۰ ۰۹:۰۹:۴۸,۱۴۰۰/۰۷/۱۰ ۰۹:۰۹:۴۸,/Reports/Decision.aspx?LetterSerial=PR9StYDM3E6tGw1fkl7%2BpA%3D%3D&rt=0&let=58&ct=0&ft=-1
