TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1077111,درازک,لابراتوارهای رازک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۲۰:۲۲:۰۹,۱۴۰۲/۰۶/۰۷ ۲۰:۲۲:۰۹,/Reports/Decision.aspx?LetterSerial=lIY9IYQQQaQQQ0ZsIH82QKPQQQaQQQ17fQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1068465,درازک,لابراتوارهای رازک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۱۶ ۱۲:۴۵:۵۹,۱۴۰۲/۰۵/۱۶ ۱۲:۴۵:۵۹,/Reports/Decision.aspx?LetterSerial=d2%2bJjTDl5ijToUNEdaUKWg%3d%3d&rt=0&let=58&ct=0&ft=-1
1068445,درازک,لابراتوارهای رازک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۱۶ ۱۲:۲۱:۳۸,۱۴۰۲/۰۵/۱۶ ۱۲:۲۱:۳۸,/Reports/Decision.aspx?LetterSerial=lBPg8m3gZy3%2bSbsJHsPUVA%3d%3d&rt=0&let=58&ct=0&ft=-1
1068392,درازک,لابراتوارهای رازک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۱۶ ۱۱:۳۳:۱۰,۱۴۰۲/۰۵/۱۶ ۱۱:۳۳:۱۰,/Reports/Decision.aspx?LetterSerial=6d6SDGQQQaQQQYHhDhrWVK3FhKaQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1067720,درازک,لابراتوارهای رازک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۱۴ ۱۹:۴۵:۱۵,۱۴۰۲/۰۵/۱۴ ۱۹:۴۵:۱۵,/Reports/Decision.aspx?LetterSerial=QOhwBs53EXqq0AuW5WcPDg%3d%3d&rt=0&let=58&ct=0&ft=-1
1065189,درازک,لابراتوارهای رازک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۸:۳۶:۳۷,۱۴۰۲/۰۵/۰۷ ۱۸:۳۶:۳۷,/Reports/Decision.aspx?LetterSerial=7b2DJr7XoZVEEEVcJNu0cA%3d%3d&rt=0&let=58&ct=0&ft=-1
1048111,درازک,لابراتوارهای رازک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۹:۵۲:۳۹,۱۴۰۲/۰۴/۰۷ ۱۹:۵۲:۳۹,/Reports/Decision.aspx?LetterSerial=m55Na7WrnhdTPjICLaPlmg%3d%3d&rt=0&let=58&ct=0&ft=-1
1032610,درازک,لابراتوارهای رازک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۸:۳۷:۱۵,۱۴۰۲/۰۳/۰۷ ۱۸:۳۷:۱۵,/Reports/Decision.aspx?LetterSerial=WzH3678e2vQQQaQQQ1LmflgQSOTg%3d%3d&rt=0&let=58&ct=0&ft=-1
1019517,درازک,لابراتوارهای رازک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۶:۴۰:۰۷,۱۴۰۲/۰۲/۱۰ ۱۶:۴۰:۰۷,/Reports/Decision.aspx?LetterSerial=w8lGzYFHFQQQaQQQD9sHH3MCjvFg%3d%3d&rt=0&let=58&ct=0&ft=-1
1005109,درازک,لابراتوارهای رازک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۵ ۱۵:۱۲:۵۶,۱۴۰۲/۰۱/۰۵ ۱۵:۱۲:۵۶,/Reports/Decision.aspx?LetterSerial=lnoqS07nqAQ3npQQQaQQQhVpb9gQ%3d%3d&rt=0&let=58&ct=0&ft=-1
996591,درازک,لابراتوارهای رازک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۵:۵۹:۰۴,۱۴۰۱/۱۲/۰۶ ۱۵:۵۹:۰۴,/Reports/Decision.aspx?LetterSerial=82hhUfyXZewsKelQQQaQQQQQQaQQQX88mw%3d%3d&rt=0&let=58&ct=0&ft=-1
987966,درازک,لابراتوارهای رازک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۲۰:۵۵:۰۴,۱۴۰۱/۱۱/۰۵ ۲۰:۵۵:۰۴,/Reports/Decision.aspx?LetterSerial=5rcR65j60uwZSbQ2MYVG2g%3d%3d&rt=0&let=58&ct=0&ft=-1
975568,درازک,لابراتوارهای رازک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۷:۳۴:۱۶,۱۴۰۱/۱۰/۰۷ ۱۷:۳۴:۱۶,/Reports/Decision.aspx?LetterSerial=njsgCQhttI6K88HjUQQQaQQQHk9w%3d%3d&rt=0&let=58&ct=0&ft=-1
963497,درازک,لابراتوارهای رازک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۸:۰۹:۴۴,۱۴۰۱/۰۹/۰۵ ۱۸:۰۹:۴۴,/Reports/Decision.aspx?LetterSerial=FqMNEgkWoaKylvpcwvjTIQ%3d%3d&rt=0&let=58&ct=0&ft=-1
952867,درازک,لابراتوارهای رازک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۰۹ ۱۲:۲۷:۱۰,۱۴۰۱/۰۸/۰۹ ۱۲:۲۷:۱۰,/Reports/Decision.aspx?LetterSerial=4PQFiMGnrJEuCQQQaQQQnNl0w7IQ%3d%3d&rt=0&let=58&ct=0&ft=-1
951955,درازک,لابراتوارهای رازک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۱۶:۱۸:۴۰,۱۴۰۱/۰۸/۰۷ ۱۶:۱۸:۴۰,/Reports/Decision.aspx?LetterSerial=VvGPc87Buz8dth2SiQQQaQQQGQpg%3d%3d&rt=0&let=58&ct=0&ft=-1
943230,درازک,لابراتوارهای رازک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۱۰ ۱۹:۵۹:۰۵,۱۴۰۱/۰۷/۱۰ ۱۹:۵۹:۰۵,/Reports/Decision.aspx?LetterSerial=c9brD53C0XojlHcArGFYNQ%3d%3d&rt=0&let=58&ct=0&ft=-1
931116,درازک,لابراتوارهای رازک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۶ ۱۸:۲۵:۱۰,۱۴۰۱/۰۶/۰۶ ۱۸:۲۵:۱۰,/Reports/Decision.aspx?LetterSerial=C0vgmY2jKlTl0RF3ZlTV2w%3d%3d&rt=0&let=58&ct=0&ft=-1
919665,درازک,لابراتوارهای رازک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۷:۱۶:۲۱,۱۴۰۱/۰۵/۰۵ ۱۷:۱۶:۲۱,/Reports/Decision.aspx?LetterSerial=9oy2iyZrWefD3ietqCT4yg%3d%3d&rt=0&let=58&ct=0&ft=-1
