TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074728,درهآور,داروئی ره آورد تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۰۸:۵۲:۰۲,۱۴۰۲/۰۶/۰۴ ۰۸:۵۲:۰۲,/Reports/Decision.aspx?LetterSerial=qGVoDXGhT4QQQaQQQkP9Uf8ZKJCg%3d%3d&rt=0&let=58&ct=0&ft=-1
1063436,درهآور,داروئی ره آورد تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۰۹:۵۱:۵۵,۱۴۰۲/۰۵/۰۳ ۰۹:۵۱:۵۵,/Reports/Decision.aspx?LetterSerial=NF6WK33C8onr%2bi2FhGZCQQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1056382,درهآور,داروئی ره آورد تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۴ ۱۱:۰۸:۲۸,۱۴۰۲/۰۴/۲۴ ۱۱:۰۸:۲۸,/Reports/Decision.aspx?LetterSerial=wnWiaNXD1Xc1qXqQQQaQQQ5B7wMA%3d%3d&rt=0&let=58&ct=0&ft=-1
1045973,درهآور,داروئی ره آورد تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۰:۱۴:۱۸,۱۴۰۲/۰۴/۰۵ ۱۰:۱۴:۱۸,/Reports/Decision.aspx?LetterSerial=Da2y5a7%2bfnYduHgakKyUGA%3d%3d&rt=0&let=58&ct=0&ft=-1
1031257,درهآور,داروئی ره آورد تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۱:۳۹:۰۱,۱۴۰۲/۰۳/۰۶ ۱۱:۳۹:۰۱,/Reports/Decision.aspx?LetterSerial=IGhojWQVBQQQaQQQeQQQaQQQ44KUB8F9rw%3d%3d&rt=0&let=58&ct=0&ft=-1
1027239,درهآور,داروئی ره آورد تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۸ ۱۳:۲۶:۰۹,۱۴۰۲/۰۲/۲۸ ۱۳:۲۶:۰۹,/Reports/Decision.aspx?LetterSerial=qjcy0C3vOG9vvzFNyVhoXA%3d%3d&rt=0&let=58&ct=0&ft=-1
1021549,درهآور,داروئی ره آورد تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۶ ۱۴:۱۲:۳۴,۱۴۰۲/۰۲/۱۶ ۱۴:۱۲:۳۴,/Reports/Decision.aspx?LetterSerial=hh61JJIidujIoiy2ACuOAw%3d%3d&rt=0&let=58&ct=0&ft=-1
1005036,درهآور,داروئی ره آورد تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۷ ۰۶:۵۶:۵۹,۱۴۰۱/۱۲/۲۷ ۰۶:۵۶:۵۹,/Reports/Decision.aspx?LetterSerial=bOnE9qQWXnzgn1BDrmo4Dw%3d%3d&rt=0&let=58&ct=0&ft=-1
995914,درهآور,داروئی ره آورد تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۰:۱۶:۲۴,۱۴۰۱/۱۲/۰۳ ۱۰:۱۶:۲۴,/Reports/Decision.aspx?LetterSerial=VA7glq%2b1ocE7TP3ER5nztw%3d%3d&rt=0&let=58&ct=0&ft=-1
987464,درهآور,داروئی ره آورد تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۱:۱۶:۰۹,۱۴۰۱/۱۱/۰۵ ۱۱:۱۶:۰۹,/Reports/Decision.aspx?LetterSerial=iCuaLc3tUPkQWdicwQQQaQQQCbsw%3d%3d&rt=0&let=58&ct=0&ft=-1
974473,درهآور,داروئی ره آورد تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۰:۴۶:۴۹,۱۴۰۱/۱۰/۰۴ ۱۰:۴۶:۴۹,/Reports/Decision.aspx?LetterSerial=zaSvpi2JpxmbYVjTAf5hLg%3d%3d&rt=0&let=58&ct=0&ft=-1
962966,درهآور,داروئی ره آورد تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۵:۵۳:۴۸,۱۴۰۱/۰۹/۰۵ ۱۵:۵۳:۴۸,/Reports/Decision.aspx?LetterSerial=Rit29h%2b3dgsP6UdrbZV4VA%3d%3d&rt=0&let=58&ct=0&ft=-1
960858,درهآور,داروئی ره آورد تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۳۰ ۱۳:۰۷:۴۷,۱۴۰۱/۰۸/۳۰ ۱۳:۰۷:۴۷,/Reports/Decision.aspx?LetterSerial=z9iNpcQQQaQQQlY6mWmksBUBQQQaQQQlCg%3d%3d&rt=0&let=58&ct=0&ft=-1
960546,درهآور,داروئی ره آورد تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۳۰ ۱۰:۰۳:۱۹,۱۴۰۱/۰۸/۳۰ ۱۰:۰۳:۱۹,/Reports/Decision.aspx?LetterSerial=u1sA6hje4CKTACK9gia5cw%3d%3d&rt=0&let=58&ct=0&ft=-1
951005,درهآور,داروئی ره آورد تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۴ ۱۲:۴۲:۲۴,۱۴۰۱/۰۸/۰۴ ۱۲:۴۲:۲۴,/Reports/Decision.aspx?LetterSerial=QLXoRizPGdeGcyJzZSW7jw%3d%3d&rt=0&let=58&ct=0&ft=-1
948004,درهآور,داروئی ره آورد تامین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۲۷ ۱۷:۲۴:۲۸,۱۴۰۱/۰۷/۲۷ ۱۷:۲۴:۲۸,/Reports/Decision.aspx?LetterSerial=F0LBQWHLjrdG9mNyFo0N6Q%3d%3d&rt=0&let=58&ct=0&ft=-1
