TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075235,دزهراوی,داروسازی زهراوی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۸:۲۹:۵۲,۱۴۰۲/۰۶/۰۵ ۱۸:۲۹:۵۲,/Reports/Decision.aspx?LetterSerial=Ds3es9wCQULiLQoa64rNOA%3d%3d&rt=0&let=58&ct=0&ft=-1
1053232,دزهراوی,داروسازی زهراوی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۰۸:۳۹:۰۱,۱۴۰۲/۰۵/۰۴ ۰۸:۳۹:۰۱,/Reports/Decision.aspx?LetterSerial=2Eb0zUkwE0czSqQYHPIfVw%3d%3d&rt=0&let=58&ct=0&ft=-1
1046418,دزهراوی,داروسازی زهراوی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۰۹:۱۶:۵۴,۱۴۰۲/۰۴/۰۶ ۰۹:۱۶:۵۴,/Reports/Decision.aspx?LetterSerial=mNvG%2bSSH3lMx9IQY9hiCJA%3d%3d&rt=0&let=58&ct=0&ft=-1
1035134,دزهراوی,داروسازی زهراوی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۱۱ ۱۹:۳۹:۱۰,۱۴۰۲/۰۳/۱۱ ۱۹:۳۹:۱۰,/Reports/Decision.aspx?LetterSerial=sAcWQ8Xt1zBAlNz2Moa9Gw%3d%3d&rt=0&let=58&ct=0&ft=-1
1030501,دزهراوی,داروسازی زهراوی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۱:۴۱:۴۰,۱۴۰۲/۰۳/۰۷ ۱۱:۴۱:۴۰,/Reports/Decision.aspx?LetterSerial=pSQ%2bQ7gxvHP9wca8SxZ3kA%3d%3d&rt=0&let=58&ct=0&ft=-1
1019361,دزهراوی,داروسازی زهراوی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۷:۰۴:۴۴,۱۴۰۲/۰۲/۱۰ ۱۷:۰۴:۴۴,/Reports/Decision.aspx?LetterSerial=hm1czczDKTdPTg0k6UvziA%3d%3d&rt=0&let=58&ct=0&ft=-1
1008522,دزهراوی,داروسازی زهراوی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۲۰:۴۷:۳۷,۱۴۰۲/۰۱/۰۹ ۲۰:۴۷:۳۷,/Reports/Decision.aspx?LetterSerial=kPun5qKX4LQQQaQQQvUW3um3o7cg%3d%3d&rt=0&let=58&ct=0&ft=-1
996028,دزهراوی,داروسازی زهراوی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۰۹:۰۰:۱۵,۱۴۰۱/۱۲/۰۷ ۰۹:۰۰:۱۵,/Reports/Decision.aspx?LetterSerial=OH9XpTg1im9DIRGl5vxk3g%3d%3d&rt=0&let=58&ct=0&ft=-1
991752,دزهراوی,داروسازی زهراوی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۱۸ ۱۷:۳۷:۲۲,۱۴۰۱/۱۱/۱۸ ۱۷:۳۷:۲۲,/Reports/Decision.aspx?LetterSerial=J2hTcWCirZDayHzuelz6ag%3d%3d&rt=0&let=58&ct=0&ft=-1
986967,دزهراوی,داروسازی زهراوی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۰:۳۱:۵۷,۱۴۰۱/۱۱/۰۵ ۱۰:۳۱:۵۷,/Reports/Decision.aspx?LetterSerial=ZgnKJMRCSFUXI3cqsLLShQ%3d%3d&rt=0&let=58&ct=0&ft=-1
