TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1071419,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۸:۲۲:۲۶,۱۴۰۲/۰۶/۰۴ ۱۸:۲۲:۲۶,/Reports/Decision.aspx?LetterSerial=ihDpjCf618MgJkoylbFrag%3d%3d&rt=0&let=58&ct=0&ft=-1
1069025,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۱۷ ۱۷:۱۸:۲۵,۱۴۰۲/۰۵/۱۷ ۱۷:۱۸:۲۵,/Reports/Decision.aspx?LetterSerial=Bl7VxsZZfmWBVrR8%2bSwVUg%3d%3d&rt=0&let=58&ct=0&ft=-1
1062729,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۲:۱۶:۵۱,۱۴۰۲/۰۵/۰۳ ۱۲:۱۶:۵۱,/Reports/Decision.aspx?LetterSerial=elcamuszmfB6V9xxDG3RXQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1044662,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۵:۰۵:۰۵,۱۴۰۲/۰۴/۰۵ ۱۵:۰۵:۰۵,/Reports/Decision.aspx?LetterSerial=xtu9nyZZQvZdTlYRiqE%2bGQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1029998,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۲:۰۷:۲۶,۱۴۰۲/۰۳/۰۳ ۱۲:۰۷:۲۶,/Reports/Decision.aspx?LetterSerial=fnW0pHpk8Yvtcy5EBQQQaQQQiXuw%3d%3d&rt=0&let=58&ct=0&ft=-1
1015868,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۲:۲۸:۳۸,۱۴۰۲/۰۲/۰۶ ۱۲:۲۸:۳۸,/Reports/Decision.aspx?LetterSerial=abV4GN34ypljmMQg8xu2hg%3d%3d&rt=0&let=58&ct=0&ft=-1
1009441,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۱۰ ۱۵:۴۸:۰۴,۱۴۰۲/۰۱/۱۰ ۱۵:۴۸:۰۴,/Reports/Decision.aspx?LetterSerial=AfveHNuH6Y%2bT8HC65WEDrw%3d%3d&rt=0&let=58&ct=0&ft=-1
995592,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۵:۳۸:۵۶,۱۴۰۱/۱۲/۰۳ ۱۵:۳۸:۵۶,/Reports/Decision.aspx?LetterSerial=Su3YQQQaQQQ29iGDBCHthDf4PPyA%3d%3d&rt=0&let=58&ct=0&ft=-1
984240,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۱:۴۹:۴۴,۱۴۰۱/۱۱/۰۴ ۱۱:۴۹:۴۴,/Reports/Decision.aspx?LetterSerial=YI4Z2Yt0OkFp%2baFlx6wz8g%3d%3d&rt=0&let=58&ct=0&ft=-1
973808,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۶:۱۳:۰۷,۱۴۰۱/۱۰/۰۴ ۱۶:۱۳:۰۷,/Reports/Decision.aspx?LetterSerial=1HW57Ad8cy0pKZDXyomjiw%3d%3d&rt=0&let=58&ct=0&ft=-1
963224,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۷:۴۵:۲۰,۱۴۰۱/۰۹/۰۵ ۱۷:۴۵:۲۰,/Reports/Decision.aspx?LetterSerial=k8wMLkA5X9w8jQQQaQQQ0QQQaQQQZdnxCg%3d%3d&rt=0&let=58&ct=0&ft=-1
963211,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۲:۱۱:۵۴,۱۴۰۱/۰۹/۰۵ ۱۲:۱۱:۵۴,/Reports/Decision.aspx?LetterSerial=MKRH33UqfNc5Li1qo2aWjQ%3d%3d&rt=0&let=58&ct=0&ft=-1
960283,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۲۹ ۱۷:۱۷:۰۸,۱۴۰۱/۰۸/۲۹ ۱۷:۱۷:۰۸,/Reports/Decision.aspx?LetterSerial=%2bafBD6JIkD77D9aKnSgWMg%3d%3d&rt=0&let=58&ct=0&ft=-1
951420,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۴ ۱۸:۰۱:۴۲,۱۴۰۱/۰۸/۰۴ ۱۸:۰۱:۴۲,/Reports/Decision.aspx?LetterSerial=I3hZX1jyy2bVea%2bwxGT8bA%3d%3d&rt=0&let=58&ct=0&ft=-1
947566,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۲۷ ۰۸:۳۹:۰۵,۱۴۰۱/۰۷/۲۷ ۰۸:۳۹:۰۵,/Reports/Decision.aspx?LetterSerial=XqEfn71UhVRPYLeyixQQQaQQQBaw%3d%3d&rt=0&let=58&ct=0&ft=-1
941595,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۶ ۱۶:۱۷:۱۲,۱۴۰۱/۰۷/۰۶ ۱۶:۱۷:۱۲,/Reports/Decision.aspx?LetterSerial=5SziftEUWgedAHWQQQaQQQxWsbuQ%3d%3d&rt=0&let=58&ct=0&ft=-1
930267,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۵ ۱۷:۱۷:۲۵,۱۴۰۱/۰۶/۰۵ ۱۷:۱۷:۲۵,/Reports/Decision.aspx?LetterSerial=zvPMlStjgir1XePEkpETQQQaQQQg%3d%3d&rt=0&let=58&ct=0&ft=-1
913815,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۴ ۱۶:۱۲:۰۵,۱۴۰۱/۰۵/۰۴ ۱۶:۱۲:۰۵,/Reports/Decision.aspx?LetterSerial=3LYEfW7P0F%2bQQQaQQQQ1CY3K86Dw%3d%3d&rt=0&let=58&ct=0&ft=-1
900765,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۴ ۱۶:۴۴:۲۹,۱۴۰۱/۰۴/۰۴ ۱۶:۴۴:۲۹,/Reports/Decision.aspx?LetterSerial=Co5Dq4P9ufELPJxgksnEBg%3d%3d&rt=0&let=58&ct=0&ft=-1
888134,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۵ ۱۱:۱۹:۲۰,۱۴۰۱/۰۳/۰۵ ۱۱:۱۹:۲۰,/Reports/Decision.aspx?LetterSerial=KQB4So231nw8jteuBA26mA%3d%3d&rt=0&let=58&ct=0&ft=-1
874892,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۰۵ ۱۸:۵۳:۲۷,۱۴۰۱/۰۲/۰۵ ۱۸:۵۳:۲۷,/Reports/Decision.aspx?LetterSerial=qSxpqG40WvXIlY6F55PBjw%3D%3D&rt=0&let=58&ct=0&ft=-1
865752,دسبحان,سبحان دارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۰۹ ۲۰:۱۳:۲۲,۱۴۰۱/۰۱/۰۹ ۲۰:۱۳:۲۲,/Reports/Decision.aspx?LetterSerial=yVW%2B5PuRPmm1J2o4GB7gNw%3D%3D&rt=0&let=58&ct=0&ft=-1
