TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075825,دشیمی,شیمی دارویی داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۶:۳۴:۲۲,۱۴۰۲/۰۶/۰۷ ۱۶:۳۴:۲۲,/Reports/Decision.aspx?LetterSerial=UrjD8a6jMHOHts2WpmncLA%3d%3d&rt=0&let=58&ct=0&ft=-1
1063214,دشیمی,شیمی دارویی داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۸:۳۱:۵۲,۱۴۰۲/۰۵/۰۷ ۱۸:۳۱:۵۲,/Reports/Decision.aspx?LetterSerial=ILPMeEIJyn1OVEf5YJaPhg%3d%3d&rt=0&let=58&ct=0&ft=-1
1045323,دشیمی,شیمی دارویی داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۶:۲۸:۵۵,۱۴۰۲/۰۴/۰۷ ۱۶:۲۸:۵۵,/Reports/Decision.aspx?LetterSerial=PvVx5kmbWCq7Cu74vyY5hQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1029815,دشیمی,شیمی دارویی داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۰۹:۴۰:۵۵,۱۴۰۲/۰۳/۰۷ ۰۹:۴۰:۵۵,/Reports/Decision.aspx?LetterSerial=INmb7wbLlFphh5OeKhvfRg%3d%3d&rt=0&let=58&ct=0&ft=-1
1018764,دشیمی,شیمی دارویی داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۷:۱۲:۲۹,۱۴۰۲/۰۲/۱۰ ۱۷:۱۲:۲۹,/Reports/Decision.aspx?LetterSerial=aId1nOLyzET0N9eQhIntRA%3d%3d&rt=0&let=58&ct=0&ft=-1
1008466,دشیمی,شیمی دارویی داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۳:۵۰:۲۶,۱۴۰۲/۰۱/۰۹ ۱۳:۵۰:۲۶,/Reports/Decision.aspx?LetterSerial=tbq89sWrHXbNOcXWLZICEg%3d%3d&rt=0&let=58&ct=0&ft=-1
996338,دشیمی,شیمی دارویی داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۲:۰۷:۳۷,۱۴۰۱/۱۲/۰۷ ۱۲:۰۷:۳۷,/Reports/Decision.aspx?LetterSerial=PeeVWh6uI2QPOlMEcfpd2A%3d%3d&rt=0&let=58&ct=0&ft=-1
986171,دشیمی,شیمی دارویی داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۱:۲۶:۵۱,۱۴۰۱/۱۱/۰۴ ۱۱:۲۶:۵۱,/Reports/Decision.aspx?LetterSerial=0dI1UEhOX8CuKjkx7ayN%2bQ%3d%3d&rt=0&let=58&ct=0&ft=-1
976119,دشیمی,شیمی دارویی داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۲:۰۱:۵۸,۱۴۰۱/۱۰/۱۰ ۱۲:۰۱:۵۸,/Reports/Decision.aspx?LetterSerial=Bi1bmEk5pVfoN20Y2OEnwQ%3d%3d&rt=0&let=58&ct=0&ft=-1
963029,دشیمی,شیمی دارویی داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۲:۵۳:۵۲,۱۴۰۱/۰۹/۰۷ ۱۲:۵۳:۵۲,/Reports/Decision.aspx?LetterSerial=U5UPCUQQQaQQQmNfWx6LFSDosk5g%3d%3d&rt=0&let=58&ct=0&ft=-1
