TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075690,دفرا,فراورده های تزریقی و دارویی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۷:۱۴:۳۲,۱۴۰۲/۰۶/۰۵ ۱۷:۱۴:۳۲,/Reports/Decision.aspx?LetterSerial=kPDRQQQaQQQxWKbZkkzGIY4GY1mw%3d%3d&rt=0&let=58&ct=0&ft=-1
1063749,دفرا,فراورده های تزریقی و دارویی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۵:۰۷:۲۶,۱۴۰۲/۰۵/۰۴ ۱۵:۰۷:۲۶,/Reports/Decision.aspx?LetterSerial=pgEW4CDCNNkNwgDQQQaQQQnk7PUQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1044665,دفرا,فراورده های تزریقی و دارویی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۳ ۱۵:۵۷:۳۳,۱۴۰۲/۰۴/۰۳ ۱۵:۵۷:۳۳,/Reports/Decision.aspx?LetterSerial=MvLb49EF5QQQaQQQuiWCbo0TLaAQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1031776,دفرا,فراورده های تزریقی و دارویی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۷:۴۸:۲۲,۱۴۰۲/۰۳/۰۶ ۱۷:۴۸:۲۲,/Reports/Decision.aspx?LetterSerial=%2bL4aHt%2bQQQaQQQog7VTvsq5WTN8Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1017079,دفرا,فراورده های تزریقی و دارویی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۷:۵۲:۲۸,۱۴۰۲/۰۲/۰۵ ۱۷:۵۲:۲۸,/Reports/Decision.aspx?LetterSerial=2KT%2byieHCfA08lZR7osg%2bg%3d%3d&rt=0&let=58&ct=0&ft=-1
1005825,دفرا,فراورده های تزریقی و دارویی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۸ ۱۲:۵۶:۳۱,۱۴۰۱/۱۲/۲۸ ۱۲:۵۶:۳۱,/Reports/Decision.aspx?LetterSerial=MQXrFEP5XZUSCKe6jHAz5Q%3d%3d&rt=0&let=58&ct=0&ft=-1
995778,دفرا,فراورده های تزریقی و دارویی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۲:۳۴:۵۳,۱۴۰۱/۱۲/۰۳ ۱۲:۳۴:۵۳,/Reports/Decision.aspx?LetterSerial=uqq15p5lnGDiPHjyQAHT6w%3d%3d&rt=0&let=58&ct=0&ft=-1
985904,دفرا,فراورده های تزریقی و دارویی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۳ ۱۷:۴۵:۰۵,۱۴۰۱/۱۱/۰۳ ۱۷:۴۵:۰۵,/Reports/Decision.aspx?LetterSerial=9EIWsZUgSPfCucHHPmWGLg%3d%3d&rt=0&let=58&ct=0&ft=-1
975473,دفرا,فراورده های تزریقی و دارویی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۶:۲۴:۳۷,۱۴۰۱/۱۰/۰۵ ۱۶:۲۴:۳۷,/Reports/Decision.aspx?LetterSerial=LyjvAkcP9DvSoM5951fYZg%3d%3d&rt=0&let=58&ct=0&ft=-1
974838,دفرا,فراورده های تزریقی و دارویی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۸:۲۵:۵۶,۱۴۰۱/۱۰/۰۴ ۱۸:۲۵:۵۶,/Reports/Decision.aspx?LetterSerial=UbE1Tu4NoucewNRouQFVng%3d%3d&rt=0&let=58&ct=0&ft=-1
