TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076608,دلر,داروسازی اکسیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۱:۰۴:۵۶,۱۴۰۲/۰۶/۰۷ ۱۱:۰۴:۵۶,/Reports/Decision.aspx?LetterSerial=G9wjgcfxnHHII6%2bl0DiyiA%3d%3d&rt=0&let=58&ct=0&ft=-1
1063746,دلر,داروسازی اکسیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۰۹:۰۳:۴۳,۱۴۰۲/۰۵/۰۷ ۰۹:۰۳:۴۳,/Reports/Decision.aspx?LetterSerial=IGWJaD1tttmXPpEkmGG4XA%3d%3d&rt=0&let=58&ct=0&ft=-1
1045970,دلر,داروسازی اکسیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۰۹:۰۰:۲۰,۱۴۰۲/۰۴/۰۷ ۰۹:۰۰:۲۰,/Reports/Decision.aspx?LetterSerial=QQQaQQQjsO%2bRYgeXQQQaQQQ2PGjPQQQaQQQJ4b8w%3d%3d&rt=0&let=58&ct=0&ft=-1
1032081,دلر,داروسازی اکسیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۰:۲۸:۲۶,۱۴۰۲/۰۳/۰۷ ۱۰:۲۸:۲۶,/Reports/Decision.aspx?LetterSerial=oafIOJdrzIzbw9Dl7QycUg%3d%3d&rt=0&let=58&ct=0&ft=-1
1019673,دلر,داروسازی اکسیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۸:۱۹:۰۲,۱۴۰۲/۰۲/۱۰ ۱۸:۱۹:۰۲,/Reports/Decision.aspx?LetterSerial=fI5jpz%2bmROn6EKqjO3aGoQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1016304,دلر,داروسازی اکسیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۰۹ ۱۸:۰۹:۴۶,۱۴۰۲/۰۲/۰۹ ۱۸:۰۹:۴۶,/Reports/Decision.aspx?LetterSerial=7WZ%2bn%2b12BkkvAU5ImISQzA%3d%3d&rt=0&let=58&ct=0&ft=-1
1005543,دلر,داروسازی اکسیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۶ ۰۹:۵۸:۳۰,۱۴۰۲/۰۱/۰۶ ۰۹:۵۸:۳۰,/Reports/Decision.aspx?LetterSerial=XHX2pQ9Zdaef8bgNBPsr8Q%3d%3d&rt=0&let=58&ct=0&ft=-1
996669,دلر,داروسازی اکسیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۱:۰۳:۰۴,۱۴۰۱/۱۲/۰۶ ۱۱:۰۳:۰۴,/Reports/Decision.aspx?LetterSerial=8aGwmE2bVBSGh7lrEFPIdA%3d%3d&rt=0&let=58&ct=0&ft=-1
987027,دلر,داروسازی اکسیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۶:۱۵:۱۶,۱۴۰۱/۱۱/۰۴ ۱۶:۱۵:۱۶,/Reports/Decision.aspx?LetterSerial=GzQQQaQQQ5GnFtkDp0NLTSJAtOgQ%3d%3d&rt=0&let=58&ct=0&ft=-1
975275,دلر,داروسازی اکسیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۴:۵۹:۵۶,۱۴۰۱/۱۰/۰۵ ۱۴:۵۹:۵۶,/Reports/Decision.aspx?LetterSerial=Bx9EzZjxT2uhrIRcnFm1qw%3d%3d&rt=0&let=58&ct=0&ft=-1
965864,دلر,داروسازی اکسیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۰۹ ۱۱:۵۷:۵۵,۱۴۰۱/۰۹/۰۹ ۱۱:۵۷:۵۵,/Reports/Decision.aspx?LetterSerial=ibHiEzVgd59jozbHbYVajg%3d%3d&rt=0&let=58&ct=0&ft=-1
963960,دلر,داروسازی اکسیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۶ ۱۲:۵۴:۵۷,۱۴۰۱/۰۹/۰۶ ۱۲:۵۴:۵۷,/Reports/Decision.aspx?LetterSerial=Jdh2qHl0AFzq7MRGQQQaQQQFnysQ%3d%3d&rt=0&let=58&ct=0&ft=-1
