TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076143,دلقما,داروئی و بهداشتی لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۶:۳۷:۲۶,۱۴۰۲/۰۶/۰۷ ۱۶:۳۷:۲۶,/Reports/Decision.aspx?LetterSerial=cfafh1mbGQXmTEaxGDFm7g%3d%3d&rt=0&let=58&ct=0&ft=-1
1062643,دلقما,داروئی و بهداشتی لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۶:۰۸:۳۲,۱۴۰۲/۰۵/۰۴ ۱۶:۰۸:۳۲,/Reports/Decision.aspx?LetterSerial=3egZ4NzrbnXa3SJsxITwbg%3d%3d&rt=0&let=58&ct=0&ft=-1
1050915,دلقما,داروئی و بهداشتی لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۱۳ ۱۶:۱۶:۱۸,۱۴۰۲/۰۴/۱۳ ۱۶:۱۶:۱۸,/Reports/Decision.aspx?LetterSerial=0sdKWMqOrNqPTxOl2w2noA%3d%3d&rt=0&let=58&ct=0&ft=-1
1044275,دلقما,داروئی و بهداشتی لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۲:۲۴:۵۶,۱۴۰۲/۰۴/۰۷ ۱۲:۲۴:۵۶,/Reports/Decision.aspx?LetterSerial=eB231xOZgjiZPc08HonEZw%3d%3d&rt=0&let=58&ct=0&ft=-1
1031005,دلقما,داروئی و بهداشتی لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۰:۳۳:۰۴,۱۴۰۲/۰۳/۰۶ ۱۰:۳۳:۰۴,/Reports/Decision.aspx?LetterSerial=HETQ6nfv2QB3zHGKzQ20rg%3d%3d&rt=0&let=58&ct=0&ft=-1
1026941,دلقما,داروئی و بهداشتی لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۷ ۱۸:۱۴:۵۴,۱۴۰۲/۰۲/۲۷ ۱۸:۱۴:۵۴,/Reports/Decision.aspx?LetterSerial=fvABBWarJ5AdcWvbjCArpw%3d%3d&rt=0&let=58&ct=0&ft=-1
1016178,دلقما,داروئی و بهداشتی لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۷:۱۶:۵۸,۱۴۰۲/۰۲/۰۵ ۱۷:۱۶:۵۸,/Reports/Decision.aspx?LetterSerial=UZxglrnQQQaQQQnj6IjRzBTPnzLw%3d%3d&rt=0&let=58&ct=0&ft=-1
1005051,دلقما,داروئی و بهداشتی لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۸ ۱۵:۳۸:۵۸,۱۴۰۱/۱۲/۲۸ ۱۵:۳۸:۵۸,/Reports/Decision.aspx?LetterSerial=DS806tz2BAns1tqrdPvIwA%3d%3d&rt=0&let=58&ct=0&ft=-1
996461,دلقما,داروئی و بهداشتی لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۴:۱۳:۵۷,۱۴۰۱/۱۲/۰۴ ۱۴:۱۳:۵۷,/Reports/Decision.aspx?LetterSerial=dTIDwui0RTMV7QQQaQQQ11wgsyqg%3d%3d&rt=0&let=58&ct=0&ft=-1
990102,دلقما,داروئی و بهداشتی لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۱۱ ۱۷:۳۲:۲۸,۱۴۰۱/۱۱/۱۱ ۱۷:۳۲:۲۸,/Reports/Decision.aspx?LetterSerial=S1fjLc1LSJVY78N5P9rSdg%3d%3d&rt=0&let=58&ct=0&ft=-1
