TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074731,دکوثر,داروسازی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۶:۱۰:۰۶,۱۴۰۲/۰۶/۰۴ ۱۶:۱۰:۰۶,/Reports/Decision.aspx?LetterSerial=jJLzzg318tQQQaQQQuODM7j3OO4Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1062566,دکوثر,داروسازی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۴:۴۱:۲۶,۱۴۰۲/۰۵/۰۳ ۱۴:۴۱:۲۶,/Reports/Decision.aspx?LetterSerial=CsY3IBFQQQaQQQErNRMJQfORGNog%3d%3d&rt=0&let=58&ct=0&ft=-1
1042600,دکوثر,داروسازی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۳ ۱۴:۴۶:۱۱,۱۴۰۲/۰۴/۰۳ ۱۴:۴۶:۱۱,/Reports/Decision.aspx?LetterSerial=kywwHHiXS1aOuzBJPB3SQQQaQQQw%3d%3d&rt=0&let=58&ct=0&ft=-1
1030160,دکوثر,داروسازی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۱:۵۰:۵۸,۱۴۰۲/۰۳/۰۳ ۱۱:۵۰:۵۸,/Reports/Decision.aspx?LetterSerial=8nqOuHIgTmH0JZlRDZgScQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1019744,دکوثر,داروسازی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۱۰ ۲۰:۴۰:۳۶,۱۴۰۲/۰۲/۱۰ ۲۰:۴۰:۳۶,/Reports/Decision.aspx?LetterSerial=gxyBxw1tV1%2bkGMJT4wrDNw%3d%3d&rt=0&let=58&ct=0&ft=-1
1015847,دکوثر,داروسازی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۴ ۱۳:۱۵:۲۰,۱۴۰۲/۰۲/۰۴ ۱۳:۱۵:۲۰,/Reports/Decision.aspx?LetterSerial=Ud7uNUOkS%2bUECmjz0TGucA%3d%3d&rt=0&let=58&ct=0&ft=-1
1002069,دکوثر,داروسازی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۵ ۱۱:۲۴:۰۶,۱۴۰۱/۱۲/۲۵ ۱۱:۲۴:۰۶,/Reports/Decision.aspx?LetterSerial=b7ILsLkc1kf9WztkAtC6uw%3d%3d&rt=0&let=58&ct=0&ft=-1
998103,دکوثر,داروسازی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۲/۰۹ ۰۹:۲۴:۱۹,۱۴۰۱/۱۲/۰۹ ۰۹:۲۴:۱۹,/Reports/Decision.aspx?LetterSerial=0sOXMxiUe6TMnLn4oRQQQaQQQ%2beA%3d%3d&rt=0&let=58&ct=0&ft=-1
994648,دکوثر,داروسازی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۴:۴۰:۳۸,۱۴۰۱/۱۲/۰۳ ۱۴:۴۰:۳۸,/Reports/Decision.aspx?LetterSerial=d7msAFdPzmw2QQQaQQQ6JVhmWQQQaQQQAg%3d%3d&rt=0&let=58&ct=0&ft=-1
985586,دکوثر,داروسازی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۳ ۱۱:۱۸:۴۱,۱۴۰۱/۱۱/۰۳ ۱۱:۱۸:۴۱,/Reports/Decision.aspx?LetterSerial=084B3tj%2bd2LEUJJuEEuHeQ%3d%3d&rt=0&let=58&ct=0&ft=-1
