TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075462,دکیمی,صنعتی کیمیدارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۲:۲۱:۲۸,۱۴۰۲/۰۶/۰۵ ۱۲:۲۱:۲۸,/Reports/Decision.aspx?LetterSerial=bb8SBDGN2I7pBgtpDFYVng%3d%3d&rt=0&let=58&ct=0&ft=-1
1064482,دکیمی,صنعتی کیمیدارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۵:۴۸:۱۰,۱۴۰۲/۰۵/۰۴ ۱۵:۴۸:۱۰,/Reports/Decision.aspx?LetterSerial=hYsyCAU7lnQm2R62odhEww%3d%3d&rt=0&let=58&ct=0&ft=-1
1056994,دکیمی,صنعتی کیمیدارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۵ ۱۰:۱۷:۳۲,۱۴۰۲/۰۴/۲۵ ۱۰:۱۷:۳۲,/Reports/Decision.aspx?LetterSerial=OrpoPNC%2bNs0RjGpJChbXMw%3d%3d&rt=0&let=58&ct=0&ft=-1
1046455,دکیمی,صنعتی کیمیدارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۷:۳۱:۲۳,۱۴۰۲/۰۴/۰۵ ۱۷:۳۱:۲۳,/Reports/Decision.aspx?LetterSerial=orMHdVId4ipjUZ6CQUyr6Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1030281,دکیمی,صنعتی کیمیدارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۰:۴۴:۳۶,۱۴۰۲/۰۳/۰۳ ۱۰:۴۴:۳۶,/Reports/Decision.aspx?LetterSerial=YFdQonVde1WCgKo84K3eoA%3d%3d&rt=0&let=58&ct=0&ft=-1
1024655,دکیمی,صنعتی کیمیدارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۳ ۱۲:۱۱:۴۳,۱۴۰۲/۰۲/۲۳ ۱۲:۱۱:۴۳,/Reports/Decision.aspx?LetterSerial=MWp8e0wZH53Yip4AYhrykg%3d%3d&rt=0&let=58&ct=0&ft=-1
1021285,دکیمی,صنعتی کیمیدارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۴ ۱۴:۳۷:۳۱,۱۴۰۲/۰۲/۱۴ ۱۴:۳۷:۳۱,/Reports/Decision.aspx?LetterSerial=CggfHEPJ0Uw7JqdjXjotEg%3d%3d&rt=0&let=58&ct=0&ft=-1
1007152,دکیمی,صنعتی کیمیدارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۲:۵۷:۵۱,۱۴۰۲/۰۱/۰۷ ۱۲:۵۷:۵۱,/Reports/Decision.aspx?LetterSerial=yvQ%2bQDOrAmSpASQEgUaPFA%3d%3d&rt=0&let=58&ct=0&ft=-1
996532,دکیمی,صنعتی کیمیدارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۵:۲۱:۵۹,۱۴۰۱/۱۲/۰۴ ۱۵:۲۱:۵۹,/Reports/Decision.aspx?LetterSerial=6iyTa%2bC8SQ4HCcA8EXrp4g%3d%3d&rt=0&let=58&ct=0&ft=-1
996485,دکیمی,صنعتی کیمیدارو,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۲:۰۱:۴۹,۱۴۰۱/۱۲/۰۴ ۱۲:۰۱:۴۹,/Reports/Decision.aspx?LetterSerial=MhYbQzh1TIXG3oWyPQhrfw%3d%3d&rt=0&let=58&ct=0&ft=-1
