TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076402,رتاپ,تجارت الکترونیک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۱۵:۴۸:۳۶,۱۴۰۲/۰۶/۰۶ ۱۵:۴۸:۳۶,/Reports/Decision.aspx?LetterSerial=cQO%2bYk5j3myQ%2bCW5au21dg%3d%3d&rt=5&let=58&ct=0&ft=-1
1065403,رتاپ,تجارت الکترونیک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۸:۲۷:۳۲,۱۴۰۲/۰۵/۰۷ ۱۸:۲۷:۳۲,/Reports/Decision.aspx?LetterSerial=g3f3PDt%2bfyZJzScxDIb%2bbw%3d%3d&rt=5&let=58&ct=0&ft=-1
1047250,رتاپ,تجارت الکترونیک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۷:۰۳:۳۰,۱۴۰۲/۰۴/۰۶ ۱۷:۰۳:۳۰,/Reports/Decision.aspx?LetterSerial=I2G86sGu1OfCy0H6D9JQBA%3d%3d&rt=5&let=58&ct=0&ft=-1
1031704,رتاپ,تجارت الکترونیک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۶:۱۱:۲۶,۱۴۰۲/۰۳/۰۶ ۱۶:۱۱:۲۶,/Reports/Decision.aspx?LetterSerial=INbgvylLueriU3RUTEBQQQaQQQyg%3d%3d&rt=5&let=58&ct=0&ft=-1
1018464,رتاپ,تجارت الکترونیک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۹ ۱۱:۰۸:۳۵,۱۴۰۲/۰۲/۰۹ ۱۱:۰۸:۳۵,/Reports/Decision.aspx?LetterSerial=csMEQQQaQQQ0jlaf7zBBy90NZ7mw%3d%3d&rt=5&let=58&ct=0&ft=-1
1009185,رتاپ,تجارت الکترونیک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۳:۵۱:۲۶,۱۴۰۲/۰۱/۰۹ ۱۳:۵۱:۲۶,/Reports/Decision.aspx?LetterSerial=qQQQaQQQeQS92eFMkpQQQaQQQLQ8HMlw5g%3d%3d&rt=5&let=58&ct=0&ft=-1
997176,رتاپ,تجارت الکترونیک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۸:۲۲:۲۷,۱۴۰۱/۱۲/۰۶ ۱۸:۲۲:۲۷,/Reports/Decision.aspx?LetterSerial=TmBW%2bzYga31OVgSUdOo%2byA%3d%3d&rt=5&let=58&ct=0&ft=-1
987846,رتاپ,تجارت الکترونیک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۶:۴۰:۳۸,۱۴۰۱/۱۱/۰۵ ۱۶:۴۰:۳۸,/Reports/Decision.aspx?LetterSerial=fhGKdgXChZagXSz0Q3B8Qg%3d%3d&rt=5&let=58&ct=0&ft=-1
975980,رتاپ,تجارت الکترونیک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۳:۲۶:۳۳,۱۴۰۱/۱۰/۰۷ ۱۳:۲۶:۳۳,/Reports/Decision.aspx?LetterSerial=m%2bVryWsS8shw7gkmikeN2Q%3d%3d&rt=5&let=58&ct=0&ft=-1
963712,رتاپ,تجارت الکترونیک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۹:۱۲:۵۴,۱۴۰۱/۰۹/۰۵ ۱۹:۱۲:۵۴,/Reports/Decision.aspx?LetterSerial=ctGSY1jaHLzKGtqjNDQOjA%3d%3d&rt=5&let=58&ct=0&ft=-1
