TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074892,زاگرس,پتروشیمی زاگرس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۵:۴۲:۴۶,۱۴۰۲/۰۶/۰۴ ۱۵:۴۲:۴۶,/Reports/Decision.aspx?LetterSerial=2d6viD5Ri%2bzCbVgR2LLRYg%3d%3d&rt=0&let=58&ct=0&ft=-1
1062535,زاگرس,پتروشیمی زاگرس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۳:۰۱:۵۳,۱۴۰۲/۰۵/۰۴ ۱۳:۰۱:۵۳,/Reports/Decision.aspx?LetterSerial=x3QQQaQQQrfbFssxaC8IXUcGDwrA%3d%3d&rt=0&let=58&ct=0&ft=-1
1045228,زاگرس,پتروشیمی زاگرس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۳:۵۳:۰۰,۱۴۰۲/۰۴/۰۶ ۱۳:۵۳:۰۰,/Reports/Decision.aspx?LetterSerial=JTqV9%2bY3oIbPQaS2WIFG3Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1029505,زاگرس,پتروشیمی زاگرس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۲ ۱۴:۲۰:۳۹,۱۴۰۲/۰۳/۰۲ ۱۴:۲۰:۳۹,/Reports/Decision.aspx?LetterSerial=6xG5myZNSrCpd1QNvN5Nsg%3d%3d&rt=0&let=58&ct=0&ft=-1
1025768,زاگرس,پتروشیمی زاگرس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۳۰ ۱۲:۳۲:۰۷,۱۴۰۲/۰۲/۳۰ ۱۲:۳۲:۰۷,/Reports/Decision.aspx?LetterSerial=B%2be2IAwAfQhJZ%2bpUH5QaIg%3d%3d&rt=0&let=58&ct=0&ft=-1
1017227,زاگرس,پتروشیمی زاگرس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۴:۰۶:۵۹,۱۴۰۲/۰۲/۰۶ ۱۴:۰۶:۵۹,/Reports/Decision.aspx?LetterSerial=BTN1UzseQbzRhkPvTBjnOg%3d%3d&rt=0&let=58&ct=0&ft=-1
1007184,زاگرس,پتروشیمی زاگرس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۴:۰۳:۱۵,۱۴۰۲/۰۱/۰۷ ۱۴:۰۳:۱۵,/Reports/Decision.aspx?LetterSerial=zjlxD5YY5gl2LEEu4GBJzQ%3d%3d&rt=0&let=58&ct=0&ft=-1
995580,زاگرس,پتروشیمی زاگرس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۲ ۱۶:۱۴:۲۷,۱۴۰۱/۱۲/۰۲ ۱۶:۱۴:۲۷,/Reports/Decision.aspx?LetterSerial=QufHEjMwgdHZlgienD52Vg%3d%3d&rt=0&let=58&ct=0&ft=-1
989472,زاگرس,پتروشیمی زاگرس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۱۰ ۱۳:۳۸:۴۶,۱۴۰۱/۱۱/۱۰ ۱۳:۳۸:۴۶,/Reports/Decision.aspx?LetterSerial=2fx6oSyivcDiPuLxqXiV7g%3d%3d&rt=0&let=58&ct=0&ft=-1
986175,زاگرس,پتروشیمی زاگرس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۳:۱۱:۳۵,۱۴۰۱/۱۱/۰۴ ۱۳:۱۱:۳۵,/Reports/Decision.aspx?LetterSerial=SKqkuMYNc3mYMAu5TivDCQ%3d%3d&rt=0&let=58&ct=0&ft=-1
974066,زاگرس,پتروشیمی زاگرس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۳:۳۸:۲۱,۱۴۰۱/۱۰/۰۵ ۱۳:۳۸:۲۱,/Reports/Decision.aspx?LetterSerial=Ysft%2b5YmQgeT6idZsgcGdA%3d%3d&rt=0&let=58&ct=0&ft=-1
