TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076467,زشریف,کشت و صنعت شریف آباد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۱:۰۳:۳۷,۱۴۰۲/۰۶/۰۷ ۱۱:۰۳:۳۷,/Reports/Decision.aspx?LetterSerial=LpmRZzOvxODv1sYhQ2A1cg%3d%3d&rt=8&let=58&ct=0&ft=-1
1064822,زشریف,کشت و صنعت شریف آباد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۵:۲۱:۲۴,۱۴۰۲/۰۵/۰۷ ۱۵:۲۱:۲۴,/Reports/Decision.aspx?LetterSerial=lgYJYCUHkSXpbF0fHlZ0nQ%3d%3d&rt=8&let=58&ct=0&ft=-1
1047413,زشریف,کشت و صنعت شریف آباد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۶:۴۴:۳۴,۱۴۰۲/۰۴/۰۷ ۱۶:۴۴:۳۴,/Reports/Decision.aspx?LetterSerial=HQQQaQQQggyxcjEgZs8wUmLH%2bXTQ%3d%3d&rt=8&let=58&ct=0&ft=-1
1031665,زشریف,کشت و صنعت شریف آباد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۷:۳۹:۰۶,۱۴۰۲/۰۳/۰۶ ۱۷:۳۹:۰۶,/Reports/Decision.aspx?LetterSerial=13FRAcxIQTX1HSiZLAyYCQ%3d%3d&rt=8&let=58&ct=0&ft=-1
1018365,زشریف,کشت و صنعت شریف آباد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۹ ۱۷:۳۳:۵۰,۱۴۰۲/۰۲/۰۹ ۱۷:۳۳:۵۰,/Reports/Decision.aspx?LetterSerial=wDT88VTLlN6JuIUVcj4gwg%3d%3d&rt=8&let=58&ct=0&ft=-1
1005523,زشریف,کشت و صنعت شریف آباد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۶ ۱۰:۰۸:۱۹,۱۴۰۲/۰۱/۰۶ ۱۰:۰۸:۱۹,/Reports/Decision.aspx?LetterSerial=MIPGK94JgOyTg1U29MP0jg%3d%3d&rt=8&let=58&ct=0&ft=-1
997310,زشریف,کشت و صنعت شریف آباد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۳:۲۷:۳۵,۱۴۰۱/۱۲/۰۷ ۱۳:۲۷:۳۵,/Reports/Decision.aspx?LetterSerial=O3XABSdGCnvClPq%2bc4kqXQ%3d%3d&rt=8&let=58&ct=0&ft=-1
987441,زشریف,کشت و صنعت شریف آباد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۵:۴۲:۱۰,۱۴۰۱/۱۱/۰۵ ۱۵:۴۲:۱۰,/Reports/Decision.aspx?LetterSerial=ejYe8tAF%2bOpXCbNdFbxFhw%3d%3d&rt=8&let=58&ct=0&ft=-1
975093,زشریف,کشت و صنعت شریف آباد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۴:۲۰:۴۶,۱۴۰۱/۱۰/۰۷ ۱۴:۲۰:۴۶,/Reports/Decision.aspx?LetterSerial=2v0vjluTjgxYpSQpyOi6FQ%3d%3d&rt=8&let=58&ct=0&ft=-1
963919,زشریف,کشت و صنعت شریف آباد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۶ ۱۶:۳۳:۲۶,۱۴۰۱/۰۹/۰۶ ۱۶:۳۳:۲۶,/Reports/Decision.aspx?LetterSerial=e2c1zZw%2bKgtgzXVgTifJ9A%3d%3d&rt=8&let=58&ct=0&ft=-1
951048,زشریف,کشت و صنعت شریف آباد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۱۶:۳۹:۳۹,۱۴۰۱/۰۸/۰۷ ۱۶:۳۹:۳۹,/Reports/Decision.aspx?LetterSerial=UP1DcHquuz8%2bAw3wnY3EXQ%3d%3d&rt=8&let=58&ct=0&ft=-1
942188,زشریف,کشت و صنعت شریف آباد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۹ ۱۷:۰۵:۴۶,۱۴۰۱/۰۷/۰۹ ۱۷:۰۵:۴۶,/Reports/Decision.aspx?LetterSerial=QlRpwfkAaSTiamsvdF7ESQ%3d%3d&rt=8&let=58&ct=0&ft=-1
931631,زشریف,کشت و صنعت شریف آباد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۷ ۱۵:۰۴:۳۶,۱۴۰۱/۰۶/۰۷ ۱۵:۰۴:۳۶,/Reports/Decision.aspx?LetterSerial=aVtgF9ClWZaGOTASXAJ4lQ%3d%3d&rt=8&let=58&ct=0&ft=-1
919050,زشریف,کشت و صنعت شریف آباد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۷:۲۸:۰۳,۱۴۰۱/۰۵/۰۵ ۱۷:۲۸:۰۳,/Reports/Decision.aspx?LetterSerial=JATKnFgw3%2bvHlguz51ROAA%3d%3d&rt=8&let=58&ct=0&ft=-1
903716,زشریف,کشت و صنعت شریف آباد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۷ ۱۵:۵۸:۵۴,۱۴۰۱/۰۴/۰۷ ۱۵:۵۸:۵۴,/Reports/Decision.aspx?LetterSerial=RG5InJOIk17xgCINl1sEww%3d%3d&rt=8&let=58&ct=0&ft=-1
