TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074612,زشگزا,شیر و گوشت زاگرس شهرکرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۰۹:۰۴:۴۳,۱۴۰۲/۰۶/۰۴ ۰۹:۰۴:۴۳,/Reports/Decision.aspx?LetterSerial=nFgB28yKHQQQaQQQKZlWqZcEE3Ag%3d%3d&rt=8&let=58&ct=0&ft=-1
1063562,زشگزا,شیر و گوشت زاگرس شهرکرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۳:۴۹:۳۳,۱۴۰۲/۰۵/۰۳ ۱۳:۴۹:۳۳,/Reports/Decision.aspx?LetterSerial=E9vH6vQt7IGXEnV6c4s8qw%3d%3d&rt=8&let=58&ct=0&ft=-1
1044984,زشگزا,شیر و گوشت زاگرس شهرکرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۰۸:۳۵:۳۴,۱۴۰۲/۰۴/۰۴ ۰۸:۳۵:۳۴,/Reports/Decision.aspx?LetterSerial=nMxNeTnEv0AOayazxm843g%3d%3d&rt=8&let=58&ct=0&ft=-1
1029966,زشگزا,شیر و گوشت زاگرس شهرکرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۱:۳۱:۱۲,۱۴۰۲/۰۳/۰۳ ۱۱:۳۱:۱۲,/Reports/Decision.aspx?LetterSerial=GvuBBdfdwTQQQaQQQZZKzFh5%2bmaw%3d%3d&rt=8&let=58&ct=0&ft=-1
1016689,زشگزا,شیر و گوشت زاگرس شهرکرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۳:۲۹:۴۹,۱۴۰۲/۰۲/۰۵ ۱۳:۲۹:۴۹,/Reports/Decision.aspx?LetterSerial=kpPus4WSf%2bMwRiRIz1N6Eg%3d%3d&rt=8&let=58&ct=0&ft=-1
1006978,زشگزا,شیر و گوشت زاگرس شهرکرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۳:۰۲:۳۷,۱۴۰۲/۰۱/۰۷ ۱۳:۰۲:۳۷,/Reports/Decision.aspx?LetterSerial=MOtxZcFJMFKpuGqie5A3ow%3d%3d&rt=8&let=58&ct=0&ft=-1
995683,زشگزا,شیر و گوشت زاگرس شهرکرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۰۸:۱۶:۴۹,۱۴۰۱/۱۲/۰۳ ۰۸:۱۶:۴۹,/Reports/Decision.aspx?LetterSerial=y7buP3I7OvOqm9NBsNAKVQ%3d%3d&rt=8&let=58&ct=0&ft=-1
991387,زشگزا,شیر و گوشت زاگرس شهرکرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۱۷ ۱۵:۲۷:۳۵,۱۴۰۱/۱۱/۱۷ ۱۵:۲۷:۳۵,/Reports/Decision.aspx?LetterSerial=VQKvQmt8nf0Q38gcbGfOhg%3d%3d&rt=8&let=58&ct=0&ft=-1
974376,زشگزا,شیر و گوشت زاگرس شهرکرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۰:۱۲:۱۴,۱۴۰۱/۱۰/۰۴ ۱۰:۱۲:۱۴,/Reports/Decision.aspx?LetterSerial=9ZEQg06KH1iftjvmC8ah4Q%3d%3d&rt=8&let=58&ct=0&ft=-1
971649,زشگزا,شیر و گوشت زاگرس شهرکرد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۲۴ ۱۱:۵۸:۵۴,۱۴۰۱/۰۹/۲۴ ۱۱:۵۸:۵۴,/Reports/Decision.aspx?LetterSerial=QQQaQQQXsJqDxHNFQQQaQQQr%2bQNZi3YMtg%3d%3d&rt=8&let=58&ct=0&ft=-1
