TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074576,زفجر,کشاورزی و دامپروری فجر اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۱:۳۶:۲۰,۱۴۰۲/۰۶/۰۴ ۱۱:۳۶:۲۰,/Reports/Decision.aspx?LetterSerial=HTMJNv9bceNgjFtxlU0ywA%3d%3d&rt=8&let=58&ct=0&ft=-1
1064053,زفجر,کشاورزی و دامپروری فجر اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۰:۵۶:۲۶,۱۴۰۲/۰۵/۰۴ ۱۰:۵۶:۲۶,/Reports/Decision.aspx?LetterSerial=gOlVyGaKlzZDRyQpJ4HFqg%3d%3d&rt=8&let=58&ct=0&ft=-1
1044549,زفجر,کشاورزی و دامپروری فجر اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۱:۵۶:۴۶,۱۴۰۲/۰۴/۰۴ ۱۱:۵۶:۴۶,/Reports/Decision.aspx?LetterSerial=F9hpCjQtYVqO2xkT3NjjVA%3d%3d&rt=8&let=58&ct=0&ft=-1
1030460,زفجر,کشاورزی و دامپروری فجر اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۹:۲۵:۵۰,۱۴۰۲/۰۳/۰۳ ۱۹:۲۵:۵۰,/Reports/Decision.aspx?LetterSerial=YU39yAnavYfjDbYUqkS7SQ%3d%3d&rt=8&let=58&ct=0&ft=-1
1018150,زفجر,کشاورزی و دامپروری فجر اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۷ ۱۴:۱۲:۴۷,۱۴۰۲/۰۲/۰۷ ۱۴:۱۲:۴۷,/Reports/Decision.aspx?LetterSerial=iJ25aezrMeTXJ7SOI8x3Vg%3d%3d&rt=8&let=58&ct=0&ft=-1
1008545,زفجر,کشاورزی و دامپروری فجر اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۲:۰۴:۱۸,۱۴۰۲/۰۱/۰۸ ۱۲:۰۴:۱۸,/Reports/Decision.aspx?LetterSerial=ottxYvNh9UNIlUQKhyoixA%3d%3d&rt=8&let=58&ct=0&ft=-1
996711,زفجر,کشاورزی و دامپروری فجر اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۰:۱۴:۴۷,۱۴۰۱/۱۲/۰۶ ۱۰:۱۴:۴۷,/Reports/Decision.aspx?LetterSerial=HhodT9Fnl3KNTJs86Q9rmA%3d%3d&rt=8&let=58&ct=0&ft=-1
996683,زفجر,کشاورزی و دامپروری فجر اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۰:۰۶:۰۳,۱۴۰۱/۱۲/۰۶ ۱۰:۰۶:۰۳,/Reports/Decision.aspx?LetterSerial=04zBlNns4T3mPngmW6PDNg%3d%3d&rt=8&let=58&ct=0&ft=-1
996652,زفجر,کشاورزی و دامپروری فجر اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۲/۰۶ ۰۹:۴۶:۲۵,۱۴۰۱/۱۲/۰۶ ۰۹:۴۶:۲۵,/Reports/Decision.aspx?LetterSerial=VwT9x9U5Bc6GgrMc2MXEgQ%3d%3d&rt=8&let=58&ct=0&ft=-1
996193,زفجر,کشاورزی و دامپروری فجر اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۶:۲۷:۰۰,۱۴۰۱/۱۲/۰۳ ۱۶:۲۷:۰۰,/Reports/Decision.aspx?LetterSerial=liWOacgWpuVbSW3Q%2b7hpDQ%3d%3d&rt=8&let=58&ct=0&ft=-1
