TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074735,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۳:۳۸:۳۲,۱۴۰۲/۰۶/۰۴ ۱۳:۳۸:۳۲,/Reports/Decision.aspx?LetterSerial=OLFyOQHpYYERPnOABNMyfA%3d%3d&rt=8&let=58&ct=0&ft=-1
1063416,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۰:۲۴:۱۱,۱۴۰۲/۰۵/۰۴ ۱۰:۲۴:۱۱,/Reports/Decision.aspx?LetterSerial=JOa9WdvoZHVBeaszej7VJg%3d%3d&rt=8&let=58&ct=0&ft=-1
1044353,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۳ ۱۵:۲۱:۴۵,۱۴۰۲/۰۴/۰۳ ۱۵:۲۱:۴۵,/Reports/Decision.aspx?LetterSerial=rxeNZJF8Cb14RFHAUwWLAQ%3d%3d&rt=8&let=58&ct=0&ft=-1
1031061,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۱۵:۲۹:۲۴,۱۴۰۲/۰۳/۰۴ ۱۵:۲۹:۲۴,/Reports/Decision.aspx?LetterSerial=PfFBp10nxT7O4khJRgFSug%3d%3d&rt=8&let=58&ct=0&ft=-1
1018169,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۷ ۱۴:۳۲:۴۷,۱۴۰۲/۰۲/۰۷ ۱۴:۳۲:۴۷,/Reports/Decision.aspx?LetterSerial=P%2bfQQQaQQQddajQ5i6WtEZYIQN5g%3d%3d&rt=8&let=58&ct=0&ft=-1
1008666,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۳:۰۸:۳۶,۱۴۰۲/۰۱/۰۹ ۱۳:۰۸:۳۶,/Reports/Decision.aspx?LetterSerial=WKQ1cH7raqpeqKBdWCklIg%3d%3d&rt=8&let=58&ct=0&ft=-1
996527,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۵:۴۶:۵۵,۱۴۰۱/۱۲/۰۴ ۱۵:۴۶:۵۵,/Reports/Decision.aspx?LetterSerial=aJzh2QQQaQQQT5irJ6NUGT0Rq%2b0A%3d%3d&rt=8&let=58&ct=0&ft=-1
986239,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۰:۴۳:۱۹,۱۴۰۱/۱۱/۰۴ ۱۰:۴۳:۱۹,/Reports/Decision.aspx?LetterSerial=Mnt2Xb7ES7ihmwdbHJ6m0A%3d%3d&rt=8&let=58&ct=0&ft=-1
977635,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۱۲ ۱۴:۱۶:۲۳,۱۴۰۱/۱۰/۱۲ ۱۴:۱۶:۲۳,/Reports/Decision.aspx?LetterSerial=jv4Z4xLBgw8o0EtR7X3%2bYQ%3d%3d&rt=8&let=58&ct=0&ft=-1
975529,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۷:۵۷:۱۰,۱۴۰۱/۱۰/۰۵ ۱۷:۵۷:۱۰,/Reports/Decision.aspx?LetterSerial=YPJ3lQtJIdbBaUVFtQ0uCA%3d%3d&rt=8&let=58&ct=0&ft=-1
963144,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۳:۲۳:۳۴,۱۴۰۱/۰۹/۰۵ ۱۳:۲۳:۳۴,/Reports/Decision.aspx?LetterSerial=qEgHR6VdfoxqbryUmWdjRg%3d%3d&rt=8&let=58&ct=0&ft=-1
951602,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۵ ۱۲:۲۰:۴۰,۱۴۰۱/۰۸/۰۵ ۱۲:۲۰:۴۰,/Reports/Decision.aspx?LetterSerial=7tUvPwEHVntERYJTmQkbTw%3d%3d&rt=8&let=58&ct=0&ft=-1
941070,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۴ ۱۵:۲۸:۲۳,۱۴۰۱/۰۷/۰۴ ۱۵:۲۸:۲۳,/Reports/Decision.aspx?LetterSerial=Mc0HVnqt%2bYvOHckzsg5Yew%3d%3d&rt=8&let=58&ct=0&ft=-1
930163,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۵ ۱۱:۳۹:۰۲,۱۴۰۱/۰۶/۰۵ ۱۱:۳۹:۰۲,/Reports/Decision.aspx?LetterSerial=pCLwQQQaQQQKhCieV9HnkAf3GoHg%3d%3d&rt=8&let=58&ct=0&ft=-1
927375,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۵/۳۱ ۱۴:۳۱:۱۹,۱۴۰۱/۰۵/۳۱ ۱۴:۳۱:۱۹,/Reports/Decision.aspx?LetterSerial=W13ohC986jYpkFy6aB53bw%3d%3d&rt=8&let=58&ct=0&ft=-1
917941,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۴ ۱۰:۴۰:۲۵,۱۴۰۱/۰۵/۰۴ ۱۰:۴۰:۲۵,/Reports/Decision.aspx?LetterSerial=9GB1nJHg0BkLkOA0GgAArg%3d%3d&rt=8&let=58&ct=0&ft=-1
901751,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۵ ۱۲:۰۴:۲۱,۱۴۰۱/۰۴/۰۵ ۱۲:۰۴:۲۱,/Reports/Decision.aspx?LetterSerial=eY3J2qBbFKhc%2bFAAA0iKjA%3d%3d&rt=8&let=58&ct=0&ft=-1
889333,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۳/۰۸ ۱۲:۲۶:۱۴,۱۴۰۱/۰۳/۰۸ ۱۲:۲۶:۱۴,/Reports/Decision.aspx?LetterSerial=BQrdbC1VacRSyB6Vr4HMoQ%3d%3d&rt=8&let=58&ct=0&ft=-1
887820,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۴ ۱۶:۲۹:۵۸,۱۴۰۱/۰۳/۰۴ ۱۶:۲۹:۵۸,/Reports/Decision.aspx?LetterSerial=c4spwo%2bFaTnzyyXcQpcDzQ%3d%3d&rt=8&let=58&ct=0&ft=-1
875672,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۲/۰۷ ۱۲:۱۰:۴۲,۱۴۰۱/۰۲/۰۷ ۱۲:۱۰:۴۲,/Reports/Decision.aspx?LetterSerial=TiztmUFzsDoLSRSSoRPsvA%3D%3D&rt=8&let=58&ct=0&ft=-1
875258,زمگسا,کشاورزی و دامپروری مگسال,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۰۶ ۱۷:۱۹:۲۲,۱۴۰۱/۰۲/۰۶ ۱۷:۱۹:۲۲,/Reports/Decision.aspx?LetterSerial=kS4cSs52Ac8vISTEn9UZjg%3D%3D&rt=8&let=58&ct=0&ft=-1
