TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074665,زپارس,ملی کشت و صنعت و دامپروری پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۳ ۱۰:۴۹:۰۳,۱۴۰۲/۰۶/۰۳ ۱۰:۴۹:۰۳,/Reports/Decision.aspx?LetterSerial=sEZIv3PdHdhstlBfuEwowQ%3d%3d&rt=8&let=58&ct=0&ft=-1
1060972,زپارس,ملی کشت و صنعت و دامپروری پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۱:۵۰:۰۹,۱۴۰۲/۰۵/۰۳ ۱۱:۵۰:۰۹,/Reports/Decision.aspx?LetterSerial=pU09QQQaQQQ%2b2VaA%2bShdV494YeIw%3d%3d&rt=8&let=58&ct=0&ft=-1
1043757,زپارس,ملی کشت و صنعت و دامپروری پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۱ ۱۳:۴۳:۵۲,۱۴۰۲/۰۴/۰۱ ۱۳:۴۳:۵۲,/Reports/Decision.aspx?LetterSerial=EtM87istMDCXajZQgH70SA%3d%3d&rt=8&let=58&ct=0&ft=-1
1027354,زپارس,ملی کشت و صنعت و دامپروری پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۲۳:۳۴:۲۹,۱۴۰۲/۰۳/۰۴ ۲۳:۳۴:۲۹,/Reports/Decision.aspx?LetterSerial=A8bQQQaQQQzVfazfQ%2b7aAnc93DQg%3d%3d&rt=8&let=58&ct=0&ft=-1
1014109,زپارس,ملی کشت و صنعت و دامپروری پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۱:۴۵:۵۰,۱۴۰۲/۰۲/۰۶ ۱۱:۴۵:۵۰,/Reports/Decision.aspx?LetterSerial=r55UALMfB6rlOQ8OSOuUcw%3d%3d&rt=8&let=58&ct=0&ft=-1
1015950,زپارس,ملی کشت و صنعت و دامپروری پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۴ ۱۳:۱۵:۵۱,۱۴۰۲/۰۲/۰۴ ۱۳:۱۵:۵۱,/Reports/Decision.aspx?LetterSerial=VgvlZUPZfCdqfPpGkGxoPQ%3d%3d&rt=8&let=58&ct=0&ft=-1
1002028,زپارس,ملی کشت و صنعت و دامپروری پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۳۰,ن-۳۰,۱۴۰۱/۱۲/۲۸ ۰۹:۴۳:۴۶,۱۴۰۱/۱۲/۲۸ ۰۹:۴۳:۴۶,/Reports/Decision.aspx?LetterSerial=daGiefCQQQaQQQFnzT5SJ5czOktA%3d%3d&rt=8&let=58&ct=0&ft=-1
995550,زپارس,ملی کشت و صنعت و دامپروری پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۲ ۱۴:۵۸:۱۱,۱۴۰۱/۱۲/۰۲ ۱۴:۵۸:۱۱,/Reports/Decision.aspx?LetterSerial=K4RqavDG%2bO4AoUoCS4Pv1A%3d%3d&rt=8&let=58&ct=0&ft=-1
986368,زپارس,ملی کشت و صنعت و دامپروری پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۴:۵۱:۵۹,۱۴۰۱/۱۱/۰۴ ۱۴:۵۱:۵۹,/Reports/Decision.aspx?LetterSerial=hfldQQQaQQQZ4sh0UZjrHILHH2EA%3d%3d&rt=8&let=58&ct=0&ft=-1
973734,زپارس,ملی کشت و صنعت و دامپروری پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۴ ۲۲:۴۹:۵۶,۱۴۰۱/۱۰/۰۴ ۲۲:۴۹:۵۶,/Reports/Decision.aspx?LetterSerial=0mNQ34z7V1XaiwD7B9pvGg%3d%3d&rt=8&let=58&ct=0&ft=-1
