TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1073640,زکشت,کشاورزی مکانیزه اصفهان کشت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۰:۳۳:۲۴,۱۴۰۲/۰۶/۰۴ ۱۰:۳۳:۲۴,/Reports/Decision.aspx?LetterSerial=cyfOtOd7LWY7LZQQQaQQQYuIrcmA%3d%3d&rt=8&let=58&ct=0&ft=-1
1064064,زکشت,کشاورزی مکانیزه اصفهان کشت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۰۹:۵۲:۴۳,۱۴۰۲/۰۵/۰۴ ۰۹:۵۲:۴۳,/Reports/Decision.aspx?LetterSerial=g0QRylzj0pKe%2bv2xHNnm4A%3d%3d&rt=8&let=58&ct=0&ft=-1
1045824,زکشت,کشاورزی مکانیزه اصفهان کشت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۰۸:۲۰:۲۵,۱۴۰۲/۰۴/۰۵ ۰۸:۲۰:۲۵,/Reports/Decision.aspx?LetterSerial=hABxLXMgK0q6d8W9dcb7ug%3d%3d&rt=8&let=58&ct=0&ft=-1
1030926,زکشت,کشاورزی مکانیزه اصفهان کشت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۰۸:۱۴:۱۷,۱۴۰۲/۰۳/۰۴ ۰۸:۱۴:۱۷,/Reports/Decision.aspx?LetterSerial=Wp99CwAfE%2bGQbrwKoQQQaQQQkSmQ%3d%3d&rt=8&let=58&ct=0&ft=-1
1015951,زکشت,کشاورزی مکانیزه اصفهان کشت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۴ ۱۰:۴۲:۰۱,۱۴۰۲/۰۲/۰۴ ۱۰:۴۲:۰۱,/Reports/Decision.aspx?LetterSerial=4Oprprnv43FqhHYphbfdTA%3d%3d&rt=8&let=58&ct=0&ft=-1
1006174,زکشت,کشاورزی مکانیزه اصفهان کشت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۵ ۰۹:۲۵:۵۳,۱۴۰۲/۰۱/۰۵ ۰۹:۲۵:۵۳,/Reports/Decision.aspx?LetterSerial=JdR4ZqILh9AIug2mpo0KfA%3d%3d&rt=8&let=58&ct=0&ft=-1
993323,زکشت,کشاورزی مکانیزه اصفهان کشت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۰۸:۴۹:۴۷,۱۴۰۱/۱۲/۰۳ ۰۸:۴۹:۴۷,/Reports/Decision.aspx?LetterSerial=AYjOi8YZga7Ay%2bQPf2QJqg%3d%3d&rt=8&let=58&ct=0&ft=-1
986819,زکشت,کشاورزی مکانیزه اصفهان کشت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۱:۴۲:۴۰,۱۴۰۱/۱۱/۰۴ ۱۱:۴۲:۴۰,/Reports/Decision.aspx?LetterSerial=S3FnOMMEKN0BnDxPutZExA%3d%3d&rt=8&let=58&ct=0&ft=-1
973973,زکشت,کشاورزی مکانیزه اصفهان کشت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۳ ۱۱:۵۸:۲۱,۱۴۰۱/۱۰/۰۳ ۱۱:۵۸:۲۱,/Reports/Decision.aspx?LetterSerial=nwihdErAPCMsfNGqQ3dr3g%3d%3d&rt=8&let=58&ct=0&ft=-1
962771,زکشت,کشاورزی مکانیزه اصفهان کشت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۳ ۰۸:۵۷:۰۰,۱۴۰۱/۰۹/۰۳ ۰۸:۵۷:۰۰,/Reports/Decision.aspx?LetterSerial=YwmI59ZhjQz6avya2xBWiw%3d%3d&rt=8&let=58&ct=0&ft=-1
