TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1079114,زکوثر,سرمایه گذاری کشاورزی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۱۱ ۱۶:۵۳:۰۷,۱۴۰۲/۰۶/۱۱ ۱۶:۵۳:۰۷,/Reports/Decision.aspx?LetterSerial=QQQaQQQ4QQQaQQQ1EH4WUNONlaQQQaQQQS0ayOFA%3d%3d&rt=2&let=8&ct=0&ft=-1
1064801,زکوثر,سرمایه گذاری کشاورزی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۷ ۰۸:۳۱:۵۲,۱۴۰۲/۰۵/۰۷ ۰۸:۳۱:۵۲,/Reports/Decision.aspx?LetterSerial=x8FsQDm6cCTbJ2IOm68vgw%3d%3d&rt=2&let=8&ct=0&ft=-1
1047239,زکوثر,سرمایه گذاری کشاورزی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۷ ۰۸:۳۲:۰۱,۱۴۰۲/۰۴/۰۷ ۰۸:۳۲:۰۱,/Reports/Decision.aspx?LetterSerial=bxsGBFIrIiIYv5WNYkZz5Q%3d%3d&rt=2&let=8&ct=0&ft=-1
1030299,زکوثر,سرمایه گذاری کشاورزی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۳ ۱۶:۴۲:۵۰,۱۴۰۲/۰۳/۰۳ ۱۶:۴۲:۵۰,/Reports/Decision.aspx?LetterSerial=%2b77MumrJeSCyUAT13A3cPw%3d%3d&rt=2&let=8&ct=0&ft=-1
1017135,زکوثر,سرمایه گذاری کشاورزی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۶ ۱۰:۰۵:۳۴,۱۴۰۲/۰۲/۰۶ ۱۰:۰۵:۳۴,/Reports/Decision.aspx?LetterSerial=U3QQQaQQQ6wNIvYd8KnOe0lHEHaA%3d%3d&rt=2&let=8&ct=0&ft=-1
1006729,زکوثر,سرمایه گذاری کشاورزی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۱,۱۴۰۲/۰۱/۰۶ ۱۲:۳۹:۲۴,۱۴۰۲/۰۱/۰۶ ۱۲:۳۹:۲۴,/Reports/Decision.aspx?LetterSerial=qKZ3aGBNuDKdiSHAHQDfxA%3d%3d&rt=2&let=8&ct=0&ft=-1
1006716,زکوثر,سرمایه گذاری کشاورزی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۶ ۱۲:۳۴:۲۷,۱۴۰۲/۰۱/۰۶ ۱۲:۳۴:۲۷,/Reports/Decision.aspx?LetterSerial=bhPJQQQaQQQA0kRtR8qdQQQaQQQt6KC1BQ%3d%3d&rt=2&let=8&ct=0&ft=-1
996853,زکوثر,سرمایه گذاری کشاورزی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۶ ۱۲:۵۷:۳۵,۱۴۰۱/۱۲/۰۶ ۱۲:۵۷:۳۵,/Reports/Decision.aspx?LetterSerial=pWEtvNiG0ufCD9LIyTtlXw%3d%3d&rt=2&let=8&ct=0&ft=-1
985276,زکوثر,سرمایه گذاری کشاورزی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۱ ۱۵:۴۹:۵۱,۱۴۰۱/۱۱/۰۱ ۱۵:۴۹:۵۱,/Reports/Decision.aspx?LetterSerial=W9DbqJjPiOoHGyx9htweKw%3d%3d&rt=2&let=8&ct=0&ft=-1
975941,زکوثر,سرمایه گذاری کشاورزی کوثر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۷ ۱۴:۱۸:۱۹,۱۴۰۱/۱۰/۰۷ ۱۴:۱۸:۱۹,/Reports/Decision.aspx?LetterSerial=ZQQQaQQQh7ISglrkIZWbvLI9iu3g%3d%3d&rt=2&let=8&ct=0&ft=-1
